titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Continental Aro 14 ContiPowerContact 175/65R14 82T,379.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-continental-aro-14-contipowercontact-175-65r14-82t-10120002,pneustore,continental,powercontact,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,continental,Powercontact,,,,False,2025-08-24 21:37:40,{}
Pneu Kumho Aro 14 ES31 175/65R14 82T,319.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-kumho-aro-14-es31-175-65r14-82t-16007344,pneustore,kumho,14 es31,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,kumho,14 Es31,,,,False,2025-08-24 21:37:42,{}
Pneu Continental Aro 14 UltraContact 175/65R14 82H,389.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-continental-aro-14-ultracontact-175-65r14-82h-16010575,pneustore,continental,14 ultracontact,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,continental,14 Ultracontact,,,,False,2025-08-24 21:37:43,{}
Pneu Ceat Aro 14 EcoDrive 175/65R14 82T,329.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-ceat-aro-14-ecodrive-175-65r14-82t-10010938,pneustore,,,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,,,,,,False,2025-08-24 21:37:44,{}
Pneu Continental Aro 14 Powercontact 2 175/65R14 82T,379.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-14-powercontact-2-175-65r14-82t-10120200,pneustore,continental,powercontact,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,continental,Powercontact,,,,False,2025-08-24 21:37:45,{}
Pneu Speedmax Aro 14 MH01 175/65R14 86T XL,324.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-speedmax-aro-14-mh01-175-65r14-86t-xl-16004775,pneustore,,,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,,,,,,False,2025-08-24 21:37:46,{}
Pneu Itaro Aro 14 MH01 175/65R14 86T XL,259.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-itaro-aro-14-mh01-175-65r14-86t-xl-16004779,pneustore,,,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,,,,,,False,2025-08-24 21:37:47,{}
Pneu Itaro Aro 14 RE Max 175/65R14 81H,259.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-itaro-aro-14-re-max-175-65r14-81h-16006330,pneustore,,,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,,,,,,False,2025-08-24 21:37:48,{}
Pneu Speedmax Aro 14 VT Max 175/65R14 82T,309.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-speedmax-aro-14-vt-max-175-65r14-82t-16006329,pneustore,,,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,,,,,,False,2025-08-24 21:37:49,{}
Pneu Pirelli Aro 14 P400 Evo 175/65R14 82H,359.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-pirelli-aro-14-p400-evo-175-65r14-82h-16009203,pneustore,pirelli,p400,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,pirelli,P400,,,,False,2025-08-24 21:37:50,{}
Pneu Goodyear Aro 14 Assurance Maxlife 175/65R14 86H XL,367.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-goodyear-aro-14-assurance-maxlife-175-65r14-86h-xl-10130199,pneustore,goodyear,assurance maxlife,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,goodyear,Assurance Maxlife,,,,False,2025-08-24 21:37:59,{}
Pneu Barum by Continental Aro 14 Bravuris 5HM 175/65R14 82T,279.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-barum-by-continental-aro-14-bravuris-5hm-175-65r14-82t-10120226,pneustore,continental,14 bravuris,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,continental,14 Bravuris,,,,False,2025-08-24 21:38:00,{}
Pneu General Tire by Continental Aro 14 Altimax One 175/65R14 82T,329.9,https://www.pneustore.com.br/categorias/marcas/pneus-general-tire/produto/pneu-general-tire-by-continental-aro-14-altimax%C2%A0one-175-65r14-82t-16000866,pneustore,continental,14 altimax,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,continental,14 Altimax,,,,False,2025-08-24 21:38:19,{}
Pneu Kelly by Goodyear Aro 14 Edge Touring 2 175/65R14 86H XL,349.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-kelly-by-goodyear-aro-14-edge-touring-2-175-65r14-86h-xl-16007686,pneustore,goodyear,14 edge,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,goodyear,14 Edge,,,,False,2025-08-24 21:38:22,{}
Pneu Speedmax Aro 14 Drivemax Van V10 175/65R14C 90/88T 6 Lonas,394.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-65r14/produto/pneu-speedmax-aro-14-drivemax-van-v10-175-65r14c-90-88t-6-lonas-16009184,pneustore,,,175/65R14,175-65-r14,14,pneu 175 65 r14 Jktyre Vectra,,,,,,,False,2025-08-24 21:38:23,{}
