titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Itaro Aro 14 MH01 175/70R14 84T,263.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-itaro-aro-14-mh01-175-70r14-84t-16004777,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,,,,,,False,2025-09-05 12:33:05,{}
Pneu Kumho Aro 14 ES31 175/70R14 84T,322.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-kumho-aro-14-es31-175-70r14-84t-16007345,pneustore,kumho,14 es31,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,kumho,14 Es31,,,,False,2025-09-05 12:33:06,{}
Pneu Continental Aro 14 UltraContact 175/70R14 84T,464.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-continental-aro-14-ultracontact-175-70r14-84t-16010581,pneustore,continental,14 ultracontact,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,continental,14 Ultracontact,,,,False,2025-09-05 12:33:07,{}
Pneu Pirelli Aro 14 P400 EVO 175/70R14 84T,391.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-pirelli-aro-14-p400-evo-175-70r14-84t-16010910,pneustore,pirelli,p400,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,pirelli,P400,,,,False,2025-09-05 12:33:09,{}
Pneu Farroad Aro 14 FRD18 175/70R14C 95/93S,263.9,https://www.pneustore.com.br/categorias/marcas/pneus-farroad/produto/pneu-farroad-aro-14-frd18-175-70r14c-95-93s-12010174,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,,,,,,False,2025-09-05 12:33:10,{}
Pneu Kumho Aro 14 Sense KR26 175/70R14 84T,312.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-kumho-aro-14-sense-kr26-175-70r14-84t-10010439,pneustore,kumho,14 sense,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,kumho,14 Sense,,,,False,2025-09-05 12:33:12,{}
Pneu Ceat Aro 14 EcoDrive 175/70R14 88T XL,322.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-ceat-aro-14-ecodrive-175-70r14-88t-xl-10010939,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,,,,,,False,2025-09-05 12:33:12,{}
Pneu Continental Aro 14 PowerContact 2 175/70R14 84T,454.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-continental-aro-14-powercontact-2-175-70r14-84t-10120094,pneustore,continental,powercontact,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,continental,Powercontact,,,,False,2025-09-05 12:33:15,{}
Pneu Formula Aro 14 Formula Energy (KS) 175/70R14 84T,317.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-formula-aro-14-formula-energy-%28ks%29-175-70r14-84t-16003078,pneustore,formula,14 formula,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,formula,14 Formula,,,,False,2025-09-05 12:33:16,{}
Pneu Itaro Aro 14 ITP101 A/T 175/70R14 84H,293.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-itaro-aro-14-itp101-a-t-175-70r14-84h-16004946,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,,,,,,False,2025-09-05 12:33:17,{}
Pneu Pirelli Aro 14 P400 Evo (KS) 175/70R14 84T,439.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-pirelli-aro-14-p400-evo-%28ks%29-175-70r14-84t-16008350,pneustore,pirelli,p400,175/70R14,175-70-r14,14,pneu 175 70 r14 Hilfy Hf261,,pirelli,P400,,,,False,2025-09-05 12:33:18,{}
