titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Aro 14 MH01 175/70R14 84T,314.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-speedmax-aro-14-mh01-175-70r14-84t-16004773,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,,,,,,False,2025-08-24 21:33:33,{}
Pneu Itaro Aro 14 MH01 175/70R14 84T,269.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-itaro-aro-14-mh01-175-70r14-84t-16004777,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,,,,,,False,2025-08-24 21:33:34,{}
Pneu Kumho Aro 14 ES31 175/70R14 84T,329.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-kumho-aro-14-es31-175-70r14-84t-16007345,pneustore,kumho,14 es31,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,kumho,14 Es31,,,,False,2025-08-24 21:33:35,{}
Pneu Continental Aro 14 UltraContact 175/70R14 84T,464.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-continental-aro-14-ultracontact-175-70r14-84t-16010581,pneustore,continental,14 ultracontact,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,continental,14 Ultracontact,,,,False,2025-08-24 21:33:37,{}
Pneu Goodyear Aro 14 Assurance 175/70R14 88T,449.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-goodyear-aro-14-assurance-175-70r14-88t-10130092,pneustore,goodyear,assurance,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,goodyear,Assurance,,,,False,2025-08-24 21:33:38,{}
Pneu Pirelli Aro 14 Chrono 175/70R14C 88T XL,749.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-175-70r14c/produto/pneu-pirelli-aro-14-chrono-175-70r14c-88t-xl-10070071,pneustore,pirelli,14 chrono,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,pirelli,14 Chrono,,,,False,2025-08-24 21:33:40,{}
Pneu Speedmax Aro 14 VT Max 175/70R14 84T,324.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-speedmax-aro-14-vt-max-175-70r14-84t-16006334,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,,,,,,False,2025-08-24 21:33:42,{}
Pneu Continental Aro 14 PowerContact 2 175/70R14 84T,454.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-continental-aro-14-powercontact-2-175-70r14-84t-10120094,pneustore,continental,powercontact,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,continental,Powercontact,,,,False,2025-08-24 21:33:45,{}
Pneu Ceat Aro 14 EcoDrive 175/70R14 88T XL,329.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-ceat-aro-14-ecodrive-175-70r14-88t-xl-10010939,pneustore,,,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,,,,,,False,2025-08-24 21:33:46,{}
Pneu Pirelli Aro 14 P400 EVO 175/70R14 84T,399.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-175-70r14/produto/pneu-pirelli-aro-14-p400-evo-175-70r14-84t-16010910,pneustore,pirelli,p400,175/70R14,175-70-r14,14,pneu 175 70 r14 Jk Tyre Vectra,,pirelli,P400,,,,False,2025-08-24 21:33:47,{}
