titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Ceat Aro 14 EcoDrive 185/65R14 86H,322.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-ceat-aro-14-ecodrive-185-65r14-86h-10010940,pneustore,,,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,,,,,,False,2025-09-05 17:50:02,{}
Pneu Iris Aro 14 Ecoris 185/65R14 86H,273.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-iris-aro-14-ecoris-185-65r14-86h-10010986,pneustore,,,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,,,,,,False,2025-09-05 17:50:03,{}
Pneu Speedmax Aro 14 MH01 185/65R14 86H,317.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-speedmax-aro-14-mh01-185-65r14-86h-16007321,pneustore,,,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,,,,,,False,2025-09-05 17:50:04,{}
Pneu Kumho Aro 14 ES31 185/65R14 86T,332.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-kumho-aro-14-es31-185-65r14-86t-16008462,pneustore,kumho,14 es31,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,kumho,14 Es31,,,,False,2025-09-05 17:50:05,{}
Pneu Continental Aro 14 UltraContact 185/65R14 86H,464.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-continental-aro-14-ultracontact-185-65r14-86h-16010574,pneustore,continental,14 ultracontact,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,continental,14 Ultracontact,,,,False,2025-09-05 17:50:07,{}
Pneu Itaro Aro 14 MH01 185/65R14 86H,283.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-itaro-aro-14-mh01-185-65r14-86h-16009463,pneustore,,,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,,,,,,False,2025-09-05 17:50:08,{}
Pneu Continental Aro 14 PowerContact 2 185/65R14 86T,454.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-continental-aro-14-powercontact-2-185-65r14-86t-10120121,pneustore,continental,powercontact,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,continental,Powercontact,,,,False,2025-09-05 17:50:11,{}
Pneu Goodyear Aro 14 Assurance Maxlife 185/65R14 86H,488.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-goodyear-aro-14-assurance-maxlife-185-65r14-86h-10130227,pneustore,goodyear,assurance maxlife,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,goodyear,Assurance Maxlife,,,,False,2025-09-05 17:50:11,{}
Pneu Pirelli Aro 14 P400 Evo (KS) 185/65R14 86T,430.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-pirelli-aro-14-p400-evo-%28ks%29-185-65r14-86t-16008351,pneustore,pirelli,p400,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,pirelli,P400,,,,False,2025-09-05 17:50:22,{}
Pneu Kelly By Goodyear Aro 14 Edge Touring 2 185/65R14 86H,400.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-65r14/produto/pneu-kelly-by-goodyear-aro-14-edge-touring-2-185-65r14-86h-16009116,pneustore,goodyear,14 edge,185/65R14,185-65-r14,14,pneu 185 65 r14 Sailun Atrezzo,,goodyear,14 Edge,,,,False,2025-09-05 17:50:41,{}
