titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Aro 14 MH01 185/70R14 88H,334.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-speedmax-aro-14-mh01-185-70r14-88h-16004774,pneustore,,,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,,,,,,False,2025-08-24 13:54:34,{}
Pneu Itaro Aro 14 MH01 185/70R14 88H,289.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-itaro-aro-14-mh01-185-70r14-88h-16004778,pneustore,,,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,,,,,,False,2025-08-24 13:54:35,{}
Pneu Continental Aro 14 UltraContact 185/70R14 88H,484.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-continental-aro-14-ultracontact-185-70r14-88h-16010580,pneustore,continental,14 ultracontact,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,continental,14 Ultracontact,,,,False,2025-08-24 13:54:36,{}
Pneu Goodyear Aro 14 EfficientGrip Performance 185/70R14 88H,544.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-goodyear-aro-14-efficientgrip-performance-185-70r14-88h-10130117,pneustore,goodyear,efficientgrip,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,goodyear,Efficientgrip,,,,False,2025-08-24 13:54:39,{}
Pneu Goodyear Aro 14 Assurance Maxlife 185/70R14 88H,509.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-goodyear-aro-14-assurance-maxlife-185-70r14-88h-10130229,pneustore,goodyear,assurance maxlife,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,goodyear,Assurance Maxlife,,,,False,2025-08-24 13:54:40,{}
Pneu Speedmax Aro 14 VT Max 185/70R14 88T,319.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-speedmax-aro-14-vt-max-185-70r14-88t-16009355,pneustore,,,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,,,,,,False,2025-08-24 13:54:41,{}
Pneu Kumho Aro 14 Ecowing ES31 185/70R14 88T,329.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-kumho-aro-14-ecowing-es31-185-70r14-88t-16009356,pneustore,kumho,14 ecowing,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,kumho,14 Ecowing,,,,False,2025-08-24 13:54:42,{}
Pneu Pirelli Aro 14 P400 Evo 185/70R14 88T,429.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-pirelli-aro-14-p400-evo-185-70r14-88t-16010912,pneustore,pirelli,p400,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,pirelli,P400,,,,False,2025-08-24 13:54:43,{}
Pneu Continental Aro 14 PowerContact 2 185/70R14 88H,474.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-185-70r14/produto/pneu-continental-aro-14-powercontact-2-185-70r14-88h-10120009,pneustore,continental,powercontact,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,continental,Powercontact,,,,False,2025-08-24 13:54:44,{}
Pneu Formula by Pirelli Aro 14 Formula Evo 185/70R14 88H,409.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-formula-by-pirelli-aro-14-formula-evo-185-70r14-88h-10070391,pneustore,pirelli,formula evo,185/70R14,185-70-r14,14,pneu 185 70 r14 Chituma Cp16,,pirelli,Formula Evo,,,,False,2025-08-24 13:54:50,{}
