titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Atlas Aro 15 Green 195/55R15 85V,254.13,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-atlas-aro-15-green-195-55r15-85v-10011018,pneustore,,,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,,,,,,False,2025-09-05 05:15:18,{}
Pneu Speedmax Aro 15 MH01 195/55R15 85V,303.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-speedmax-aro-15-mh01-195-55r15-85v-16007065,pneustore,,,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,,,,,,False,2025-09-05 05:15:22,{}
Pneu Itaro Aro 15 Comformax 195/55R15 85V,263.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-itaro-aro-15-comformax-195-55r15-85v-16004990,pneustore,,,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,,,,,,False,2025-09-05 05:15:23,{}
Pneu Continental Aro 15 UltraContact 195/55R15 85H,464.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-continental-aro-15-ultracontact-195-55r15-85h-16010587,pneustore,continental,15 ultracontact,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,continental,15 Ultracontact,,,,False,2025-09-05 05:15:24,{}
Pneu Continental Aro 15 PowerContact 2 195/55R15 85H,454.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-continental-aro-15-powercontact-2-195-55r15-85h-10120123,pneustore,continental,powercontact,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,continental,Powercontact,,,,False,2025-09-05 05:15:28,{}
Pneu Kumho Aro 15 Ecsta HS52 195/55R15 85V,332.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-kumho-aro-15-ecsta-hs52-195-55r15-85v-16009481,pneustore,kumho,15 ecsta,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,kumho,15 Ecsta,,,,False,2025-09-05 05:15:29,{}
Pneu Michelin Aro 15 Energy XM2+ 195/55R15 85V,606.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-michelin-aro-15-energy-xm2%2B-195-55r15-85v-10110005,pneustore,michelin,energy xm2,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,michelin,Energy Xm2,,,,False,2025-09-05 05:15:30,{}
Pneu Goodyear Aro 15 EfficientGrip Performance 195/55R15 85H,547.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-goodyear-aro-15-efficientgrip-performance-195-55r15-85h-10130137,pneustore,goodyear,efficientgrip,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,goodyear,Efficientgrip,,,,False,2025-09-05 05:15:31,{}
Pneu Speedmax Prime Aro 15 FRD16 195/55R15 85V,303.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-speedmax-prime-aro-15-frd16-195-55r15-85v-16005728,pneustore,,,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,,,,,,False,2025-09-05 05:15:32,{}
Pneu Pirelli Aro 15 P400 Evo 195/55R15 85H,420.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-pirelli-aro-15-p400-evo-195-55r15-85h-16010717,pneustore,pirelli,p400,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,pirelli,P400,,,,False,2025-09-05 05:15:35,{}
Pneu Goodyear Aro 15 Eagle Sport 2 195/55R15 85H,498.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-goodyear-aro-15-eagle-sport-2-195-55r15-85h-16001419,pneustore,goodyear,eagle,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,goodyear,Eagle,,,,False,2025-09-05 05:15:36,{}
Pneu Kelly By Goodyear Aro 15 Edge Sport 2 195/55R15 85H,439.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-55r15/produto/pneu-kelly-by-goodyear-aro-15-edge-sport-2-195-55r15-85h-16009118,pneustore,goodyear,15 edge,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,goodyear,15 Edge,,,,False,2025-09-05 05:16:00,{}
Pneu General Tire by Continental Aro 15 Altimax One S 195/55R15 85V,371.46,https://www.pneustore.com.br/categorias/marcas/pneus-general-tire/produto/pneu-general-tire-by-continental-aro-15-altimax-one-s-195-55r15-85v-16000874,pneustore,continental,15 altimax,195/55R15,195-55-r15,15,pneu 195 55 r15 Comforser Cf510,,continental,15 Altimax,,,,False,2025-09-05 05:16:05,{}
