titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Itaro Aro 15 Comformax 195/65R15 91V,283.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-itaro-aro-15-comformax-195-65r15-91v-16004994,pneustore,,,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,,,,,,False,2025-09-05 13:41:21,{}
Pneu Speedmax Aro 15 MH01 195/65R15 91V,317.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-speedmax-aro-15-mh01-195-65r15-91v-16007064,pneustore,,,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,,,,,,False,2025-09-05 13:41:22,{}
Pneu Continental Aro 15 UltraContact 195/65R15 91H,529.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-continental-aro-15-ultracontact-195-65r15-91h-16010579,pneustore,continental,15 ultracontact,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,continental,15 Ultracontact,,,,False,2025-09-05 13:41:25,{}
Pneu Ceat Aro 15 EcoDrive 195/65R15 91H TL,391.01,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-ceat-aro-15-ecodrive-195-65r15-91h-tl-10011090,pneustore,,,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,,,,,,False,2025-09-05 13:41:26,{}
Pneu Pirelli Aro 15 Cinturato P1 195/65R15 91H,567.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-pirelli-aro-15-cinturato-p1-195-65r15-91h-10070344,pneustore,pirelli,15 cinturato,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,pirelli,15 Cinturato,,,,False,2025-09-05 13:41:27,{}
Pneu Continental Aro 15 PowerContact 2 195/65R15 91H,519.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-continental-aro-15-powercontact-2-195-65r15-91h-10120230,pneustore,continental,powercontact,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,continental,Powercontact,,,,False,2025-09-05 13:41:30,{}
Pneu Goodyear Aro 15 EfficientGrip Performance 195/65R15 91H,571.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-goodyear-aro-15-efficientgrip-performance-195-65r15-91h-10130127,pneustore,goodyear,efficientgrip,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,goodyear,Efficientgrip,,,,False,2025-09-05 13:41:31,{}
Pneu Kumho Aro 15 Ecowing ES31 195/65R15 91T,361.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-kumho-aro-15-ecowing-es31-195-65r15-91t-16003140,pneustore,kumho,15 ecowing,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,kumho,15 Ecowing,,,,False,2025-09-05 13:41:32,{}
Pneu Speedmax Prime Aro 15 FRD16 195/65R15 91V,317.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-speedmax-prime-aro-15-frd16-195-65r15-91v-16005731,pneustore,,,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,,,,,,False,2025-09-05 13:41:33,{}
Pneu Pirelli Aro 15 P400 Evo 195/65R15 91H,488.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-pirelli-aro-15-p400-evo-195-65r15-91h-16010785,pneustore,pirelli,p400,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,pirelli,P400,,,,False,2025-09-05 13:41:35,{}
Pneu Continental Aro 15 PremiumContact 6 195/65R15 91H,599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-195-65r15/produto/pneu-continental-aro-15-premiumcontact-6-195-65r15-91h-16002592,pneustore,continental,15 premiumcontact,195/65R15,195-65-r15,15,pneu 195 65 r15 Lavigator Comfort Ii,,continental,15 Premiumcontact,,,,False,2025-09-05 13:41:36,{}
