titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Itaro Aro 16 Comformax 205/55R16 91V,273.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-itaro-aro-16-comformax-205-55r16-91v-16004998,pneustore,,,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,,,,,,False,2025-09-05 22:12:51,{}
Pneu Continental Aro 16 UltraContact 205/55R16 91V,494.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-continental-aro-16-ultracontact-205-55r16-91v-16010588,pneustore,continental,16 ultracontact,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,continental,16 Ultracontact,,,,False,2025-09-05 22:12:53,{}
Pneu Continental Aro 16 PowerContact 2 205/55R16 91V,484.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-continental-aro-16-powercontact-2-205-55r16-91v-10120057,pneustore,continental,powercontact,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,continental,Powercontact,,,,False,2025-09-05 22:12:57,{}
Pneu Continental Aro 16 ExtremeContact DW 205/55R16 91W,539.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-continental-aro-16-extremecontact-dw-205-55r16-91w-10120114,pneustore,continental,16 extremecontact,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,continental,16 Extremecontact,,,,False,2025-09-05 22:12:58,{}
Pneu Goodyear Aro 16 EfficientGrip Performance 205/55R16 91V,586.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-goodyear-aro-16-efficientgrip-performance-205-55r16-91v-10130051,pneustore,goodyear,efficientgrip,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,goodyear,Efficientgrip,,,,False,2025-09-05 22:12:59,{}
Pneu Goodyear Aro 16 Efficientgrip Performance 205/55R16 91V,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-goodyear-aro-16-efficientgrip-performance-205-55r16-91v-16000345,pneustore,goodyear,efficientgrip,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,goodyear,Efficientgrip,,,,False,2025-09-05 22:13:00,{}
Pneu Kumho Aro 16 Ecowing ES31 205/55R16 91H,420.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-kumho-aro-16-ecowing-es31-205-55r16-91h-10010947,pneustore,kumho,16 ecowing,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,kumho,16 Ecowing,,,,False,2025-09-05 22:13:01,{}
Pneu Continental Aro 16 PremiumContact 6 205/55R16 91V,729.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-continental-aro-16-premiumcontact-6-205-55r16-91v-16003058,pneustore,continental,16 premiumcontact,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,continental,16 Premiumcontact,,,,False,2025-09-05 22:13:03,{}
Pneu Speedmax Prime Aro 16 FRD16 205/55R16 94W,321.69,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-speedmax-prime-aro-16-frd16-205-55r16-94w-16005734,pneustore,,,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,,,,,,False,2025-09-05 22:13:04,{}
Pneu Pirelli Aro 16 P400 Evo 205/55R16 91V,439.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-pirelli-aro-16-p400-evo-205-55r16-91v-16010787,pneustore,pirelli,p400,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,pirelli,P400,,,,False,2025-09-05 22:13:05,{}
Pneu Pirelli Aro 16 Cinturato P7 (KS) 205/55R16 91V,537.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-pirelli-aro-16-cinturato-p7-%28ks%29-205-55r16-91v-10070369,pneustore,pirelli,cinturato p7,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,pirelli,Cinturato P7,,,,False,2025-09-05 22:13:07,{}
Pneu Goodyear Aro 16 EfficientGrip 205/55R16 91W Run Flat,1075.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-goodyear-aro-16-efficientgrip-205-55r16-91w-run-flat-10230003,pneustore,goodyear,efficientgrip,205/55R16,205-55-r16,16,pneu 205 55 r16 Xbri Ecology,,goodyear,Efficientgrip,,,,False,2025-09-05 22:13:08,{}
