titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Continental Aro 17 ContiPowerContact 205/55R17 91V,739.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-17-contipowercontact-205-55r17-91v--10260031,pneustore,continental,powercontact,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,continental,Powercontact,,,,False,2025-08-25 07:16:17,{}
Pneu Pirelli Aro 17 Scorpion 205/55R17 91V,859.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-pirelli-aro-17-scorpion-205-55r17-91v-16002475,pneustore,pirelli,scorpion,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,pirelli,Scorpion,,,,False,2025-08-25 07:16:18,{}
Pneu Continental Aro 17 UltraContact 205/55R17 91V,759.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-continental-aro-17-ultracontact-205-55r17-91v-16010592,pneustore,continental,17 ultracontact,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,continental,17 Ultracontact,,,,False,2025-08-25 07:16:19,{}
Pneu Pirelli Aro 17 Scorpion (KA) 205/55R17 91V,669.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-pirelli-aro-17-scorpion-%28ka%29-205-55r17-91v-16009519,pneustore,pirelli,scorpion,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,pirelli,Scorpion,,,,False,2025-08-25 07:16:22,{}
Pneu Itaro Aro 17 U11 205/55R17 95Y XL,359.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-itaro-aro-17-u11-205-55r17-95y-xl-16010542,pneustore,,,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,,,,,,False,2025-08-25 07:16:23,{}
Pneu Speedmax Aro 17 U11 205/55R17 95Y XL,409.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-speedmax-aro-17-u11-205-55r17-95y-xl-16010543,pneustore,,,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,,,,,,False,2025-08-25 07:16:24,{}
Pneu Kumho Aro 17 Ecowing ES31 205/55R17 91W,499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-kumho-aro-17-ecowing-es31-205-55r17-91w-10031138,pneustore,kumho,17 ecowing,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,kumho,17 Ecowing,,,,False,2025-08-25 07:16:25,{}
Pneu Bridgestone Aro 17 Turanza T001 * 205/55R17 91W,1009.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-bridgestone-aro-17-turanza-t001-205-55r17-91w-16004956,pneustore,bridgestone,17 turanza,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,bridgestone,17 Turanza,,,,False,2025-08-25 07:16:28,{}
Pneu Speedmax Prime Aro 17 FRD26 205/55R17 95W,409.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-speedmax-prime-aro-17-frd26-205-55r17-95w-16005735,pneustore,,,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,,,,,,False,2025-08-25 07:16:30,{}
Pneu Pirelli Aro 17 Scorpion K1 205/55R17 91V,649.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-pirelli-aro-17-scorpion-k1-205-55r17-91v-16011127,pneustore,pirelli,scorpion,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,pirelli,Scorpion,,,,False,2025-08-25 07:16:31,{}
Pneu Goodyear Aro 17 Wrangler Territory HT 205/55R17 91V,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-goodyear-aro-17-wrangler-territory-ht-205-55r17-91v-16001765,pneustore,goodyear,wrangler,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,goodyear,Wrangler,,,,False,2025-08-25 07:16:32,{}
Pneu Kumho Aro 17 Ecsta HS52 205/55R17 95V XL,499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r17/produto/pneu-kumho-aro-17-ecsta-hs52-205-55r17-95v-xl-16003705,pneustore,kumho,17 ecsta,205/55R17,205-55-r17,17,pneu 205 55 r17 Zmax Zealion,,kumho,17 Ecsta,,,,False,2025-08-25 07:16:34,{}
