titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Scorpion 205/60R16 92H,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-205-60r16-92h-16002661,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,pirelli,Scorpion,,,,False,2025-09-05 05:23:37,{}
Pneu Kumho Aro 16 ES31 205/60R16 92H,479.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-kumho-aro-16-es31-205-60r16-92h-16004721,pneustore,kumho,16 es31,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,kumho,16 Es31,,,,False,2025-09-05 05:23:38,{}
Pneu Itaro Aro 16 MH01 205/60R16 92V,332.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-itaro-aro-16-mh01-205-60r16-92v-16010548,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,,,,,,False,2025-09-05 05:23:39,{}
Pneu Continental Aro 16 UltraContact 205/60R16 92H,639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-ultracontact-205-60r16-92h-16010578,pneustore,continental,16 ultracontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,continental,16 Ultracontact,,,,False,2025-09-05 05:23:40,{}
Pneu Pirelli Aro 16 Scorpion 205/60R16 92H,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-205-60r16-92h-16010774,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,pirelli,Scorpion,,,,False,2025-09-05 05:23:41,{}
Pneu Pirelli Aro 16 Scorpion ATR 205/60R16 92H,762.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-atr-205-60r16-92h-10070133,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,pirelli,Scorpion,,,,False,2025-09-05 05:23:42,{}
Pneu Michelin Aro 16 LTX Force 205/60R16 92H,772.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-michelin-aro-16-ltx-force-205-60r16-92h-10110132,pneustore,michelin,ltx force,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,michelin,Ltx Force,,,,False,2025-09-05 05:23:43,{}
Pneu Continental Aro 16 PowerContact 2 205/60R16 92H,629.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-powercontact-2-205-60r16-92h-10120165,pneustore,continental,powercontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,continental,Powercontact,,,,False,2025-09-05 05:23:44,{}
Pneu Continental Aro 16 ContiCrossContact AT 205/60R16 92H,749.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-conticrosscontact-at-205-60r16-92h-10120048,pneustore,continental,16 conticrosscontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,continental,16 Conticrosscontact,,,,False,2025-09-05 05:23:45,{}
Pneu Pirelli Aro 16 Scorpion ATR 205/60R16 92H,744.7,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-atr-205-60r16-92h-16001564,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,pirelli,Scorpion,,,,False,2025-09-05 05:23:46,{}
Pneu Atlas Aro 16 Paraller AT 205/60R16 92H,391.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-atlas-aro-16-paraller-at-205-60r16-92h-16004164,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,,,,,,False,2025-09-05 05:23:47,{}
Pneu Pirelli Aro 16 Scorpion (KS) 205/60R16 92H,518.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-%28ks%29-205-60r16-92h-16009885,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,pirelli,Scorpion,,,,False,2025-09-05 05:23:50,{}
Pneu Firestone Aro 16 Destination LE3 205/60R16 92H,659.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-firestone-aro-16-destination-le3-205-60r16-92h-16009368,pneustore,firestone,16 destination,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,firestone,16 Destination,,,,False,2025-09-05 05:23:51,{}
Pneu Kumho Aro 16 Road Venture AT51 205/60R16 92T,537.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-kumho-aro-16-road-venture-at51-205-60r16-92t-10010573,pneustore,kumho,16 road,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,kumho,16 Road,,,,False,2025-09-05 05:23:52,{}
Pneu General Tire by Continental Aro 16 Grabber AT3 205/60R16 92H,639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-general-tire-by-continental-aro-16-grabber-at3-205-60r16-92h-10120238,pneustore,continental,16 grabber,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,continental,16 Grabber,,,,False,2025-09-05 05:24:18,{}
Pneu XBRI Aro 16 Brutus T/A 205/60R16 92R - Letra Branca,469.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-xbri-aro-16-brutus-t-a-205-60r16-92r---letra-branca-16004356,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,,,,,,False,2025-09-05 05:24:19,{}
Pneu Bridgestone Aro 16 Turanza T005 * 205/60R16 96W XL Run Flat,879.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-bridgestone-aro-16-turanza-t005-205-60r16-96w-xl-run-flat-16004957,pneustore,bridgestone,16 turanza,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,bridgestone,16 Turanza,,,,False,2025-09-05 05:24:20,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 205/60R16 92T - Letras Brancas,606.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-205-60r16-92t---letras-brancas-16009018,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Compasal Blazer Hp,,,,,,,False,2025-09-05 05:24:30,{}
