titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Kumho Aro 16 ES31 205/60R16 92H,479.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-kumho-aro-16-es31-205-60r16-92h-16004721,pneustore,kumho,16 es31,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,kumho,16 Es31,,,,False,2025-09-05 19:38:10,{}
Pneu Continental Aro 16 UltraContact 205/60R16 92H,639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-ultracontact-205-60r16-92h-16010578,pneustore,continental,16 ultracontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,continental,16 Ultracontact,,,,False,2025-09-05 19:38:11,{}
Pneu Itaro Aro 16 MH01 205/60R16 92V,332.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-itaro-aro-16-mh01-205-60r16-92v-16010548,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,,,,,,False,2025-09-05 19:38:12,{}
Pneu Pirelli Aro 16 Scorpion 205/60R16 92H,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-205-60r16-92h-16002661,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,pirelli,Scorpion,,,,False,2025-09-05 19:38:19,{}
Pneu Pirelli Aro 16 Scorpion 205/60R16 92H,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-205-60r16-92h-16010774,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,pirelli,Scorpion,,,,False,2025-09-05 19:38:20,{}
Pneu Pirelli Aro 16 Scorpion ATR 205/60R16 92H,762.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-atr-205-60r16-92h-10070133,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,pirelli,Scorpion,,,,False,2025-09-05 19:38:21,{}
Pneu Continental Aro 16 PowerContact 2 205/60R16 92H,629.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-powercontact-2-205-60r16-92h-10120165,pneustore,continental,powercontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,continental,Powercontact,,,,False,2025-09-05 19:38:22,{}
Pneu Atlas Aro 16 Paraller AT 205/60R16 92H,391.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-atlas-aro-16-paraller-at-205-60r16-92h-16004164,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,,,,,,False,2025-09-05 19:38:23,{}
Pneu Pirelli Aro 16 Scorpion (KS) 205/60R16 92H,518.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-%28ks%29-205-60r16-92h-16009885,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,pirelli,Scorpion,,,,False,2025-09-05 19:38:25,{}
Pneu Firestone Aro 16 Destination LE3 205/60R16 92H,659.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-firestone-aro-16-destination-le3-205-60r16-92h-16009368,pneustore,firestone,16 destination,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,firestone,16 Destination,,,,False,2025-09-05 19:38:27,{}
Pneu Continental Aro 16 ContiCrossContact AT 205/60R16 92H,749.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-conticrosscontact-at-205-60r16-92h-10120048,pneustore,continental,16 conticrosscontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,continental,16 Conticrosscontact,,,,False,2025-09-05 19:38:27,{}
Pneu Michelin Aro 16 LTX Force 205/60R16 92H,772.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-michelin-aro-16-ltx-force-205-60r16-92h-10110132,pneustore,michelin,ltx force,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,michelin,Ltx Force,,,,False,2025-09-05 19:38:29,{}
Pneu Pirelli Aro 16 Scorpion ATR 205/60R16 92H,744.7,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-atr-205-60r16-92h-16001564,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,pirelli,Scorpion,,,,False,2025-09-05 19:38:30,{}
Pneu Pirelli Aro 16 Scorpion ATR Seal Inside 205/60R16 92H,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-55r16/produto/pneu-pirelli-aro-16-scorpion-atr-seal-inside-205-60r16-92h-16002773,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,pirelli,Scorpion,,,,False,2025-09-05 19:38:49,{}
Pneu General Tire by Continental Aro 16 Grabber AT3 205/60R16 92H,639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-general-tire-by-continental-aro-16-grabber-at3-205-60r16-92h-10120238,pneustore,continental,16 grabber,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,continental,16 Grabber,,,,False,2025-09-05 19:38:56,{}
Pneu XBRI Aro 16 Brutus T/A 205/60R16 92R - Letra Branca,469.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-xbri-aro-16-brutus-t-a-205-60r16-92r---letra-branca-16004356,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,,,,,,False,2025-09-05 19:38:57,{}
Pneu Bridgestone Aro 16 Turanza T005 * 205/60R16 96W XL Run Flat,879.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-bridgestone-aro-16-turanza-t005-205-60r16-96w-xl-run-flat-16004957,pneustore,bridgestone,16 turanza,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,bridgestone,16 Turanza,,,,False,2025-09-05 19:38:58,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 205/60R16 92T - Letras Brancas,606.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-205-60r16-92t---letras-brancas-16009018,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Sunwide Rs-One,,,,,,,False,2025-09-05 19:39:07,{}
