titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu XBRI Aro 16 Brutus T/A 205/60R16 92R - Letra Branca,469.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-xbri-aro-16-brutus-t-a-205-60r16-92r---letra-branca-16004356,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,,,,,,False,2025-09-05 21:16:44,{}
Pneu Pirelli Aro 16 Scorpion 205/60R16 92H,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-205-60r16-92h-16002661,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,pirelli,Scorpion,,,,False,2025-09-05 21:16:49,{}
Pneu Goodyear Aro 16 Wrangler Territory HT 205/60R16 92H,694.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-goodyear-aro-16-wrangler-territory-ht-205-60r16-92h-16010631,pneustore,goodyear,wrangler,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,goodyear,Wrangler,,,,False,2025-09-05 21:16:50,{}
Pneu Kumho Aro 16 ES31 205/60R16 92H,479.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-kumho-aro-16-es31-205-60r16-92h-16004721,pneustore,kumho,16 es31,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,kumho,16 Es31,,,,False,2025-09-05 21:16:59,{}
Pneu Itaro Aro 16 MH01 205/60R16 92V,332.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-itaro-aro-16-mh01-205-60r16-92v-16010548,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,,,,,,False,2025-09-05 21:16:59,{}
Pneu Continental Aro 16 UltraContact 205/60R16 92H,639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-ultracontact-205-60r16-92h-16010578,pneustore,continental,16 ultracontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,continental,16 Ultracontact,,,,False,2025-09-05 21:17:01,{}
Pneu Pirelli Aro 16 Scorpion 205/60R16 92H,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-pirelli-aro-16-scorpion-205-60r16-92h-16010774,pneustore,pirelli,scorpion,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,pirelli,Scorpion,,,,False,2025-09-05 21:17:02,{}
Pneu Michelin Aro 16 LTX Force 205/60R16 92H,772.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-michelin-aro-16-ltx-force-205-60r16-92h-10110132,pneustore,michelin,ltx force,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,michelin,Ltx Force,,,,False,2025-09-05 21:17:03,{}
Pneu Continental Aro 16 ContiCrossContact AT 205/60R16 92H,749.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-conticrosscontact-at-205-60r16-92h-10120048,pneustore,continental,16 conticrosscontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,continental,16 Conticrosscontact,,,,False,2025-09-05 21:17:04,{}
Pneu Continental Aro 16 PowerContact 2 205/60R16 92H,629.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-continental-aro-16-powercontact-2-205-60r16-92h-10120165,pneustore,continental,powercontact,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,continental,Powercontact,,,,False,2025-09-05 21:17:05,{}
Pneu General Tire by Continental Aro 16 Grabber AT3 205/60R16 92H,639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-general-tire-by-continental-aro-16-grabber-at3-205-60r16-92h-10120238,pneustore,continental,16 grabber,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,continental,16 Grabber,,,,False,2025-09-05 21:17:38,{}
Pneu Bridgestone Aro 16 Turanza T005 * 205/60R16 96W XL Run Flat,879.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-bridgestone-aro-16-turanza-t005-205-60r16-96w-xl-run-flat-16004957,pneustore,bridgestone,16 turanza,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,bridgestone,16 Turanza,,,,False,2025-09-05 21:17:39,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 205/60R16 92T - Letras Brancas,606.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-60r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-205-60r16-92t---letras-brancas-16009018,pneustore,,,205/60R16,205-60-r16,16,pneu 205 60 r16 Wanli Su009 A/T,,,,,,,False,2025-09-05 21:17:46,{}
