titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Atlas Aro 15 Green 205/70R15 96H,379.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-atlas-aro-15-green-205-70r15-96h-16001690,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:04,{}
Pneu Farroad Aro 15 FRD16 205/70R15 96H,379.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-farroad-aro-15-frd16-205-70r15-96h-10010586,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:06,{}
Pneu Pirelli Aro 15 Scorpion HT 205/70R15 96T,789.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-15-scorpion-ht-205-70r15-96t-16001244,pneustore,pirelli,scorpion,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,pirelli,Scorpion,,,,False,2025-08-24 13:10:07,{}
Pneu Speedmax Aro 15 DL01 205/70R15C 106/104R,474.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-speedmax-aro-15-dl01-205-70r15c-106-104r-16003086,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:10,{}
Pneu Atlas Aro 15 Paraller AT 205/70R15 96T,439.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-atlas-aro-15-paraller-at-205-70r15-96t-16004284,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:11,{}
Pneu Speedmax Prime Aro 15 FRD16 205/70R15 96H,409.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-speedmax-prime-aro-15-frd16-205-70r15-96h-16005736,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:12,{}
Pneu Speedmax Aro 15 Drivemax C10 205/70R15 96H,424.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-speedmax-aro-15-drivemax-c10-205-70r15-96h-16009192,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:13,{}
Pneu Itaro Aro 15 MC02 205/70R15C 106/104R,389.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-205-70r15c/produto/pneu-itaro-aro-15-mc02-205-70r15c-106-104r-16010526,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:14,{}
Pneu Speedmax Aro 15 MC02 205/70R15C 106/104R,469.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-205-70r15c/produto/pneu-speedmax-aro-15-mc02-205-70r15c-106-104r-16010529,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,,,,,,False,2025-08-24 13:10:15,{}
Pneu Continental Aro 15 ContiCrossContact AT 205/70R15 96T,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-continental-aro-15-conticrosscontact-at-205-70r15-96t-10120052,pneustore,continental,15 conticrosscontact,205/70R15,205-70-r15,15,pneu 205 70 r15 Austone Sp801,,continental,15 Conticrosscontact,,,,False,2025-08-24 13:10:17,{}
