titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 15 FRD16 205/70R15 96H,342.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-farroad-aro-15-frd16-205-70r15-96h-10010586,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:13:49,{}
Pneu Atlas Aro 15 Green 205/70R15 96H,342.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-atlas-aro-15-green-205-70r15-96h-16001690,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:13:53,{}
Pneu Continental Aro 15 ContiCrossContact AT 205/70R15 96T,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-continental-aro-15-conticrosscontact-at-205-70r15-96t-10120052,pneustore,continental,15 conticrosscontact,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,continental,15 Conticrosscontact,,,,False,2025-09-05 20:13:55,{}
Pneu Pirelli Aro 15 Scorpion HT 205/70R15 96T,752.79,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-15-scorpion-ht-205-70r15-96t-16001244,pneustore,pirelli,scorpion,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,pirelli,Scorpion,,,,False,2025-09-05 20:13:56,{}
Pneu Speedmax Aro 15 DL01 205/70R15C 106/104R,464.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-speedmax-aro-15-dl01-205-70r15c-106-104r-16003086,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:13:58,{}
Pneu Itaro Aro 15 MC02 205/70R15C 106/104R,381.23,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-205-70r15c/produto/pneu-itaro-aro-15-mc02-205-70r15c-106-104r-16010526,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:13:59,{}
Pneu Speedmax Aro 15 MC02 205/70R15C 106/104R,459.46,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-205-70r15c/produto/pneu-speedmax-aro-15-mc02-205-70r15c-106-104r-16010529,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:14:00,{}
Pneu Chengshan Aro 15 CSR71 205/70R15C 106/104R,361.68,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/produto/pneu-chengshan-aro-15-csr71-205-70r15c-106-104r-16004487,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:14:01,{}
Pneu Atlas Aro 15 Paraller AT 205/70R15 96T,381.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-atlas-aro-15-paraller-at-205-70r15-96t-16004284,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:14:03,{}
Pneu Speedmax Aro 15 Drivemax C10 205/70R15 96H,391.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-speedmax-aro-15-drivemax-c10-205-70r15-96h-16009192,pneustore,,,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,,,,,,False,2025-09-05 20:14:03,{}
Pneu Pirelli Aro 15 Scorpion ATR (KS) 205/70R15 96T,721.84,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-pirelli-aro-15-scorpion-atr-%28ks%29-205-70r15-96t-10070053,pneustore,pirelli,scorpion,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,pirelli,Scorpion,,,,False,2025-09-05 20:14:04,{}
Pneu Kumho Aro 15 Road Venture AT51 205/70R15 96T,635.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-kumho-aro-15-road-venture-at51-205-70r15-96t-10010577,pneustore,kumho,15 road,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,kumho,15 Road,,,,False,2025-09-05 20:14:06,{}
Pneu Goodyear Aro 15 Wrangler Fortitude HT 205/70R15 96T,708.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-goodyear-aro-15-wrangler-fortitude-ht-205-70r15-96t-16001142,pneustore,goodyear,wrangler,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,goodyear,Wrangler,,,,False,2025-09-05 20:14:08,{}
Pneu Continental Aro 15 VanContact AP 205/70R15C 106/104R 8 Lonas,889.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-205-70r15c/produto/pneu-continental-aro-15-vancontact-ap-205-70r15c-106-104r-8-lonas-10120055,pneustore,continental,15 vancontact,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,continental,15 Vancontact,,,,False,2025-09-05 20:14:30,{}
Pneu General Tire by Continental Aro 15 Grabber AT3 205/70R15 96T,762.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-general-tire-by-continental-aro-15-grabber-at3-205-70r15-96t-10260047,pneustore,continental,15 grabber,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,continental,15 Grabber,,,,False,2025-09-05 20:14:32,{}
Pneu Nexen Aro 15 Roadian CT8 205/70R15 106/104T 8 Lonas,586.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-205-70r15/produto/pneu-nexen-aro-15-roadian-ct8-205-70r15-106-104t-8-lonas-16003930,pneustore,nexen,15 roadian,205/70R15,205-70-r15,15,pneu 205 70 r15 Triangle Te307,,nexen,15 Roadian,,,,False,2025-09-05 20:14:34,{}
