titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Bridgestone Aro 17 Dueler H/P Sport 215/60R17 96H,1085.23,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-bridgestone-aro-17-dueler-h-p-sport-215-60r17-96h-16000763,pneustore,bridgestone,17 dueler,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,bridgestone,17 Dueler,,,,False,2025-09-05 19:14:25,{}
Pneu BFGoodrich Aro 17 Trail-Terrain T/A 215/60R17 96H,1466.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-bfgoodrich-aro-17-trail-terrain-t-a-215-60r17-96h-16010594,pneustore,bfgoodrich,17 trail-terrain,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,bfgoodrich,17 Trail-Terrain,,,,False,2025-09-05 19:14:26,{}
Pneu Pirelli Aro 17 Scorpion 215/60R17 96H,655.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-pirelli-aro-17-scorpion-215-60r17-96h-16003120,pneustore,pirelli,scorpion,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,pirelli,Scorpion,,,,False,2025-09-05 19:14:27,{}
Pneu Ceat Aro 17 SecuraDrive 215/60R17 96H TL,567.01,https://www.pneustore.com.br/categorias/sele%C3%A7%C3%A3o-frete/produto/pneu-ceat-aro-17-securadrive-215-60r17-96h-tl-10011088,pneustore,,,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,,,,,,False,2025-09-05 19:14:30,{}
Pneu Speedmax Prime Aro 17 FRD66 215/60R17 96H,444.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-speedmax-prime-aro-17-frd66-215-60r17-96h-16005754,pneustore,,,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,,,,,,False,2025-09-05 19:14:31,{}
Pneu Goodyear Aro 17 EfficientGrip 215/60R17 100H XL,806.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-goodyear-aro-17-efficientgrip-215-60r17-100h-xl-16009125,pneustore,goodyear,efficientgrip,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,goodyear,Efficientgrip,,,,False,2025-09-05 19:14:32,{}
Pneu Goodyear Aro 17 Efficientgrip SUV 215/60R17 96H,762.57,https://www.pneustore.com.br/categorias/marcas/pneus-goodyear/produto/pneu-goodyear-aro-17-efficientgrip-suv-215-60r17-96h-16001153,pneustore,goodyear,efficientgrip,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,goodyear,Efficientgrip,,,,False,2025-09-05 19:14:33,{}
Pneu Kumho Aro 17 Ecsta HS52 215/60R17 100V XL,586.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-kumho-aro-17-ecsta-hs52-215-60r17-100v-xl-16003706,pneustore,kumho,17 ecsta,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,kumho,17 Ecsta,,,,False,2025-09-05 19:14:36,{}
Pneu Pirelli Aro 17 Scorpion JP 215/60R17 100H XL,723.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-pirelli-aro-17-scorpion-jp-215-60r17-100h-xl-16008454,pneustore,pirelli,scorpion,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,pirelli,Scorpion,,,,False,2025-09-05 19:14:39,{}
Pneu Michelin Aro 17 Latitude Cross 215/60R17 100H XL,1359.01,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-michelin-aro-17-latitude-cross-215-60r17-100h-xl-10190176,pneustore,michelin,17 latitude,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,michelin,17 Latitude,,,,False,2025-09-05 19:14:40,{}
Pneu Continental Aro 17 ContiCrossContact LX2 215/60R17 96H XL,739.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-17-conticrosscontact-lx2-215-60r17-96h-xl-10120119,pneustore,continental,17 conticrosscontact,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,continental,17 Conticrosscontact,,,,False,2025-09-05 19:14:41,{}
Pneu Pirelli Aro 17 Scorpion HT 215/60R17 100H XL,1104.79,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-17-scorpion-ht-215-60r17-100h-xl-16001197,pneustore,pirelli,scorpion,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,pirelli,Scorpion,,,,False,2025-09-05 19:14:43,{}
Pneu Firestone Aro 17 Destination LE3 215/60R17 100H XL,782.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-firestone-aro-17-destination-le3-215-60r17-100h-xl-16011166,pneustore,firestone,17 destination,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,firestone,17 Destination,,,,False,2025-09-05 19:14:45,{}
Pneu General Tire by Continental Aro 17 Grabber GT Plus 215/60R17 96V,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-general-tire-by-continental-aro-17-grabber-gt-plus-215-60r17-96v--16001798,pneustore,continental,17 grabber,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,continental,17 Grabber,,,,False,2025-09-05 19:15:02,{}
Pneu Speedmax Prime Aro 17 Pangea All-Terrain 215/60R17 100T XL - Letras Brancas,659.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-60r17/produto/pneu-speedmax-prime-aro-17-pangea-all-terrain-215-60r17-100t-xl---letras-brancas-16010872,pneustore,,,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,,,,,,False,2025-09-05 19:15:05,{}
Pneu Pirelli Aro 17 Scorpion Verde All Season Seal Inside 215/60R17 100H XL,879.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-17-scorpion-verde-all-season-seal-inside-215-60r17-100h-xl-16001561,pneustore,pirelli,scorpion,215/60R17,215-60-r17,17,pneu 215 60 r17 Sunny Nu025 H/T,,pirelli,Scorpion,,,,False,2025-09-05 19:15:06,{}
