titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Carrier 215/65R16C 109T,969.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-215-65r16c/produto/pneu-pirelli-aro-16-carrier-215-65r16c-109t-12020018,pneustore,pirelli,16 carrier,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,pirelli,16 Carrier,,,,False,2025-08-24 22:41:10,{}
Pneu Kumho Aro 16 Sense KR26 215/65R16 98H,499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-kumho-aro-16-sense-kr26-215-65r16-98h-10040529,pneustore,kumho,16 sense,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,kumho,16 Sense,,,,False,2025-08-24 22:41:15,{}
Pneu Continental Aro 16 ContiCrossContact AT 215/65R16 98T,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-continental-aro-16-conticrosscontact-at-215-65r16-98t-10120116,pneustore,continental,16 conticrosscontact,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,continental,16 Conticrosscontact,,,,False,2025-08-24 22:41:16,{}
Pneu Kumho Aro 16 Solus TA51 215/65R16 98H,559.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-kumho-aro-16-solus-ta51-215-65r16-98h-16009483,pneustore,kumho,16 solus,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,kumho,16 Solus,,,,False,2025-08-24 22:41:18,{}
Pneu Atlas Aro 16 Paraller AT 215/65R16 98T,489.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-atlas-aro-16-paraller-at-215-65r16-98t-16004163,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,,,,,,False,2025-08-24 22:41:19,{}
Pneu Speedmax Prime Aro 16 FRD16 215/65R16 98H,499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-speedmax-prime-aro-16-frd16-215-65r16-98h-16005749,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,,,,,,False,2025-08-24 22:41:20,{}
Pneu Firestone Aro 16 Destination H/T 215/65R16 98H,549.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-215-65r16-98h-10100191,pneustore,firestone,16 destination,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,firestone,16 Destination,,,,False,2025-08-24 22:41:22,{}
Pneu Continental Aro 16 Conticrosscontact LX2 215/65R16 102H XL,719.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-16-conticrosscontact-lx2-215-65r16-102h-xl-10120223,pneustore,continental,16 conticrosscontact,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,continental,16 Conticrosscontact,,,,False,2025-08-24 22:41:23,{}
Pneu Goodyear Aro 16 Wrangler Fortitude HT 215/65R16 102H,749.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-goodyear-aro-16-wrangler-fortitude-ht-215-65r16-102h-16000524,pneustore,goodyear,wrangler,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,goodyear,Wrangler,,,,False,2025-08-24 22:41:24,{}
Pneu Pirelli Aro 16 Scorpion HT 215/65R16 102H XL,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-pirelli-aro-16-scorpion-ht-215-65r16-102h-xl-16001246,pneustore,pirelli,scorpion,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,pirelli,Scorpion,,,,False,2025-08-24 22:41:25,{}
Pneu Barum by Continental Aro 16 Bravuris AT 215/65R16 102T XL,529.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-barum-by-continental-aro-16-bravuris-at-215-65r16-102t-xl-16003118,pneustore,continental,16 bravuris,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,continental,16 Bravuris,,,,False,2025-08-24 22:41:49,{}
Pneu General Tire by Continental Aro 16 Grabber GT Plus 215/65R16 98H,609.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-general-tire-by-continental-aro-16-grabber-gt-plus-215-65r16-98h-16001799,pneustore,continental,16 grabber,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,continental,16 Grabber,,,,False,2025-08-24 22:41:52,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 215/65R16 102H - Letras Brancas,709.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-215-65r16-102h---letras-brancas-16009011,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,,,,,,False,2025-08-24 22:41:53,{}
Pneu BFGoodrich Aro 16 Trail-Terrain T/A 215/65R16 98T - Letras Brancas,1159.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bfgoodrich-aro-16-trail-terrain-t-a-215-65r16-98t---letras-brancas-16004729,pneustore,bfgoodrich,16 trail-terrain,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,bfgoodrich,16 Trail-Terrain,,,,False,2025-08-24 22:41:54,{}
Pneu Pirelli Aro 16 Scorpion Verde All Season Seal Inside 215/65R16 102H XL,779.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-pirelli-aro-16-scorpion-verde-all-season-seal-inside-215-65r16-102h-xl-16001733,pneustore,pirelli,scorpion,215/65R16,215-65-r16,16,pneu 215 65 r16 Lavigator Comfort 2,,pirelli,Scorpion,,,,False,2025-08-24 22:41:57,{}
