titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu BFGoodrich Aro 16 Trail-Terrain T/A 215/65R16 98T - Letras Brancas,1159.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bfgoodrich-aro-16-trail-terrain-t-a-215-65r16-98t---letras-brancas-16004729,pneustore,bfgoodrich,16 trail-terrain,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,bfgoodrich,16 Trail-Terrain,,,,False,2025-08-25 04:16:07,{}
Pneu BFGoodrich Aro 16 All Terrain KO3 215/65R16 103/100S,1249.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bfgoodrich-aro-16-all-terrain-ko3-215-65r16-103-100s-16012677,pneustore,bfgoodrich,16 all,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,bfgoodrich,16 All,,,,False,2025-08-25 04:16:08,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 215/65R16 102H - Letras Brancas,709.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-215-65r16-102h---letras-brancas-16009011,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,,,,,,False,2025-08-25 04:16:09,{}
Pneu Pirelli Aro 16 Scorpion Verde All Season 215/65R16 102H,579.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-pirelli-aro-16-scorpion-verde-all-season-215-65r16-102h-10070211,pneustore,pirelli,scorpion,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,pirelli,Scorpion,,,,False,2025-08-25 04:16:13,{}
Pneu Firestone Aro 16 Destination H/T 215/65R16 98H,549.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-215-65r16-98h-10100191,pneustore,firestone,16 destination,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,firestone,16 Destination,,,,False,2025-08-25 04:16:14,{}
Pneu Bridgestone Aro 16 Dueler H/T 684 II 215/65R16 98T,649.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bridgestone-aro-16-dueler-h-t-684-ii-215-65r16-98t-10100001,pneustore,bridgestone,16 dueler,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,bridgestone,16 Dueler,,,,False,2025-08-25 04:16:17,{}
Pneu Bridgestone Aro 16 Dueler H/T 684 II 215/65R16 102H,669.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bridgestone-aro-16-dueler-h-t-684-ii-215-65r16-102h-10100116,pneustore,bridgestone,16 dueler,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,bridgestone,16 Dueler,,,,False,2025-08-25 04:16:18,{}
Pneu Pirelli Aro 16 Scorpion Verde All Season Seal Inside 215/65R16 102H XL,779.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-pirelli-aro-16-scorpion-verde-all-season-seal-inside-215-65r16-102h-xl-16001733,pneustore,pirelli,scorpion,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,pirelli,Scorpion,,,,False,2025-08-25 04:16:21,{}
Pneu Michelin Aro 16 Ltx Force 215/65R16 102H XL,789.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-michelin-aro-16-ltx-force-215-65r16-102h-xl-16002662,pneustore,michelin,ltx force,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,michelin,Ltx Force,,,,False,2025-08-25 04:16:45,{}
Pneu Goodyear Aro 16 Wrangler Workhorse AT 215/65R16 102H XL,789.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-goodyear-aro-16-wrangler-workhorse-at-215-65r16-102h-xl-16003745,pneustore,goodyear,wrangler,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,goodyear,Wrangler,,,,False,2025-08-25 04:16:49,{}
Pneu Barum by Continental Aro 16 Bravuris AT 215/65R16 102T XL,529.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-barum-by-continental-aro-16-bravuris-at-215-65r16-102t-xl-16003118,pneustore,continental,16 bravuris,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,continental,16 Bravuris,,,,False,2025-08-25 04:16:59,{}
Pneu General Tire by Continental Aro 16 Grabber AT3 215/65R16 98T,839.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-general-tire-by-continental-aro-16-grabber-at3-215-65r16-98t-10120234,pneustore,continental,16 grabber,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,continental,16 Grabber,,,,False,2025-08-25 04:17:04,{}
Pneu General Tire by Continental Aro 16 Grabber GT Plus 215/65R16 98H,609.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-general-tire-by-continental-aro-16-grabber-gt-plus-215-65r16-98h-16001799,pneustore,continental,16 grabber,215/65R16,215-65-r16,16,pneu 215 65 r16 Sunset All Terrain T/A,,continental,16 Grabber,,,,False,2025-08-25 04:17:23,{}
