titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu BFGoodrich Aro 16 Trail-Terrain T/A 215/65R16 98T - Letras Brancas,1134.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bfgoodrich-aro-16-trail-terrain-t-a-215-65r16-98t---letras-brancas-16004729,pneustore,bfgoodrich,16 trail-terrain,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,bfgoodrich,16 Trail-Terrain,,,,False,2025-09-05 22:00:52,{}
Pneu Firestone Aro 16 Destination H/T 215/65R16 98H,527.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-215-65r16-98h-10100191,pneustore,firestone,16 destination,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,firestone,16 Destination,,,,False,2025-09-05 22:00:53,{}
Pneu Bridgestone Aro 16 Dueler H/T 684 II 215/65R16 98T,635.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bridgestone-aro-16-dueler-h-t-684-ii-215-65r16-98t-10100001,pneustore,bridgestone,16 dueler,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,bridgestone,16 Dueler,,,,False,2025-09-05 22:00:54,{}
Pneu Bridgestone Aro 16 Dueler H/T 684 II 215/65R16 102H,625.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-bridgestone-aro-16-dueler-h-t-684-ii-215-65r16-102h-10100116,pneustore,bridgestone,16 dueler,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,bridgestone,16 Dueler,,,,False,2025-09-05 22:00:56,{}
Pneu Pirelli Aro 16 Carrier 215/65R16C 109T,928.79,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-215-65r16c/produto/pneu-pirelli-aro-16-carrier-215-65r16c-109t-12020018,pneustore,pirelli,16 carrier,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,pirelli,16 Carrier,,,,False,2025-09-05 22:01:01,{}
Pneu Continental Aro 16 ContiCrossContact AT 215/65R16 98T,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-continental-aro-16-conticrosscontact-at-215-65r16-98t-10120116,pneustore,continental,16 conticrosscontact,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,continental,16 Conticrosscontact,,,,False,2025-09-05 22:01:04,{}
Pneu Farroad Aro 16 FRD96 215/65R16C 109/107T,567.01,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-215-65r16c/produto/pneu-farroad-aro-16-frd96-215-65r16c-109-107t-12010173,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,,,,,,False,2025-09-05 22:01:05,{}
Pneu Kumho Aro 16 Sense KR26 215/65R16 98H,537.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-kumho-aro-16-sense-kr26-215-65r16-98h-10040529,pneustore,kumho,16 sense,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,kumho,16 Sense,,,,False,2025-09-05 22:01:06,{}
Pneu Speedmax Prime Aro 16 FRD16 215/65R16 98H,420.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-speedmax-prime-aro-16-frd16-215-65r16-98h-16005749,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,,,,,,False,2025-09-05 22:01:08,{}
Pneu Atlas Aro 16 Paraller AT 215/65R16 98T,479.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-atlas-aro-16-paraller-at-215-65r16-98t-16004163,pneustore,,,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,,,,,,False,2025-09-05 22:01:09,{}
Pneu Kumho Aro 16 Solus TA51 215/65R16 98H,547.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-215-65r16/produto/pneu-kumho-aro-16-solus-ta51-215-65r16-98h-16009483,pneustore,kumho,16 solus,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,kumho,16 Solus,,,,False,2025-09-05 22:01:10,{}
Pneu Continental Aro 16 Conticrosscontact LX2 215/65R16 102H XL,719.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-16-conticrosscontact-lx2-215-65r16-102h-xl-10120223,pneustore,continental,16 conticrosscontact,215/65R16,215-65-r16,16,pneu 215 65 r16 Xbri Brutus T/A,,continental,16 Conticrosscontact,,,,False,2025-09-05 22:01:13,{}
