titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Aeolus Aro 17.5 AGB20 215/75R17.5 127/124M 16 Lonas,979.9,https://www.pneustore.com.br/categorias/marcas/pneus-aeolus/produto/pneu-aeolus-aro-17-5-agb20-215-75r17-5-127-124m-16-lonas-9020267,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:03,{}
Pneu Speedmax Aro 17.5 SPM01 215/75R17.5 135/133J 16 Lonas,749.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-spm01-215-75r17-5-135-133j-16-lonas-16001058,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:04,{}
Pneu Speedmax Aro 17.5 SPM01T 215/75R17.5 135/133J 16 Lonas,789.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-spm01t-215-75r17-5-135-133j-16-lonas-16001712,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:06,{}
Pneu Speedmax Aro 17.5 AZ531W 215/75R17.5 135/133J 16 Lonas,869.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-az531w-215-75r17-5-135-133j-16-lonas-16010480,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:08,{}
Pneu Aeolus Aro 17.5 AGC28 215/75R17.5 135/133J TL 18 Lonas,814.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/misto/produto/pneu-aeolus-aro-17-5-agc28-215-75r17-5-135-133j-tl-18-lonas-9020508,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:11,{}
Pneu Speedmax Aro 17.5 Factormax S 215/75R17.5 135/133L 18 Lonas,809.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-factormax-s-215-75r17-5-135-133l-18-lonas-16009006,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:12,{}
Pneu Speedmax Aro 17.5 Factormax-MD 215/75R17.5 135/133L 18 Lonas,859.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-factormax-md-215-75r17-5-135-133l-18-lonas-16009007,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:13,{}
Pneu Speedmax Aro 17.5 Townmax A 215/75R17.5 135/133J 18 Lonas,829.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-townmax-a-215-75r17-5-135-133j-18-lonas-16009407,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:14,{}
Pneu Speedmax Aro 17.5 Questmax D 215/75R17.5 126/124L 16 Lonas,829.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-questmax-d-215-75r17-5-126-124l-16-lonas-16009405,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:15,{}
Pneu Speedmax Aro 17.5 Questmax S 215/75R17.5 126/124L 16 Lonas,764.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-215-75r17-5/produto/pneu-speedmax-aro-17-5-questmax-s-215-75r17-5-126-124l-16-lonas-16010015,pneustore,,,215/75R17,215-75-r17,17,pneu 215 75 r17 Linglong Llf86,,,,,,,False,2025-08-24 22:59:16,{}
