titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 17 Powergy 225/45R17 91W,430.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-pirelli-aro-17-powergy-225-45r17-91w-16004515,pneustore,pirelli,17 powergy,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,pirelli,17 Powergy,,,,False,2025-09-05 08:58:25,{}
Pneu Goodyear Aro 17 EfficientGrip Performance 225/45R17 94W,606.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-goodyear-aro-17-efficientgrip-performance-225-45r17-94w-10130090,pneustore,goodyear,efficientgrip,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,goodyear,Efficientgrip,,,,False,2025-09-05 08:58:26,{}
Pneu Kumho Aro 17 Ecowing ES31 225/45R17 91W,459.46,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-kumho-aro-17-ecowing-es31-225-45r17-91w-10041046,pneustore,kumho,17 ecowing,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,kumho,17 Ecowing,,,,False,2025-09-05 08:58:29,{}
Pneu Continental Aro 17 ContiSportContact 5 225/45R17 91Y,743.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-continental-aro-17-contisportcontact-5-225-45r17-91y-16003047,pneustore,continental,17 contisportcontact,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,continental,17 Contisportcontact,,,,False,2025-09-05 08:58:31,{}
Pneu Firestone Aro 17 F-700+ 225/45R17 91W,488.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-firestone-aro-17-f-700%2B-225-45r17-91w-16005407,pneustore,firestone,17 f-700,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,firestone,17 F-700,,,,False,2025-09-05 08:58:32,{}
Pneu Speedmax Prime Aro 17 FRD26 225/45R17 94W,386.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-speedmax-prime-aro-17-frd26-225-45r17-94w-16005740,pneustore,,,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,,,,,,False,2025-09-05 08:58:33,{}
Pneu Continental Aro 17 ContiSportContact 5 MO 225/45R17 91W,759.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-continental-aro-17-contisportcontact-5-mo-225-45r17-91w-10260050,pneustore,continental,17 contisportcontact,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,continental,17 Contisportcontact,,,,False,2025-09-05 08:58:34,{}
Pneu Atlas Aro 17 Sport Green 225/45R17 94W XL,303.01,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-atlas-aro-17-sport-green-225-45r17-94w-xl-10011079,pneustore,,,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,,,,,,False,2025-09-05 08:58:35,{}
Pneu Bridgestone Aro 17 Potenza RE050A * 225/45R17 91W Run Flat,1124.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-bridgestone-aro-17-potenza-re050a-225-45r17-91w-run-flat-10290008,pneustore,bridgestone,17 potenza,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,bridgestone,17 Potenza,,,,False,2025-09-05 08:58:54,{}
Pneu Farroad Aro 17 X-Arrow 225/45R17 94V Semi Slick,488.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-farroad-aro-17-x-arrow-225-45r17-94v-semi-slick-10031237,pneustore,,,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,,,,,,False,2025-09-05 08:58:56,{}
Pneu Pirelli Aro 17 Cinturato P7 (*) 225/45R17 91Y Run Flat,1173.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-pirelli-aro-17-cinturato-p7-%28-%29-225-45r17-91y-run-flat-16010715,pneustore,pirelli,cinturato p7,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,pirelli,Cinturato P7,,,,False,2025-09-05 08:59:00,{}
Pneu Bridgestone Aro 17 Turanza T005 * 225/45R17 94Y Run Flat XL,1192.79,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-bridgestone-aro-17-turanza-t005-225-45r17-94y-run-flat-xl-16000711,pneustore,bridgestone,17 turanza,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,bridgestone,17 Turanza,,,,False,2025-09-05 08:59:01,{}
Pneu Bridgestone Aro 17 Turanza T001 MOE 225/45R17 91W Run Flat,1241.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-bridgestone-aro-17-turanza-t001-moe-225-45r17-91w-run-flat-16001239,pneustore,bridgestone,17 turanza,225/45R17,225-45-r17,17,pneu 225 45 r17 Firemax Fm601,,bridgestone,17 Turanza,,,,False,2025-09-05 08:59:02,{}
