titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 17 Powergy 225/45R17 91W,430.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-pirelli-aro-17-powergy-225-45r17-91w-16004515,pneustore,pirelli,17 powergy,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,pirelli,17 Powergy,,,,False,2025-09-05 19:05:19,{}
Pneu Continental Aro 17 ContiSportContact 5 225/45R17 91Y,743.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-continental-aro-17-contisportcontact-5-225-45r17-91y-16003047,pneustore,continental,17 contisportcontact,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,continental,17 Contisportcontact,,,,False,2025-09-05 19:05:21,{}
Pneu Kumho Aro 17 Ecowing ES31 225/45R17 91W,459.46,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-kumho-aro-17-ecowing-es31-225-45r17-91w-10041046,pneustore,kumho,17 ecowing,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,kumho,17 Ecowing,,,,False,2025-09-05 19:05:22,{}
Pneu Goodyear Aro 17 EfficientGrip Performance 225/45R17 94W,606.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-goodyear-aro-17-efficientgrip-performance-225-45r17-94w-10130090,pneustore,goodyear,efficientgrip,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,goodyear,Efficientgrip,,,,False,2025-09-05 19:05:24,{}
Pneu Firestone Aro 17 F-700+ 225/45R17 91W,488.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-firestone-aro-17-f-700%2B-225-45r17-91w-16005407,pneustore,firestone,17 f-700,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,firestone,17 F-700,,,,False,2025-09-05 19:05:25,{}
Pneu Speedmax Prime Aro 17 FRD26 225/45R17 94W,386.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-speedmax-prime-aro-17-frd26-225-45r17-94w-16005740,pneustore,,,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,,,,,,False,2025-09-05 19:05:27,{}
Pneu Continental Aro 17 ExtremeContact Sport 02 225/45R17 91W,699.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-continental-aro-17-extremecontact-sport-02-225-45r17-91w-16011039,pneustore,continental,17 extremecontact,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,continental,17 Extremecontact,,,,False,2025-09-05 19:05:32,{}
Pneu Atlas Aro 17 Sport Green 225/45R17 94W XL,303.01,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-atlas-aro-17-sport-green-225-45r17-94w-xl-10011079,pneustore,,,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,,,,,,False,2025-09-05 19:05:35,{}
Pneu Continental Aro 17 ContiSportContact 5 MO 225/45R17 91W,759.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-continental-aro-17-contisportcontact-5-mo-225-45r17-91w-10260050,pneustore,continental,17 contisportcontact,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,continental,17 Contisportcontact,,,,False,2025-09-05 19:05:36,{}
Pneu Bridgestone Aro 17 Turanza ER300 MO 225/45R17 91W,1134.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r17/produto/pneu-bridgestone-aro-17-turanza-er300-mo-225-45r17-91w-16004964,pneustore,bridgestone,17 turanza,225/45R17,225-45-r17,17,pneu 225 45 r17 Sunny Na305,,bridgestone,17 Turanza,,,,False,2025-09-05 19:05:37,{}
