titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Continental Aro 18 ExtremeContact Sport 02 225/45R18 91Y,1109.9,https://www.pneustore.com.br/categorias/marcas/pneus-continental/produto/pneu-continental-aro-18-extremecontact-sport-02-225-45r18-91y-16008882,pneustore,continental,18 extremecontact,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,continental,18 Extremecontact,,,,False,2025-09-05 06:10:19,{}
Pneu Michelin Aro 18 Pilot Super Sport * 225/45R18 95Y XL,2004.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-michelin-aro-18-pilot-super-sport-225-45r18-95y-xl-10190264,pneustore,michelin,18 pilot,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,michelin,18 Pilot,,,,False,2025-09-05 06:10:20,{}
Pneu Michelin Aro 18 Pilot Sport 5 225/45R18 (95Y) XL,1222.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-michelin-aro-18-pilot-sport-5-225-45r18-%2895y%29-xl-16004056,pneustore,michelin,18 pilot,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,michelin,18 Pilot,,,,False,2025-09-05 06:10:21,{}
Pneu Bridgestone Aro 18 Dueler H/P Sport * Run Flat 225/45R18 91V,1750.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-bridgestone-aro-18-dueler-h-p-sport-run-flat-225-45r18-91v-10290014,pneustore,bridgestone,18 dueler,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,bridgestone,18 Dueler,,,,False,2025-09-05 06:10:23,{}
Pneu Itaro Aro 18 Powermax 225/45R18 95W,391.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-itaro-aro-18-powermax-225-45r18-95w-16008371,pneustore,,,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,,,,,,False,2025-09-05 06:10:38,{}
Pneu Pirelli Aro 18 Cinturato P7 (*) 225/45R18 91V Run Flat,1833.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-pirelli-aro-18-cinturato-p7-%28-%29-225-45r18-91v-run-flat-10070111,pneustore,pirelli,cinturato p7,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,pirelli,Cinturato P7,,,,False,2025-09-05 06:10:58,{}
Pneu Kumho Aro 18 Ecsta PS71 225/45R18 91Y Run Flat,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-kumho-aro-18-ecsta-ps71-225-45r18-91y-run-flat-10031221,pneustore,kumho,18 ecsta,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,kumho,18 Ecsta,,,,False,2025-09-05 06:10:59,{}
Pneu Bridgestone Aro 18 Potenza S001 * 225/45R18 91Y Run Flat,1564.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-bridgestone-aro-18-potenza-s001-225-45r18-91y-run-flat-10290036,pneustore,bridgestone,18 potenza,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,bridgestone,18 Potenza,,,,False,2025-09-05 06:11:02,{}
Pneu Maxxis Aro 18 M36+ 225/45R18 91W Run Flat XL,928.79,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-maxxis-aro-18-m36%2B-225-45r18-91w-run-flat-xl-16000549,pneustore,maxxis,18 m36,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,maxxis,18 M36,,,,False,2025-09-05 06:11:03,{}
Pneu Pirelli Aro 18 Cinturato P7 New (*) 225/45R18 95Y XL,1163.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-45r18/produto/pneu-pirelli-aro-18-cinturato-p7-new-%28-%29-225-45r18-95y-xl-16003256,pneustore,pirelli,cinturato p7,225/45R18,225-45-r18,18,pneu 225 45 r18 Davanti Protoura Sport,,pirelli,Cinturato P7,,,,False,2025-09-05 06:11:04,{}
