titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 18 Scorpion 225/55R18 98H,762.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-pirelli-aro-18-scorpion-225-55r18-98h-16001200,pneustore,pirelli,scorpion,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,pirelli,Scorpion,,,,False,2025-09-05 03:29:35,{}
Pneu Speedmax Aro 18 DSU02 225/55R18 102W,527.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-speedmax-aro-18-dsu02-225-55r18-102w-16001509,pneustore,,,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,,,,,,False,2025-09-05 03:29:36,{}
Pneu Kumho Aro 18 Solus KL21 225/55R18 98H,586.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-kumho-aro-18-solus-kl21-225-55r18-98h-10040148,pneustore,kumho,18 solus,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,kumho,18 Solus,,,,False,2025-09-05 03:29:38,{}
Pneu Goodyear Aro 18 Eagle LS2 225/55R18 97H,1368.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-goodyear-aro-18-eagle-ls2-225-55r18-97h-10230017,pneustore,goodyear,eagle,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,goodyear,Eagle,,,,False,2025-09-05 03:29:39,{}
Pneu Goodyear Aro 18 EfficientGrip SUV 225/55R18 98V,860.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-goodyear-aro-18-efficientgrip-suv-225-55r18-98v-10130193,pneustore,goodyear,efficientgrip,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,goodyear,Efficientgrip,,,,False,2025-09-05 03:29:40,{}
Pneu Continental Aro 18 ContiCrossContact LX2 225/55R18 98V,1111.0,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-18-conticrosscontact-lx2-225-55r18-98v-10260143,pneustore,continental,18 conticrosscontact,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,continental,18 Conticrosscontact,,,,False,2025-09-05 03:29:41,{}
Pneu Continental Aro 18 ContiCrossContact LX2 225/55R18 98V,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-18-conticrosscontact-lx2-225-55r18-98v-16001318,pneustore,continental,18 conticrosscontact,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,continental,18 Conticrosscontact,,,,False,2025-09-05 03:29:43,{}
Pneu Speedmax Prime Aro 18 FRD26 225/55R18 102W,527.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-speedmax-prime-aro-18-frd26-225-55r18-102w-16005742,pneustore,,,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,,,,,,False,2025-09-05 03:29:45,{}
Pneu Kumho Aro 18 Solus TA51 225/55R18 98H,664.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-kumho-aro-18-solus-ta51-225-55r18-98h-16009424,pneustore,kumho,18 solus,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,kumho,18 Solus,,,,False,2025-09-05 03:29:46,{}
Pneu Pirelli Aro 18 Scorpion (JP) 225/55R18 98V,674.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-pirelli-aro-18-scorpion-%28jp%29-225-55r18-98v-16010716,pneustore,pirelli,scorpion,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,pirelli,Scorpion,,,,False,2025-09-05 03:29:48,{}
Pneu Firestone Aro 18 Destination LE3 225/55R18 98V,879.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-firestone-aro-18-destination-le3-225-55r18-98v-16011165,pneustore,firestone,18 destination,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,firestone,18 Destination,,,,False,2025-09-05 03:29:49,{}
Pneu Speedmax Prime Aro 18 Pangea All-Terrain 225/55R18 108/105S 8 Lonas,708.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-55r18/produto/pneu-speedmax-prime-aro-18-pangea-all-terrain-225-55r18-108-105s-8-lonas-16010874,pneustore,,,225/55R18,225-55-r18,18,pneu 225 55 r18 Aptany Ru025Y,,,,,,,False,2025-09-05 03:30:11,{}
