titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Kumho Aro 18 Crugen HP71 225/60R18 104V,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-kumho-aro-18-crugen-hp71-225-60r18-104v-10041078,pneustore,kumho,18 crugen,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,kumho,18 Crugen,,,,False,2025-08-25 01:57:13,{}
Pneu Atlas Aro 18 Batman A50 225/60R18 100H,539.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-atlas-aro-18-batman-a50-225-60r18-100h-10031429,pneustore,,,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,,,,,,False,2025-08-25 01:57:14,{}
Pneu Pirelli Aro 18 Scorpion 225/60R18 104H XL,1199.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-18-scorpion-225-60r18-104h-xl-16001245,pneustore,pirelli,scorpion,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,pirelli,Scorpion,,,,False,2025-08-25 01:57:15,{}
Pneu Continental Aro 18 ProContact TX 225/60R18 100H,1429.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-60r18/produto/pneu-continental-aro-18-procontact-tx-225-60r18-100h-16003040,pneustore,continental,18 procontact,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,continental,18 Procontact,,,,False,2025-08-25 01:57:16,{}
Pneu Speedmax Prime Aro 18 FRD26 225/60R18 104V,649.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-60r18/produto/pneu-speedmax-prime-aro-18-frd26-225-60r18-104v-16005743,pneustore,,,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,,,,,,False,2025-08-25 01:57:17,{}
Pneu Kumho Aro 18 Solus TA51 225/60R18 100H,749.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-60r18/produto/pneu-kumho-aro-18-solus-ta51-225-60r18-100h-16009357,pneustore,kumho,18 solus,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,kumho,18 Solus,,,,False,2025-08-25 01:57:18,{}
Pneu Itaro Aro 18 Performax 225/60R18 104H XL,549.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-60r18/produto/pneu-itaro-aro-18-performax-225-60r18-104h-xl-16005005,pneustore,,,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,,,,,,False,2025-08-25 01:57:19,{}
Pneu Bridgestone Aro 18 Alenza H/L33 225/60R18 100H,1569.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-bridgestone-aro-18-alenza-h-l33-225-60r18-100h-16000718,pneustore,bridgestone,18 alenza,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,bridgestone,18 Alenza,,,,False,2025-08-25 01:57:20,{}
Pneu Pirelli Aro 18 Scorpion HT 225/60R18 104H XL,1449.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-18-scorpion-ht-225-60r18-104h-xl-16001201,pneustore,pirelli,scorpion,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,pirelli,Scorpion,,,,False,2025-08-25 01:57:21,{}
Pneu Continental Aro 18 PremiumContact 6 225/60R18 104V XL,1369.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-60r18/produto/pneu-continental-aro-18-premiumcontact-6-225-60r18-104v-xl-16009154,pneustore,continental,18 premiumcontact,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,continental,18 Premiumcontact,,,,False,2025-08-25 01:57:25,{}
Pneu Bridgestone Aro 18 Dueler H/P Sport 225/60R18 100V,1774.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-bridgestone-aro-18-dueler-h-p-sport-225-60r18-100v-16000780,pneustore,bridgestone,18 dueler,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,bridgestone,18 Dueler,,,,False,2025-08-25 01:57:26,{}
Pneu Michelin Aro 18 LTX Force 225/60R18 104H XL TL,1259.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-60r18/produto/pneu-michelin-aro-18-ltx-force-225-60r18-104h-xl-tl-16004188,pneustore,michelin,ltx force,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,michelin,Ltx Force,,,,False,2025-08-25 01:57:27,{}
Pneu Goodyear Aro 18 Wrangler Fortitude HT 225/60R18 104H XL,939.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-60r18/produto/pneu-goodyear-aro-18-wrangler-fortitude-ht-225-60r18-104h-xl-16009132,pneustore,goodyear,wrangler,225/60R18,225-60-r18,18,pneu 225 60 r18 Roadcruza Ra1100,,goodyear,Wrangler,,,,False,2025-08-25 01:57:31,{}
