titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Goodyear Aro 16 G32 Cargo 225/65R16C 112R,1259.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-goodyear-aro-16-g32-cargo-225-65r16c-112r-10130032,pneustore,goodyear,16 g32,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,goodyear,16 G32,,,,False,2025-08-24 14:42:18,{}
Pneu Farroad Aro 16 FRD96 225/65R16C 112/110T,439.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-farroad-aro-16-frd96-225-65r16c-112-110t-12010164,pneustore,,,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,,,,,,False,2025-08-24 14:42:19,{}
Pneu Itaro Aro 16 MC02 225/65R16C 112/110R,449.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-itaro-aro-16-mc02-225-65r16c-112-110r-16010528,pneustore,,,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,,,,,,False,2025-08-24 14:42:22,{}
Pneu Speedmax Aro 16 MC02 225/65R16C 112/110R,579.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-speedmax-aro-16-mc02-225-65r16c-112-110r-16010531,pneustore,,,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,,,,,,False,2025-08-24 14:42:24,{}
Pneu Michelin Aro 16 Agilis 3 225/65R16C 112/110R,1269.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-michelin-aro-16-agilis-3-225-65r16c-112-110r-16000793,pneustore,michelin,16 agilis,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,michelin,16 Agilis,,,,False,2025-08-24 14:42:25,{}
Pneu Speedmax Prime Aro 16 FRD96 225/65R16C 112/110T,549.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-speedmax-prime-aro-16-frd96-225-65r16c-112-110t-16005744,pneustore,,,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,,,,,,False,2025-08-24 14:42:26,{}
Pneu Ceat Aro 16 EnduraDrive 225/65R16C 112/110T 8 Lonas,624.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-ceat-aro-16-enduradrive-225-65r16c-112-110t-8-lonas-16011041,pneustore,,,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,,,,,,False,2025-08-24 14:42:30,{}
Pneu Continental Aro 16 VanContact AP 225/65R16C 112/110R 8 Lonas,1199.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-continental-aro-16-vancontact-ap-225-65r16c-112-110r-8-lonas-10120090,pneustore,continental,16 vancontact,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,continental,16 Vancontact,,,,False,2025-08-24 14:42:31,{}
Pneu General Tire Aro 16 Eurovan 2 225/65R16C 112/110R 8 Lonas,919.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-general-tire-aro-16-eurovan-2-225-65r16c-112-110r-8-lonas-16008872,pneustore,general,tire 16,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,general,Tire 16,,,,False,2025-08-24 14:42:35,{}
Pneu Speedmax Aro 16 Drivemax Van V10 225/65R16C 112/110S 8 Lonas,649.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-65r16c/produto/pneu-speedmax-aro-16-drivemax-van-v10-225-65r16c-112-110s-8-lonas-16009160,pneustore,,,225/65R16,225-65-r16,16,pneu 225 65 r16 Compasal Vanmax,,,,,,,False,2025-08-24 14:42:36,{}
