titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 17 FRD66 225/65R17 106H,439.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-farroad-aro-17-frd66-225-65r17-106h-10040722,pneustore,,,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,,,,,,False,2025-09-05 08:48:57,{}
Pneu Speedmax Prime Aro 17 FRD66 225/65R17 106H,503.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-speedmax-prime-aro-17-frd66-225-65r17-106h-16005752,pneustore,,,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,,,,,,False,2025-09-05 08:48:59,{}
Pneu Speedmax Aro 17 W01 225/65R17 102T,645.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-speedmax-aro-17-w01-225-65r17-102t-16001486,pneustore,,,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,,,,,,False,2025-09-05 08:49:04,{}
Pneu Continental Aro 17 ContiCrossContact LX2 225/65R17 102H,1049.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-17-conticrosscontact-lx2-225-65r17-102h-10120092,pneustore,continental,17 conticrosscontact,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,continental,17 Conticrosscontact,,,,False,2025-09-05 08:49:08,{}
Pneu Pirelli Aro 17 Scorpion ATR 225/65R17 102H,762.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-pirelli-aro-17-scorpion-atr-225-65r17-102h-16002512,pneustore,pirelli,scorpion,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,pirelli,Scorpion,,,,False,2025-09-05 08:49:09,{}
Pneu Firestone Aro 17 Destination LE2 225/65R17 102H,801.68,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-17-destination-le2-225-65r17-102h-10100144,pneustore,firestone,17 destination,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,firestone,17 Destination,,,,False,2025-09-05 08:49:10,{}
Pneu Pirelli Aro 17 Scorpion HT 225/65R17 106H XL,928.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-pirelli-aro-17-scorpion-ht-225-65r17-106h-xl-16001202,pneustore,pirelli,scorpion,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,pirelli,Scorpion,,,,False,2025-09-05 08:49:11,{}
Pneu Nexen Aro 17 N Fera RU5 225/65R17 106V,625.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-nexen-aro-17-n-fera-ru5-225-65r17-106v-16003890,pneustore,nexen,17 n,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,nexen,17 N,,,,False,2025-09-05 08:49:18,{}
Pneu Michelin Aro 17 Primacy SUV+ 225/65R17 106H XL,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-michelin-aro-17-primacy-suv%2B-225-65r17-106h-xl-16006369,pneustore,michelin,17 primacy,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,michelin,17 Primacy,,,,False,2025-09-05 08:49:19,{}
Pneu BFGoodrich Aro 17 All Terrain T/A KO2 225/65R17 107/103S,1515.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-bfgoodrich-aro-17-all-terrain-t-a-ko2-225-65r17-107-103s-16002723,pneustore,bfgoodrich,17 all,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,bfgoodrich,17 All,,,,False,2025-09-05 08:49:37,{}
Pneu BFGoodrich Aro 17 Trail-Terrain T/A 225/65R17 102T Letra Branca,1417.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-bfgoodrich-aro-17-trail-terrain-t-a-225-65r17-102t-letra-branca-16004402,pneustore,bfgoodrich,17 trail-terrain,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,bfgoodrich,17 Trail-Terrain,,,,False,2025-09-05 08:49:38,{}
Pneu Kelly by Goodyear Aro 17 Edge SUV 2 225/65R17 106H XL,772.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-65r17/produto/pneu-kelly-by-goodyear-aro-17-edge-suv-2-225-65r17-106h-xl-16009292,pneustore,goodyear,17 edge,225/65R17,225-65-r17,17,pneu 225 65 r17 Farroad Frd66,,goodyear,17 Edge,,,,False,2025-09-05 08:49:39,{}
