titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Chrono 225/75R16C 118R,1129.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-pirelli-aro-16-chrono-225-75r16c-118r-10140005,pneustore,pirelli,16 chrono,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,pirelli,16 Chrono,,,,False,2025-08-24 12:14:01,{}
Pneu Farroad Aro 16 FRD96 225/75R16C 121/120R,469.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-farroad-aro-16-frd96-225-75r16c-121-120r-12010146,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:03,{}
Pneu Farroad Aro 16 FRD86 225/75R16 115/112Q,599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-farroad-aro-16-frd86-225-75r16-115-112q-16001692,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:05,{}
Pneu Pirelli Aro 16 Scorpion ATR 225/75R16 110S,1299.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-pirelli-aro-16-scorpion-atr-225-75r16-110s-16002532,pneustore,pirelli,scorpion,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,pirelli,Scorpion,,,,False,2025-08-24 12:14:06,{}
Pneu Michelin Aro 16 Latitude Cross 225/75R16 108H,1639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-michelin-aro-16-latitude-cross-225-75r16-108h-16002707,pneustore,michelin,16 latitude,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,michelin,16 Latitude,,,,False,2025-08-24 12:14:07,{}
Pneu Speedmax Aro 16 DL01 225/75R16C 121/120R,649.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-speedmax-aro-16-dl01-225-75r16c-121-120r-16003094,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:08,{}
Pneu Speedmax Aro 16 T01 225/75R16 110/107N,774.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-speedmax-aro-16-t01-225-75r16-110-107n-16003149,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:09,{}
Pneu Itaro Aro 16 MC02 225/75R16C 121/120R,479.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-itaro-aro-16-mc02-225-75r16c-121-120r-16010532,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:10,{}
Pneu Speedmax Aro 16 MC02 225/75R16C 121/120R,649.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-speedmax-aro-16-mc02-225-75r16c-121-120r-16010533,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:12,{}
Pneu Michelin Aro 16 Agilis 3 225/75R16C 118/116R,1179.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-michelin-aro-16-agilis-3-225-75r16c-118-116r-16005692,pneustore,michelin,16 agilis,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,michelin,16 Agilis,,,,False,2025-08-24 12:14:13,{}
Pneu Speedmax Prime Aro 16 FRD96 225/75R16C 121/120R,639.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-speedmax-prime-aro-16-frd96-225-75r16c-121-120r-16005745,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:15,{}
Pneu Goodyear Aro 16 Wrangler Duratrac 225/75R16 115/112Q,1649.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-goodyear-aro-16-wrangler-duratrac-225-75r16-115-112q-16001134,pneustore,goodyear,wrangler,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,goodyear,Wrangler,,,,False,2025-08-24 12:14:18,{}
Pneu Speedmax Aro 16 W01 225/75R16 103/100Q TL,769.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-speedmax-aro-16-w01-225-75r16-103-100q-tl-16002764,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:19,{}
Pneu Continental Aro 16 Vancontact Ultra 225/75R16 118/116R,1219.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-continental-aro-16-vancontact-ultra-225-75r16-118-116r-16014613,pneustore,continental,16 vancontact,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,continental,16 Vancontact,,,,False,2025-08-24 12:14:20,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 225/75R16 115/112R 10 Lonas - Letras Brancas,839.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-225-75r16-115-112r-10-lonas---letras-brancas-16010876,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,,,,,,False,2025-08-24 12:14:39,{}
Pneu BFGoodrich Aro 16 Mud Terrain T/A KM3 225/75R16 115/112Q TL 10 Lonas,1799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-bfgoodrich-aro-16-mud-terrain-t-a-km3-225-75r16-115-112q-tl-10-lonas-10190243,pneustore,bfgoodrich,16 mud,225/75R16,225-75-r16,16,pneu 225 75 r16 Aptany Rl101,,bfgoodrich,16 Mud,,,,False,2025-08-24 12:14:41,{}
