titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Chrono 225/75R16C 118R,1046.13,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-pirelli-aro-16-chrono-225-75r16c-118r-10140005,pneustore,pirelli,16 chrono,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,pirelli,16 Chrono,,,,False,2025-09-05 20:03:16,{}
Pneu Speedmax Aro 16 DL01 225/75R16C 121/120R,635.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-speedmax-aro-16-dl01-225-75r16c-121-120r-16003094,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,,,,,,False,2025-09-05 20:03:18,{}
Pneu Speedmax Aro 16 T01 225/75R16 110/107N,757.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-speedmax-aro-16-t01-225-75r16-110-107n-16003149,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,,,,,,False,2025-09-05 20:03:19,{}
Pneu Itaro Aro 16 MC02 225/75R16C 121/120R,469.23,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-itaro-aro-16-mc02-225-75r16c-121-120r-16010532,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,,,,,,False,2025-09-05 20:03:21,{}
Pneu Speedmax Aro 16 MC02 225/75R16C 121/120R,635.46,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-speedmax-aro-16-mc02-225-75r16c-121-120r-16010533,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,,,,,,False,2025-09-05 20:03:22,{}
Pneu Farroad Aro 16 FRD86 225/75R16 115/112Q,586.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-farroad-aro-16-frd86-225-75r16-115-112q-16001692,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,,,,,,False,2025-09-05 20:03:23,{}
Pneu Pirelli Aro 16 Scorpion ATR 225/75R16 110S,1271.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-pirelli-aro-16-scorpion-atr-225-75r16-110s-16002532,pneustore,pirelli,scorpion,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,pirelli,Scorpion,,,,False,2025-09-05 20:03:24,{}
Pneu Michelin Aro 16 Latitude Cross 225/75R16 108H,1603.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-225-75r16/produto/pneu-michelin-aro-16-latitude-cross-225-75r16-108h-16002707,pneustore,michelin,16 latitude,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,michelin,16 Latitude,,,,False,2025-09-05 20:03:25,{}
Pneu Michelin Aro 16 Agilis 3 225/75R16C 118/116R,1153.68,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-michelin-aro-16-agilis-3-225-75r16c-118-116r-16005692,pneustore,michelin,16 agilis,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,michelin,16 Agilis,,,,False,2025-09-05 20:03:27,{}
Pneu Speedmax Prime Aro 16 FRD96 225/75R16C 121/120R,625.68,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/pneus-225-75r16c/produto/pneu-speedmax-prime-aro-16-frd96-225-75r16c-121-120r-16005745,pneustore,,,225/75R16,225-75-r16,16,pneu 225 75 r16 Trazano H188,,,,,,,False,2025-09-05 20:03:29,{}
