titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Aro 18 W01 235/55R18 100T,840.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-speedmax-aro-18-w01-235-55r18-100t-16001485,pneustore,,,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,,,,,,False,2025-09-05 13:25:43,{}
Pneu Kumho Aro 18 Solus KL21 235/55R18 100H,782.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-kumho-aro-18-solus-kl21-235-55r18-100h-10040573,pneustore,kumho,18 solus,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,kumho,18 Solus,,,,False,2025-09-05 13:25:44,{}
Pneu Firestone Aro 18 Destination LE3 235/55R18 104V,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-firestone-aro-18-destination-le3-235-55r18-104v-16010999,pneustore,firestone,18 destination,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,firestone,18 Destination,,,,False,2025-09-05 13:25:47,{}
Pneu Kumho Aro 18 Solus TA51 235/55R18 100V,713.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-kumho-aro-18-solus-ta51-235-55r18-100v-16011228,pneustore,kumho,18 solus,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,kumho,18 Solus,,,,False,2025-09-05 13:25:48,{}
Pneu Goodyear Aro 18 EfficientGrip SUV 235/55R18 104V XL,1329.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-goodyear-aro-18-efficientgrip-suv-235-55r18-104v-xl-10130208,pneustore,goodyear,efficientgrip,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,goodyear,Efficientgrip,,,,False,2025-09-05 13:25:50,{}
Pneu Continental Aro 18 ContiSportContact 5 SUV 235/55R18 100V,1589.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-18-contisportcontact-5-suv-235-55r18-100v-10260148,pneustore,continental,18 contisportcontact,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,continental,18 Contisportcontact,,,,False,2025-09-05 13:25:51,{}
Pneu Bridgestone Aro 18 Alenza 001 AO 235/55R18 100V,1241.68,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-bridgestone-aro-18-alenza-001-ao-235-55r18-100v-16000731,pneustore,bridgestone,18 alenza,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,bridgestone,18 Alenza,,,,False,2025-09-05 13:25:52,{}
Pneu Pirelli Aro 18 Scorpion Seal Inside 235/55R18 100V,1398.13,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-pirelli-aro-18-scorpion-seal-inside-235-55r18-100v-16001558,pneustore,pirelli,scorpion,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,pirelli,Scorpion,,,,False,2025-09-05 13:25:53,{}
Pneu Michelin Aro 18 Primacy 3 AO 235/55R18 104Y,1417.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-michelin-aro-18-primacy-3-ao-235-55r18-104y-16002693,pneustore,michelin,18 primacy,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,michelin,18 Primacy,,,,False,2025-09-05 13:25:55,{}
Pneu Continental Aro 18 ContiSportContact 5 ContiSeal 235/55R18 100V,1599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-continental-aro-18-contisportcontact-5-contiseal-235-55r18-100v-16003033,pneustore,continental,18 contisportcontact,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,continental,18 Contisportcontact,,,,False,2025-09-05 13:25:56,{}
Pneu Barum by Continental Aro 18 Bravuris 4X4 235/55R18 100V,606.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r18/produto/pneu-barum-by-continental-aro-18-bravuris-4x4-235-55r18-100v-10120190,pneustore,continental,18 bravuris,235/55R18,235-55-r18,18,pneu 235 55 r18 Lanvigator Catchpower Plus,,continental,18 Bravuris,,,,False,2025-09-05 13:26:03,{}
