titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Goodyear Aro 19 Excellence 235/55R19 101W,1659.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-goodyear-aro-19-excellence-235-55r19-101w-10230101,pneustore,goodyear,19 excellence,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,goodyear,19 Excellence,,,,False,2025-08-24 12:08:06,{}
Pneu Kumho Aro 19 KL21 235/55R19 105V,949.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r19/produto/pneu-kumho-aro-19-kl21-235-55r19-105v-16003081,pneustore,kumho,19 kl21,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,kumho,19 Kl21,,,,False,2025-08-24 12:08:07,{}
Pneu Goodyear Aro 19 Assurance Finesse 235/55R19 101H,1824.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r19/produto/pneu-goodyear-aro-19-assurance-finesse-235-55r19-101h-16005673,pneustore,goodyear,assurance,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,goodyear,Assurance,,,,False,2025-08-24 12:08:08,{}
Pneu Speedmax Aro 19 DSU02 235/55R19 105V XL,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r19/produto/pneu-speedmax-aro-19-dsu02-235-55r19-105v-xl-16002468,pneustore,,,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,,,,,,False,2025-08-24 12:08:10,{}
Pneu Kumho Aro 19 Crugen Premium KL33 235/55R19 101H,949.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-kumho-aro-19-crugen-premium-kl33-235-55r19-101h-10040305,pneustore,kumho,19 crugen,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,kumho,19 Crugen,,,,False,2025-08-24 12:08:12,{}
Pneu Goodyear Aro 19 EfficientGrip SUV 235/55R19 105V XL,1374.9,https://www.pneustore.com.br/categorias/pneus-de-carro/alta-performance/produto/pneu-goodyear-aro-19-efficientgrip-suv-235-55r19-105v-xl-10130157,pneustore,goodyear,efficientgrip,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,goodyear,Efficientgrip,,,,False,2025-08-24 12:08:13,{}
Pneu Continental Aro 19 ContiSportContact 5 N0 235/55R19 101Y,1369.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-19-contisportcontact-5-n0-235-55r19-101y-16000607,pneustore,continental,19 contisportcontact,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,continental,19 Contisportcontact,,,,False,2025-08-24 12:08:14,{}
Pneu Pirelli Aro 19 Scorpion JP 235/55R19 105V XL,1449.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r19/produto/pneu-pirelli-aro-19-scorpion-jp-235-55r19-105v-xl-16010824,pneustore,pirelli,scorpion,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,pirelli,Scorpion,,,,False,2025-08-24 12:08:16,{}
Pneu Cooper Aro 19 Evolution CTT 235/55R19 105H XL,1489.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r19/produto/pneu-cooper-aro-19-evolution-ctt-235-55r19-105h-xl-16011341,pneustore,cooper,19 evolution,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,cooper,19 Evolution,,,,False,2025-08-24 12:08:18,{}
Pneu Pirelli Aro 19 Scorpion Verde (VOL) 235/55R19 105V XL,1619.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-19-scorpion-verde-%28vol%29-235-55r19-105v-xl--10070080,pneustore,pirelli,scorpion,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,pirelli,Scorpion,,,,False,2025-08-24 12:08:19,{}
Pneu Continental Aro 19 CrossContact UHP LR 235/55R19 105W XL,1539.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-19-crosscontact-uhp-lr-235-55r19-105w-xl-10260149,pneustore,continental,19 crosscontact,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,continental,19 Crosscontact,,,,False,2025-08-24 12:08:21,{}
Pneu Continental Aro 19 ContiSportContact 5 SUV AO 235/55R19 101W,1499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-19-contisportcontact-5-suv-ao-235-55r19-101w-16000230,pneustore,continental,19 contisportcontact,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,continental,19 Contisportcontact,,,,False,2025-08-24 12:08:23,{}
Pneu Michelin Aro 19 Latitude Sport 3 MO1 235/55R19 101Y,1899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-55r19/produto/pneu-michelin-aro-19-latitude-sport-3-mo1-235-55r19-101y-16002823,pneustore,michelin,19 latitude,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,michelin,19 Latitude,,,,False,2025-08-24 12:08:25,{}
Pneu Pirelli Aro 19 Scorpion Verde (MOE) 235/55R19 101V Run Flat,2159.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-19-scorpion-verde-%28moe%29-235-55r19-101v-run-flat-10140223,pneustore,pirelli,scorpion,235/55R19,235-55-r19,19,pneu 235 55 r19 Aptany Ra301,,pirelli,Scorpion,,,,False,2025-08-24 12:08:26,{}
