titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Goodyear Aro 18 Wrangler Fortitude HT 235/60R18 103V,1099.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-goodyear-aro-18-wrangler-fortitude-ht-235-60r18-103v-16000511,pneustore,goodyear,wrangler,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,goodyear,Wrangler,,,,False,2025-08-25 06:37:32,{}
Pneu Goodyear Aro 18 Wrangler Territory HT 235/60R18 107H XL,1099.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-goodyear-aro-18-wrangler-territory-ht-235-60r18-107h-xl-16007854,pneustore,goodyear,wrangler,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,goodyear,Wrangler,,,,False,2025-08-25 06:37:33,{}
Pneu Farroad Aro 18 FRD86 235/60R18 107H,659.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-farroad-aro-18-frd86-235-60r18-107h-16001506,pneustore,,,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,,,,,,False,2025-08-25 06:37:39,{}
Pneu Speedmax Aro 18 W01 235/60R18 103T,709.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-speedmax-aro-18-w01-235-60r18-103t-16001476,pneustore,,,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,,,,,,False,2025-08-25 06:37:40,{}
Pneu Michelin Aro 18 Primacy SUV+ 235/60R18 103V,1069.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-michelin-aro-18-primacy-suv%2B-235-60r18-103v-16006370,pneustore,michelin,18 primacy,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,michelin,18 Primacy,,,,False,2025-08-25 06:37:43,{}
Pneu Firestone Aro 18 Destination LE3 235/60R18 107V,1159.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-firestone-aro-18-destination-le3-235-60r18-107v-16010995,pneustore,firestone,18 destination,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,firestone,18 Destination,,,,False,2025-08-25 06:37:45,{}
Pneu Pirelli Aro 18 Scorpion 235/60R18 107H XL,1089.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-pirelli-aro-18-scorpion-235-60r18-107h-xl-16010773,pneustore,pirelli,scorpion,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,pirelli,Scorpion,,,,False,2025-08-25 06:37:45,{}
Pneu Kumho Aro 18 Solus TA51 235/60R18 103H,749.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-kumho-aro-18-solus-ta51-235-60r18-103h-16010799,pneustore,kumho,18 solus,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,kumho,18 Solus,,,,False,2025-08-25 06:37:46,{}
Pneu Continental Aro 18 CrossContact UHP 235/60R18 107W XL,1179.9,https://www.pneustore.com.br/categorias/pneus-de-carro/passeio/produto/pneu-continental-aro-18-crosscontact-uhp-235-60r18-107w-xl-10260151,pneustore,continental,18 crosscontact,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,continental,18 Crosscontact,,,,False,2025-08-25 06:37:47,{}
Pneu Hankook Aro 18 Dynapro HP2 RA33 235/60R18 103V,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-hankook-aro-18-dynapro-hp2-ra33-235-60r18-103v-10040643,pneustore,hankook,18 dynapro,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,hankook,18 Dynapro,,,,False,2025-08-25 06:37:50,{}
Pneu Continental Aro 18 ContiSportContact 5 (N0) 235/60R18 103W,1169.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-60r18/produto/pneu-continental-aro-18-contisportcontact-5-%28n0%29-235-60r18-103w-16003032,pneustore,continental,18 contisportcontact,235/60R18,235-60-r18,18,pneu 235 60 r18 Xbri Forza Ht 2 Extra,,continental,18 Contisportcontact,,,,False,2025-08-25 06:37:51,{}
