titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 16 FRD66 235/70R16 106T,479.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-farroad-aro-16-frd66-235-70r16-106t-10040482,pneustore,,,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,,,,,,False,2025-09-05 03:33:13,{}
Pneu Michelin Aro 16 LTX Force 235/70R16 106T,1183.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-michelin-aro-16-ltx-force-235-70r16-106t-10110090,pneustore,michelin,ltx force,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,michelin,Ltx Force,,,,False,2025-09-05 03:33:18,{}
Pneu Continental Aro 16 CrossContact ATR 235/70R16 106T,1009.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-continental-aro-16-crosscontact-atr-235-70r16-106t-10120113,pneustore,continental,16 crosscontact,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,continental,16 Crosscontact,,,,False,2025-09-05 03:33:19,{}
Pneu Continental Aro 16 ContiCrossContact LX2 235/70R16 106H,849.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-continental-aro-16-conticrosscontact-lx2-235-70r16-106h-10120101,pneustore,continental,16 conticrosscontact,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,continental,16 Conticrosscontact,,,,False,2025-09-05 03:33:20,{}
Pneu Pirelli Aro 16 Scorpion HT 235/70R16 104T,953.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-pirelli-aro-16-scorpion-ht-235-70r16-104t-16001205,pneustore,pirelli,scorpion,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,pirelli,Scorpion,,,,False,2025-09-05 03:33:21,{}
Pneu Firestone Aro 16 Destination ATX 235/70R16 106T,821.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-firestone-aro-16-destination-atx-235-70r16-106t-16001237,pneustore,firestone,16 destination,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,firestone,16 Destination,,,,False,2025-09-05 03:33:22,{}
Pneu Speedmax Prime Aro 16 FRD86 235/70R16 106T,684.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-speedmax-prime-aro-16-frd86-235-70r16-106t-16005746,pneustore,,,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,,,,,,False,2025-09-05 03:33:23,{}
Pneu Firestone Aro 16 Destination H/T 235/70R16 106T,1007.01,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-235-70r16-106t-10100186,pneustore,firestone,16 destination,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,firestone,16 Destination,,,,False,2025-09-05 03:33:24,{}
Pneu Goodyear Aro 16 Wrangler Fortitude HT 235/70R16 106T,948.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-goodyear-aro-16-wrangler-fortitude-ht-235-70r16-106t-16001139,pneustore,goodyear,wrangler,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,goodyear,Wrangler,,,,False,2025-09-05 03:33:26,{}
Pneu Atlas Aro 16 Sport Green SUV 235/70R16 106H,479.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-atlas-aro-16-sport-green-suv-235-70r16-106h-16001790,pneustore,,,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,,,,,,False,2025-09-05 03:33:28,{}
Pneu Goodyear Aro 16 Wrangler Workhorse AT 235/70R16 109T,1026.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-70r16/produto/pneu-goodyear-aro-16-wrangler-workhorse-at-235-70r16-109t-16002916,pneustore,goodyear,wrangler,235/70R16,235-70-r16,16,pneu 235 70 r16 Aptany Ru101,,goodyear,Wrangler,,,,False,2025-09-05 03:33:30,{}
