titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 15 FRD66 235/75R15 105S,499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-farroad-aro-15-frd66-235-75r15-105s-10040719,pneustore,,,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,,,,,,False,2025-08-24 20:59:41,{}
Pneu Pirelli Aro 15 Scorpion HT 235/75R15 110T,819.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-pirelli-aro-15-scorpion-ht-235-75r15-110t-16001243,pneustore,pirelli,scorpion,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,pirelli,Scorpion,,,,False,2025-08-24 20:59:44,{}
Pneu Speedmax Aro 15 W01 235/75R15 110/107Q,674.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-speedmax-aro-15-w01-235-75r15-110-107q-16002771,pneustore,,,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,,,,,,False,2025-08-24 20:59:45,{}
Pneu Speedmax Aro 15 T01 235/75R15 110/107N,824.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-speedmax-aro-15-t01-235-75r15-110-107n-16003127,pneustore,,,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,,,,,,False,2025-08-24 20:59:46,{}
Pneu Speedmax Prime Aro 15 FRD66 235/75R15 105S,639.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-speedmax-prime-aro-15-frd66-235-75r15-105s-16005765,pneustore,,,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,,,,,,False,2025-08-24 20:59:47,{}
Pneu Continental Aro 15 ContiCrossContact LX2 235/75R15 109T XL,769.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-continental-aro-15-conticrosscontact-lx2-235-75r15-109t-xl-10120018,pneustore,continental,15 conticrosscontact,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,continental,15 Conticrosscontact,,,,False,2025-08-24 20:59:48,{}
Pneu Firestone Aro 15 Destination H/T 235/75R15 109T,774.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-15-destination-h-t-235-75r15-109t-10100187,pneustore,firestone,15 destination,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,firestone,15 Destination,,,,False,2025-08-24 20:59:49,{}
Pneu Goodyear Aro 15 Wrangler Workhorse AT 235/75R15 109S,919.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-goodyear-aro-15-wrangler-workhorse-at-235-75r15-109s-16002915,pneustore,goodyear,wrangler,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,goodyear,Wrangler,,,,False,2025-08-24 20:59:51,{}
Pneu Firestone Aro 15 Destination A/T 235/75R15 104/101S,909.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-firestone-aro-15-destination-a-t-235-75r15-104-101s-10100134,pneustore,firestone,15 destination,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,firestone,15 Destination,,,,False,2025-08-24 20:59:53,{}
Pneu Speedmax Aro 15 SL369 A/T 235/75R15 104/101Q,719.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-speedmax-aro-15-sl369-a-t-235-75r15-104-101q-16004771,pneustore,,,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,,,,,,False,2025-08-24 20:59:58,{}
Pneu Firestone Aro 15 Destination M/T 23 235/75R15 104/101Q,1274.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-235-75r15/produto/pneu-firestone-aro-15-destination-m-t-23-235-75r15-104-101q-10290044,pneustore,firestone,15 destination,235/75R15,235-75-r15,15,pneu 235 75 r15 Hifly At601,,firestone,15 Destination,,,,False,2025-08-24 21:00:02,{}
