titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Scorpion All Terrain Plus 245/70R16 111T XL,1114.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-pirelli-aro-16-scorpion-all-terrain-plus-245-70r16-111t-xl-10070323,pneustore,pirelli,scorpion,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,pirelli,Scorpion,,,,False,2025-09-05 04:12:41,{}
Pneu BFGoodrich Aro 16 All Terrain KO3 245/70R16 113/110S - Letras Brancas,1759.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-bfgoodrich-aro-16-all-terrain-ko3-245-70r16-113-110s---letras-brancas-16012678,pneustore,bfgoodrich,16 all,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,bfgoodrich,16 All,,,,False,2025-09-05 04:12:42,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 245/70R16 113/110S - Letras Brancas,811.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-245-70r16-113-110s---letras-brancas-16009022,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,,,,,,False,2025-09-05 04:12:46,{}
Pneu Speedmax Aro 16 W01 245/70R16 113/110Q,674.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-aro-16-w01-245-70r16-113-110q-16002765,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,,,,,,False,2025-09-05 04:12:51,{}
Pneu Speedmax Prime Aro 16 FRD66 245/70R16 107T,645.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-prime-aro-16-frd66-245-70r16-107t-16005755,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,,,,,,False,2025-09-05 04:12:52,{}
Pneu Speedmax Prime Aro 16 FRD86 245/70R16 107T,772.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-prime-aro-16-frd86-245-70r16-107t-16005756,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,,,,,,False,2025-09-05 04:12:54,{}
Pneu Continental Aro 16 ContiCrossContact LX 245/70R16 111T XL,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-continental-aro-16-conticrosscontact-lx-245-70r16-111t-xl-10120020,pneustore,continental,16 conticrosscontact,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,continental,16 Conticrosscontact,,,,False,2025-09-05 04:12:54,{}
Pneu Continental Aro 16 ContiCrossContact LX2 245/70R16 111T XL,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-continental-aro-16-conticrosscontact-lx2-245-70r16-111t-xl-10120091,pneustore,continental,16 conticrosscontact,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,continental,16 Conticrosscontact,,,,False,2025-09-05 04:12:56,{}
Pneu Firestone Aro 16 Destination H/T 245/70R16 107H,723.46,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-245-70r16-107h-10100193,pneustore,firestone,16 destination,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,firestone,16 Destination,,,,False,2025-09-05 04:12:57,{}
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1114.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t-16003732,pneustore,goodyear,wrangler,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,goodyear,Wrangler,,,,False,2025-09-05 04:12:58,{}
Pneu Speedmax Aro 16 Controlmax SUV SP10 245/70R16 107H,659.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-aro-16-controlmax-suv-sp10-245-70r16-107h-16009210,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Bf Goodrich All Terrain Ta,,,,,,,False,2025-09-05 04:13:00,{}
