titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 16 FRD66 245/70R16 107T,549.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-farroad-aro-16-frd66-245-70r16-107t-10040494,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,,,,,,False,2025-08-24 21:45:24,{}
Pneu Speedmax Aro 16 W01 245/70R16 113/110Q,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-aro-16-w01-245-70r16-113-110q-16002765,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,,,,,,False,2025-08-24 21:45:27,{}
Pneu Speedmax Prime Aro 16 FRD66 245/70R16 107T,694.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-prime-aro-16-frd66-245-70r16-107t-16005755,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,,,,,,False,2025-08-24 21:45:28,{}
Pneu Speedmax Prime Aro 16 FRD86 245/70R16 107T,789.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-prime-aro-16-frd86-245-70r16-107t-16005756,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,,,,,,False,2025-08-24 21:45:29,{}
Pneu Pirelli Aro 16 Scorpion HT 245/70R16 113T,1059.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-16-scorpion-ht-245-70r16-113t-16001206,pneustore,pirelli,scorpion,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,pirelli,Scorpion,,,,False,2025-08-24 21:45:30,{}
Pneu Continental Aro 16 ContiCrossContact LX 245/70R16 111T XL,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-continental-aro-16-conticrosscontact-lx-245-70r16-111t-xl-10120020,pneustore,continental,16 conticrosscontact,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,continental,16 Conticrosscontact,,,,False,2025-08-24 21:45:31,{}
Pneu Firestone Aro 16 Destination H/T 245/70R16 107H,789.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-245-70r16-107h-10100193,pneustore,firestone,16 destination,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,firestone,16 Destination,,,,False,2025-08-24 21:45:32,{}
Pneu Firestone Aro 16 Destination ATX 245/70R16 111T XL,1199.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-firestone-aro-16-destination-atx-245-70r16-111t-xl-16002378,pneustore,firestone,16 destination,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,firestone,16 Destination,,,,False,2025-08-24 21:45:34,{}
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1139.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t-16003732,pneustore,goodyear,wrangler,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,goodyear,Wrangler,,,,False,2025-08-24 21:45:35,{}
Pneu Speedmax Aro 16 Controlmax SUV SP10 245/70R16 107H,664.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-aro-16-controlmax-suv-sp10-245-70r16-107h-16009210,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,,,,,,False,2025-08-24 21:45:38,{}
Pneu Continental Aro 16 ContiCrossContact LX2 245/70R16 111T XL,969.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-continental-aro-16-conticrosscontact-lx2-245-70r16-111t-xl-10120091,pneustore,continental,16 conticrosscontact,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,continental,16 Conticrosscontact,,,,False,2025-08-24 21:45:40,{}
Pneu Goodyear Aro 16 Wrangler Fortitude HT 245/70R16 107H,1119.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-goodyear-aro-16-wrangler-fortitude-ht-245-70r16-107h-16001158,pneustore,goodyear,wrangler,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,goodyear,Wrangler,,,,False,2025-08-24 21:45:41,{}
Pneu Atlas Aro 16 Sport Green SUV 245/70R16 107H,549.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-atlas-aro-16-sport-green-suv-245-70r16-107h-16001791,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,,,,,,False,2025-08-24 21:45:42,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 245/70R16 113/110S - Letras Brancas,859.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-245-70r16-113-110s---letras-brancas-16009022,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Kpatos Fm518,,,,,,,False,2025-08-24 21:46:06,{}
