titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 245/70R16 113/110S - Letras Brancas,859.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-245-70r16-113-110s---letras-brancas-16009022,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,,,,,,False,2025-08-25 03:14:24,{}
Pneu Pirelli Aro 16 Scorpion All Terrain Plus 245/70R16 111T XL,1139.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-pirelli-aro-16-scorpion-all-terrain-plus-245-70r16-111t-xl-10070323,pneustore,pirelli,scorpion,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,pirelli,Scorpion,,,,False,2025-08-25 03:14:26,{}
Pneu Continental Aro 16 ContiCrossContact LX 245/70R16 111T XL,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-continental-aro-16-conticrosscontact-lx-245-70r16-111t-xl-10120020,pneustore,continental,16 conticrosscontact,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,continental,16 Conticrosscontact,,,,False,2025-08-25 03:15:04,{}
Pneu Continental Aro 16 ContiCrossContact LX2 245/70R16 111T XL,969.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-continental-aro-16-conticrosscontact-lx2-245-70r16-111t-xl-10120091,pneustore,continental,16 conticrosscontact,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,continental,16 Conticrosscontact,,,,False,2025-08-25 03:15:05,{}
Pneu Firestone Aro 16 Destination ATX 245/70R16 111T XL,1199.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-firestone-aro-16-destination-atx-245-70r16-111t-xl-16002378,pneustore,firestone,16 destination,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,firestone,16 Destination,,,,False,2025-08-25 03:15:06,{}
Pneu Goodyear Aro 16 Wrangler Workhorse AT 245/70R16 113T,1139.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-goodyear-aro-16-wrangler-workhorse-at-245-70r16-113t-16003732,pneustore,goodyear,wrangler,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,goodyear,Wrangler,,,,False,2025-08-25 03:15:07,{}
Pneu Firestone Aro 16 Destination H/T 245/70R16 107H,789.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-245-70r16-107h-10100193,pneustore,firestone,16 destination,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,firestone,16 Destination,,,,False,2025-08-25 03:15:11,{}
Pneu Goodyear Aro 16 Wrangler Fortitude HT 245/70R16 107H,1119.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-goodyear-aro-16-wrangler-fortitude-ht-245-70r16-107h-16001158,pneustore,goodyear,wrangler,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,goodyear,Wrangler,,,,False,2025-08-25 03:15:12,{}
Pneu Atlas Aro 16 Sport Green SUV 245/70R16 107H,549.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-atlas-aro-16-sport-green-suv-245-70r16-107h-16001791,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,,,,,,False,2025-08-25 03:15:13,{}
Pneu Michelin Aro 16 X LT A/S 245/70R16 107T,1649.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-michelin-aro-16-x-lt-a-s-245-70r16-107t-10190158,pneustore,michelin,16 x,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,michelin,16 X,,,,False,2025-08-25 03:15:16,{}
Pneu Nexen Aro 16 Roadian AT Pro RA8 245/70R16 107S,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-nexen-aro-16-roadian-at-pro-ra8-245-70r16-107s-16003923,pneustore,nexen,16 roadian,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,nexen,16 Roadian,,,,False,2025-08-25 03:15:17,{}
Pneu Barum by Continental Aro 16 Bravuris AT 245/70R16 111T XL,719.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-barum-by-continental-aro-16-bravuris-at-245-70r16-111t-xl-16003113,pneustore,continental,16 bravuris,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,continental,16 Bravuris,,,,False,2025-08-25 03:15:25,{}
Pneu Firemax Aro 16 FM501 A/T 245/70R16 107T - Letras Brancas,522.4,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-firemax-aro-16-fm501-a-t-245-70r16-107t---letras-brancas-16008961,pneustore,,,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,,,,,,False,2025-08-25 03:15:48,{}
Pneu Bridgestone Aro 16 Dueler H/T 684 III Ecopia 245/70R16 111T XL,909.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-245-70r16/produto/pneu-bridgestone-aro-16-dueler-h-t-684-iii-ecopia-245-70r16-111t-xl-10100007,pneustore,bridgestone,16 dueler,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,bridgestone,16 Dueler,,,,False,2025-08-25 03:15:52,{}
Pneu General Tire by Continental Aro 16 Grabber A/TX 245/70R16 111T XL,859.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-general-tire-by-continental-aro-16-grabber-a-tx-245-70r16-111t-xl-10120235,pneustore,continental,16 grabber,245/70R16,245-70-r16,16,pneu 245 70 r16 Speedmax Pangea All Terrain,,continental,16 Grabber,,,,False,2025-08-25 03:15:55,{}
