titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Goodyear Aro 18 Wrangler Fortitude HT 265/60R18 110H,1114.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-goodyear-aro-18-wrangler-fortitude-ht-265-60r18-110h-16001145,pneustore,goodyear,wrangler,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,goodyear,Wrangler,,,,False,2025-09-05 19:53:44,{}
Pneu Speedmax Aro 18 W01 265/60R18 110T,831.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-speedmax-aro-18-w01-265-60r18-110t-16004481,pneustore,,,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,,,,,,False,2025-09-05 19:53:46,{}
Pneu Farroad Aro 18 FRD86 265/60R18 110H,674.57,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-farroad-aro-18-frd86-265-60r18-110h-10040700,pneustore,,,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,,,,,,False,2025-09-05 19:53:47,{}
Pneu Kumho Aro 18 Solus KL21 265/60R18 110H,928.79,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-kumho-aro-18-solus-kl21-265-60r18-110h-10040240,pneustore,kumho,18 solus,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,kumho,18 Solus,,,,False,2025-09-05 19:53:50,{}
Pneu Michelin Aro 18 Primacy SUV 265/60R18 110H,1075.46,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-michelin-aro-18-primacy-suv-265-60r18-110h-10190317,pneustore,michelin,18 primacy,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,michelin,18 Primacy,,,,False,2025-09-05 19:53:51,{}
Pneu Firestone Aro 18 Destination LE3 265/60R18 110H,870.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-firestone-aro-18-destination-le3-265-60r18-110h-16009369,pneustore,firestone,18 destination,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,firestone,18 Destination,,,,False,2025-09-05 19:53:52,{}
Pneu Michelin Aro 18 LTX Force 265/60R18 110T,1300.35,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-michelin-aro-18-ltx-force-265-60r18-110t-10110129,pneustore,michelin,ltx force,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,michelin,Ltx Force,,,,False,2025-09-05 19:53:53,{}
Pneu Continental Aro 18 CrossContact ATR 265/60R18 110T,1169.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-18-crosscontact-atr-265-60r18-110t-10120112,pneustore,continental,18 crosscontact,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,continental,18 Crosscontact,,,,False,2025-09-05 19:53:55,{}
Pneu Michelin Aro 18 Primacy SUV+ 265/60R18 110H,1124.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-michelin-aro-18-primacy-suv%2B-265-60r18-110h-16011252,pneustore,michelin,18 primacy,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,michelin,18 Primacy,,,,False,2025-09-05 19:53:56,{}
Pneu Nexen Aro 18 Roadian HTX RH5 265/60R18 110H,879.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-nexen-aro-18-roadian-htx-rh5-265-60r18-110h-16003913,pneustore,nexen,18 roadian,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,nexen,18 Roadian,,,,False,2025-09-05 19:53:57,{}
Pneu Goodyear Aro 18 Wrangler Workhorse AT 265/60R18 110H,1143.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-goodyear-aro-18-wrangler-workhorse-at-265-60r18-110h-16004179,pneustore,goodyear,wrangler,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,goodyear,Wrangler,,,,False,2025-09-05 19:53:59,{}
Pneu Goodyear Aro 18 Wrangler Territory AT 265/60R18 110T,1202.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-goodyear-aro-18-wrangler-territory-at-265-60r18-110t-16004184,pneustore,goodyear,wrangler,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,goodyear,Wrangler,,,,False,2025-09-05 19:54:00,{}
Pneu Michelin Aro 18 LTX Trail 265/60R18 114H XL,1143.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-60r18/produto/pneu-michelin-aro-18-ltx-trail-265-60r18-114h-xl-16007618,pneustore,michelin,18 ltx,265/60R18,265-60-r18,18,pneu 265 60 r18 Tracmax Xprivilo Ht,,michelin,18 Ltx,,,,False,2025-09-05 19:54:02,{}
