titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 17 Scorpion HT 265/65R17 112T,909.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-pirelli-aro-17-scorpion-ht-265-65r17-112t-16001242,pneustore,pirelli,scorpion,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,pirelli,Scorpion,,,,False,2025-09-05 03:25:18,{}
Pneu Goodyear Aro 17 Wrangler Fortitude HT 265/65R17 112H,1124.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-goodyear-aro-17-wrangler-fortitude-ht-265-65r17-112h-16001138,pneustore,goodyear,wrangler,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,goodyear,Wrangler,,,,False,2025-09-05 03:25:19,{}
Pneu Farroad Aro 17 FRD86 265/65R17 112T,674.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-farroad-aro-17-frd86-265-65r17-112t-10040789,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,,,,,,False,2025-09-05 03:25:22,{}
Pneu Speedmax Aro 17 MHT01 265/65R17 112S,635.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-speedmax-aro-17-mht01-265-65r17-112s-16010535,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,,,,,,False,2025-09-05 03:25:26,{}
Pneu Continental Aro 17 ContiCrossContact LX2 265/65R17 112H,1129.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-continental-aro-17-conticrosscontact-lx2-265-65r17-112h-10120089,pneustore,continental,17 conticrosscontact,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,continental,17 Conticrosscontact,,,,False,2025-09-05 03:25:27,{}
Pneu Firestone Aro 17 Destination LE2 265/65R17 112H,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-firestone-aro-17-destination-le2-265-65r17-112h-10100162,pneustore,firestone,17 destination,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,firestone,17 Destination,,,,False,2025-09-05 03:25:28,{}
Pneu Speedmax Aro 17 W01 265/65R17 120/117Q,796.79,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-speedmax-aro-17-w01-265-65r17-120-117q-16002766,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,,,,,,False,2025-09-05 03:25:29,{}
Pneu Pirelli Aro 17 Scorpion MTR 265/65R17 116Q,1212.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-pirelli-aro-17-scorpion-mtr-265-65r17-116q-16003275,pneustore,pirelli,scorpion,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,pirelli,Scorpion,,,,False,2025-09-05 03:25:30,{}
Pneu Speedmax Aro 17 T01 265/65R17 120/117N,997.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-speedmax-aro-17-t01-265-65r17-120-117n-16003843,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,,,,,,False,2025-09-05 03:25:31,{}
Pneu Firestone Aro 17 Destination ATX 265/65R17 112T,1055.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-firestone-aro-17-destination-atx-265-65r17-112t-16007139,pneustore,firestone,17 destination,265/65R17,265-65-r17,17,pneu 265 65 r17 Aptany Ru025 Ht,,firestone,17 Destination,,,,False,2025-09-05 03:25:32,{}
