titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Goodyear Aro 17 Wrangler Workhorse AT 265/65R17 112H,1219.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-goodyear-aro-17-wrangler-workhorse-at-265-65r17-112h-16002920,pneustore,goodyear,wrangler,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,goodyear,Wrangler,,,,False,2025-08-25 02:13:11,{}
Pneu Goodyear Aro 17 Wrangler Territory AT 265/65R17 112T,1234.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-goodyear-aro-17-wrangler-territory-at-265-65r17-112t--16004183,pneustore,goodyear,wrangler,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,goodyear,Wrangler,,,,False,2025-08-25 02:13:12,{}
Pneu Ceat Aro 17 CrossDrive AT 265/65R17 112S TL - Letras Brancas,799.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-ceat-aro-17-crossdrive-at-265-65r17-112s-tl---letras-brancas-16007336,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,,,,,,False,2025-08-25 02:13:13,{}
Pneu Itaro Aro 17 MHT01 265/65R17 112S,599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-itaro-aro-17-mht01-265-65r17-112s-16010534,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,,,,,,False,2025-08-25 02:13:15,{}
Pneu Continental Aro 17 ContiCrossContact LX2 265/65R17 112H,1129.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-continental-aro-17-conticrosscontact-lx2-265-65r17-112h-10120089,pneustore,continental,17 conticrosscontact,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,continental,17 Conticrosscontact,,,,False,2025-08-25 02:13:16,{}
Pneu Firestone Aro 17 Destination LE2 265/65R17 112H,999.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-firestone-aro-17-destination-le2-265-65r17-112h-10100162,pneustore,firestone,17 destination,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,firestone,17 Destination,,,,False,2025-08-25 02:13:17,{}
Pneu Pirelli Aro 17 Scorpion HT 265/65R17 112T,849.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-pirelli-aro-17-scorpion-ht-265-65r17-112t-16001242,pneustore,pirelli,scorpion,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,pirelli,Scorpion,,,,False,2025-08-25 02:13:18,{}
Pneu Pirelli Aro 17 Scorpion MTR 265/65R17 116Q,1239.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-pirelli-aro-17-scorpion-mtr-265-65r17-116q-16003275,pneustore,pirelli,scorpion,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,pirelli,Scorpion,,,,False,2025-08-25 02:13:19,{}
Pneu Speedmax Aro 17 T01 265/65R17 120/117N,1019.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-speedmax-aro-17-t01-265-65r17-120-117n-16003843,pneustore,,,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,,,,,,False,2025-08-25 02:13:20,{}
Pneu Firestone Aro 17 Destination ATX 265/65R17 112T,1069.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-65r17/produto/pneu-firestone-aro-17-destination-atx-265-65r17-112t-16007139,pneustore,firestone,17 destination,265/65R17,265-65-r17,17,pneu 265 65 r17 Roadcruza Ra1100 At,,firestone,17 Destination,,,,False,2025-08-25 02:13:21,{}
