titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Scorpion HT 265/70R16 112T,1095.01,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-pirelli-aro-16-scorpion-ht-265-70r16-112t-16003079,pneustore,pirelli,scorpion,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,pirelli,Scorpion,,,,False,2025-09-05 06:40:18,{}
Pneu Goodyear Aro 16 Wrangler Fortitude HT 265/70R16 112H,1055.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-goodyear-aro-16-wrangler-fortitude-ht-265-70r16-112h-16000525,pneustore,goodyear,wrangler,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,goodyear,Wrangler,,,,False,2025-09-05 06:40:19,{}
Pneu Farroad Aro 16 FRD66 265/70R16 112T,576.79,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-farroad-aro-16-frd66-265-70r16-112t-10040483,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,,,,,,False,2025-09-05 06:40:20,{}
Pneu Michelin Aro 16 LTX Force 265/70R16 112T,1124.35,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-michelin-aro-16-ltx-force-265-70r16-112t-10110081,pneustore,michelin,ltx force,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,michelin,Ltx Force,,,,False,2025-09-05 06:40:25,{}
Pneu Continental Aro 16 ContiCrossContact LX2 265/70R16 112H,1029.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-16-conticrosscontact-lx2-265-70r16-112h-10120081,pneustore,continental,16 conticrosscontact,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,continental,16 Conticrosscontact,,,,False,2025-09-05 06:40:26,{}
Pneu Continental Aro 16 CrossContact ATR 265/70R16 112H,1095.01,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-continental-aro-16-crosscontact-atr-265-70r16-112h-10120212,pneustore,continental,16 crosscontact,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,continental,16 Crosscontact,,,,False,2025-09-05 06:40:27,{}
Pneu Firestone Aro 16 Destination ATX 265/70R16 112T,938.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-firestone-aro-16-destination-atx-265-70r16-112t-16002381,pneustore,firestone,16 destination,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,firestone,16 Destination,,,,False,2025-09-05 06:40:28,{}
Pneu Speedmax Aro 16 W01 265/70R16 110/107Q,791.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-speedmax-aro-16-w01-265-70r16-110-107q-16002767,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,,,,,,False,2025-09-05 06:40:29,{}
Pneu Speedmax Aro 16 T01 265/70R16 117/114N,889.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-speedmax-aro-16-t01-265-70r16-117-114n-16003128,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,,,,,,False,2025-09-05 06:40:30,{}
Pneu Speedmax Prime Aro 16 FRD66 265/70R16 112T,645.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-speedmax-prime-aro-16-frd66-265-70r16-112t-16005769,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Dewostone Wr9086A Ht,,,,,,,False,2025-09-05 06:40:32,{}
