titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu BFGoodrich Aro 16 Trail-Terrain T/A 265/70R16 112T - Letras Brancas,1559.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-bfgoodrich-aro-16-trail-terrain-t-a-265-70r16-112t---letras-brancas-16004401,pneustore,bfgoodrich,16 trail-terrain,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,bfgoodrich,16 Trail-Terrain,,,,False,2025-08-25 02:42:19,{}
Pneu Itaro Aro 16 Altermax A/T 265/70R16 112T - Letras Brancas,699.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-itaro-aro-16-altermax-a-t-265-70r16-112t---letras-brancas-16005012,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,,,,,,False,2025-08-25 02:42:21,{}
Pneu Firemax Aro 16 FM501 A/T 265/70R16 112T - Letras Brancas,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-firemax-aro-16-fm501-a-t-265-70r16-112t---letras-brancas-16008962,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,,,,,,False,2025-08-25 02:42:22,{}
Pneu BFGoodrich Aro 16 Mud Terrain T/A KM3 265/70R16 121/118Q,2499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-bfgoodrich-aro-16-mud-terrain-t-a-km3-265-70r16-121-118q-10190282,pneustore,bfgoodrich,16 mud,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,bfgoodrich,16 Mud,,,,False,2025-08-25 02:42:23,{}
Pneu Firestone Aro 16 Destination H/T 265/70R16 112T,889.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-firestone-aro-16-destination-h-t-265-70r16-112t-10100192,pneustore,firestone,16 destination,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,firestone,16 Destination,,,,False,2025-08-25 02:42:32,{}
Pneu General Tire by Continental Aro 16 Grabber A/TX 265/70R16 112T,1229.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-general-tire-by-continental-aro-16-grabber-a-tx-265-70r16-112t-10120236,pneustore,continental,16 grabber,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,continental,16 Grabber,,,,False,2025-08-25 02:42:38,{}
Pneu General Tire by Continental Aro 16 Grabber A/TX 265/70R16 112T - Letra Branca,1229.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-general-tire-by-continental-aro-16-grabber-a-tx-265-70r16-112t---letra-branca-16001449,pneustore,continental,16 grabber,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,continental,16 Grabber,,,,False,2025-08-25 02:42:39,{}
Pneu Goodyear Aro 16 Wrangler Fortitude HT 265/70R16 112H,1079.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-goodyear-aro-16-wrangler-fortitude-ht-265-70r16-112h-16000525,pneustore,goodyear,wrangler,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,goodyear,Wrangler,,,,False,2025-08-25 02:42:58,{}
Pneu Speedmax Aro 16 Controlmax SUV SP10 265/70R16 112H,689.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-speedmax-aro-16-controlmax-suv-sp10-265-70r16-112h-16009262,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,,,,,,False,2025-08-25 02:43:02,{}
Pneu Barum by Continental Aro 16 Bravuris AT 265/70R16 112T,779.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-barum-by-continental-aro-16-bravuris-at-265-70r16-112t-16003110,pneustore,continental,16 bravuris,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,continental,16 Bravuris,,,,False,2025-08-25 02:43:03,{}
Pneu Nexen Aro 16 Roadian AT Pro RA8 265/70R16 112S,849.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-nexen-aro-16-roadian-at-pro-ra8-265-70r16-112s-16003924,pneustore,nexen,16 roadian,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,nexen,16 Roadian,,,,False,2025-08-25 02:43:07,{}
Pneu Pirelli Aro 16 Scorpion All Terrain Plus 265/70R16 112T,1149.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-pirelli-aro-16-scorpion-all-terrain-plus-265-70r16-112t-10070321,pneustore,pirelli,scorpion,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,pirelli,Scorpion,,,,False,2025-08-25 02:43:13,{}
Pneu Farroad Aro 16 Express Plus 265/70R16 121/118S - Letras Brancas,749.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-farroad-aro-16-express-plus-265-70r16-121-118s---letras-brancas-16003142,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,,,,,,False,2025-08-25 02:43:18,{}
Pneu Kelly by Goodyear Aro 16 Edge SUV 2 265/70R16 112H,979.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-kelly-by-goodyear-aro-16-edge-suv-2-265-70r16-112h-16009123,pneustore,goodyear,16 edge,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,goodyear,16 Edge,,,,False,2025-08-25 02:43:37,{}
Pneu Hankook Aro 16 Dynapro ATM RF10 265/70R16 112T - Letra Branca,899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/suv-caminhonete/produto/pneu-hankook-aro-16-dynapro-atm-rf10-265-70r16-112t---letra-branca-10040815,pneustore,hankook,16 dynapro,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,hankook,16 Dynapro,,,,False,2025-08-25 02:43:38,{}
Pneu BFGoodrich Aro 16 All Terrain KO3 265/70R16 117/114S - Letras Brancas,1699.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-bfgoodrich-aro-16-all-terrain-ko3-265-70r16-117-114s---letras-brancas-16012680,pneustore,bfgoodrich,16 all,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,bfgoodrich,16 All,,,,False,2025-08-25 02:43:45,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 265/70R16 121/118R - Letras Brancas,1029.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-265-70r16-121-118r---letras-brancas-16009015,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,,,,,,False,2025-08-25 02:43:48,{}
Pneu Speedmax Aro 16 Adventuremax All-Terrain 265/70R16 117/114S XL - Letras Brancas,849.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-70r16/produto/pneu-speedmax-aro-16-adventuremax-all-terrain-265-70r16-117-114s-xl---letras-brancas-16009265,pneustore,,,265/70R16,265-70-r16,16,pneu 265 70 r16 Semperit Trail Life A/T,,,,,,,False,2025-08-25 02:43:49,{}
