titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Pirelli Aro 16 Scorpion HT 265/75R16 112S,1564.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-ht-265-75r16-112s-16001510,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,pirelli,Scorpion,,,,False,2025-09-05 12:24:44,{}
Pneu Speedmax Aro 16 T01 265/75R16 119/116N,977.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-speedmax-aro-16-t01-265-75r16-119-116n-16003683,pneustore,,,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,,,,,,False,2025-09-05 12:24:46,{}
Pneu Pirelli Aro 16 Scorpion MTR 265/75R16 112Q,1750.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-mtr-265-75r16-112q-10070300,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,pirelli,Scorpion,,,,False,2025-09-05 12:24:48,{}
Pneu Goodyear Aro 16 Wrangler RT/S 265/75R16 123R,1564.35,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-goodyear-aro-16-wrangler-rt-s-265-75r16-123r-10130065,pneustore,goodyear,wrangler,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,goodyear,Wrangler,,,,False,2025-09-05 12:24:49,{}
Pneu Firestone Aro 16 Destination ATX 265/75R16 123/120S XL,1222.13,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-firestone-aro-16-destination-atx-265-75r16-123-120s-xl-16001238,pneustore,firestone,16 destination,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,firestone,16 Destination,,,,False,2025-09-05 12:24:50,{}
Pneu Pirelli Aro 16 Scorpion ATR 265/75R16 123S Letra Branca,1466.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-atr-265-75r16-123s-letra-branca-10070097,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,pirelli,Scorpion,,,,False,2025-09-05 12:24:54,{}
Pneu Pirelli Aro 16 Scorpion All Terrain Plus 265/75R16 123S,1261.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-all-terrain-plus-265-75r16-123s-10070367,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,pirelli,Scorpion,,,,False,2025-09-05 12:24:55,{}
Pneu Farroad Aro 16 Mud Hunter 265/75R16 123/120Q - Letra Branca,938.57,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-farroad-aro-16-mud-hunter-265-75r16-123-120q---letra-branca--16000360,pneustore,,,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,,,,,,False,2025-09-05 12:24:58,{}
Pneu Itaro Aro 16 Altermax A/T 265/75R16 123/120S - Letras Brancas,757.68,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-itaro-aro-16-altermax-a-t-265-75r16-123-120s---letras-brancas-16005013,pneustore,,,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,,,,,,False,2025-09-05 12:24:59,{}
Pneu BFGoodrich Aro 16 All Terrain KO3 265/75R16 123/120S - Letras Brancas,2835.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-bfgoodrich-aro-16-all-terrain-ko3-265-75r16-123-120s---letras-brancas-16012681,pneustore,bfgoodrich,16 all,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,bfgoodrich,16 All,,,,False,2025-09-05 12:25:00,{}
Pneu General Tire by Continental Aro 16 Grabber X3 265/75R16 112/109Q,1955.46,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-general-tire-by-continental-aro-16-grabber-x3-265-75r16-112-109q-10260159,pneustore,continental,16 grabber,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,continental,16 Grabber,,,,False,2025-09-05 12:25:01,{}
Pneu BFGoodrich Aro 16 Mud Terrain T/A KM3 265/75R16 119/116Q 8 Lonas,2273.23,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-bfgoodrich-aro-16-mud-terrain-t-a-km3-265-75r16-119-116q-8-lonas-10190283,pneustore,bfgoodrich,16 mud,265/75R16,265-75-r16,16,pneu 265 75 r16 Hifly Vigorous At601,,bfgoodrich,16 Mud,,,,False,2025-09-05 12:25:03,{}
