titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 16 FRD86 285/75R16 126/123R,999.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-farroad-aro-16-frd86-285-75r16-126-123r-16001507,pneustore,,,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,,,,,,False,2025-08-25 07:02:10,{}
Pneu Pirelli Aro 16 Scorpion MTR 285/75R16 116Q,1679.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-pirelli-aro-16-scorpion-mtr-285-75r16-116q-16002531,pneustore,pirelli,scorpion,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,pirelli,Scorpion,,,,False,2025-08-25 07:02:11,{}
Pneu Speedmax Aro 16 T01 285/75R16 122/119N,1289.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-speedmax-aro-16-t01-285-75r16-122-119n-16003098,pneustore,,,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,,,,,,False,2025-08-25 07:02:12,{}
Pneu Goodyear Aro 16 Wrangler Duratrac 285/75R16 126/123Q,2274.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-goodyear-aro-16-wrangler-duratrac-285-75r16-126-123q-16001135,pneustore,goodyear,wrangler,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,goodyear,Wrangler,,,,False,2025-08-25 07:02:13,{}
Pneu Speedmax Aro 16 SL369 A/T 285/75R16 126/123Q,1119.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-speedmax-aro-16-sl369-a-t-285-75r16-126-123q-16004691,pneustore,,,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,,,,,,False,2025-08-25 07:02:15,{}
Pneu General Tire by Continental Aro 16 Grabber X3 285/75R16 116Q,1899.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-general-tire-by-continental-aro-16-grabber-x3-285-75r16-116q-16000274,pneustore,continental,16 grabber,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,continental,16 Grabber,,,,False,2025-08-25 07:02:16,{}
Pneu Farroad Aro 16 Mud Hunter 285/75R16 126/123Q 10 Lonas,1069.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-farroad-aro-16-mud-hunter-285-75r16-126-123q-10-lonas--10040860,pneustore,,,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,,,,,,False,2025-08-25 07:02:17,{}
Pneu BFGoodrich Aro 16 All Terrain KO3 285/75R16 126/123S - Letras Brancas,2599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-bfgoodrich-aro-16-all-terrain-ko3-285-75r16-126-123s---letras-brancas-16012682,pneustore,bfgoodrich,16 all,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,bfgoodrich,16 All,,,,False,2025-08-25 07:02:19,{}
Pneu BFGoodrich Aro 16 Mud Terrain T/A KM3 285/75R16 116/113Q 6 Lonas,2999.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-bfgoodrich-aro-16-mud-terrain-t-a-km3-285-75r16-116-113q-6-lonas-10190315,pneustore,bfgoodrich,16 mud,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,bfgoodrich,16 Mud,,,,False,2025-08-25 07:02:20,{}
Pneu Speedmax Prime Aro 16 Pangea All-Terrain 285/75R16 126/123R 10 Lonas - Letras Brancas,1219.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-285-75r16/produto/pneu-speedmax-prime-aro-16-pangea-all-terrain-285-75r16-126-123r-10-lonas---letras-brancas-16010887,pneustore,,,285/75R16,285-75-r16,16,pneu 285 75 r16 Yeada Yda286 At,,,,,,,False,2025-08-25 07:02:21,{}
