titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Speedmax Aro 22.5 Dalmax S 295/80R22.5 152/149L 18 Lonas,2019.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-295-80r22-5/produto/pneu-speedmax-aro-22-5-dalmax-s-295-80r22-5-152-149l-18-lonas-16007056,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,,,,,,False,2025-08-24 11:06:01,{}
Pneu Speedmax Prime Aro 22.5 Extramax S 295/80R22.5 152/148M 18 Lonas,2139.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-295-80r22-5/produto/pneu-speedmax-prime-aro-22-5-extramax-s-295-80r22-5-152-148m-18-lonas-16004726,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,,,,,,False,2025-08-24 11:06:02,{}
Pneu Speedmax Prime Aro 22.5 Rovermax S 295/80R22.5 154/149M 18 Lonas,2399.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-295-80r22-5/produto/pneu-speedmax-prime-aro-22-5-rovermax-s-295-80r22-5-154-149m-18-lonas-16010563,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,,,,,,False,2025-08-24 11:06:03,{}
Pneu Gripmaster Aro 22.5 G-Perform S 295/80R22.5 152/149M 18 Lonas,2069.91,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-295-80r22-5/produto/pneu-gripmaster-aro-22-5-g-perform-s-295-80r22-5-152-149m-18-lonas-16011755,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,,,,,,False,2025-08-24 11:06:04,{}
Pneu Speedmax Prime Aro 22.5 Venture Max S 295/80R22.5 154/149M 18 Lonas,2249.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-295-80r22-5/produto/pneu-speedmax-prime-aro-22-5-venture-max-s-295-80r22-5-154-149m-18-lonas-16006928,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,,,,,,False,2025-08-24 11:06:05,{}
Pneu Kumho Aro 22.5 KRD55 295/80R22.5 154/149L,2424.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-kumho-aro-22-5-krd55-295-80r22-5-154-149l-9020560,pneustore,kumho,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,kumho,22 5,,,,False,2025-08-24 11:06:08,{}
Pneu Pirelli Aro 22.5 TR01 295/80R22.5 152/148M,3199.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-pirelli-aro-22-5-tr01-295-80r22-5-152-148m-9030067,pneustore,pirelli,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,pirelli,22 5,,,,False,2025-08-24 11:06:09,{}
Pneu Pirelli Aro 22.5 MC01 295/80R22.5 152/148J,3149.9,https://www.pneustore.com.br/categorias/marcas/pneus-pirelli/produto/pneu-pirelli-aro-22-5-mc01-295-80r22-5-152-148j-9030088,pneustore,pirelli,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,pirelli,22 5,,,,False,2025-08-24 11:06:10,{}
Pneu Pirelli Aro 22.5 FR01 295/80R22.5 152/148M TL,2749.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-295-80r22-5/produto/pneu-pirelli-aro-22-5-fr01-295-80r22-5-152-148m-tl-16003981,pneustore,pirelli,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,pirelli,22 5,,,,False,2025-08-24 11:06:11,{}
Pneu Speedmax Aro 22.5 S1 295/80R22.5 152/149M 18 Lonas,1959.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-speedmax-aro-22-5-s1-295-80r22-5-152-149m-18-lonas-9020422,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,,,,,,False,2025-08-24 11:06:12,{}
Pneu Speedmax Aro 22.5 T1 295/80R22.5 152/149M 18 Lonas,1919.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-speedmax-aro-22-5-t1-295-80r22-5-152-149m-18-lonas-9020528,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Anteo Pro-S,,,,,,,False,2025-08-24 11:06:13,{}
