titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Westlake Aro 22.5 CR976A 295/80R22.5 152/149M 18 Lonas,2679.01,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-westlake-aro-22-5-cr976a-295-80r22-5-152-149m-18-lonas-16000343,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,,,,,,False,2025-09-05 19:56:53,{}
Pneu Pirelli Aro 22.5 TR01 295/80R22.5 152/148M,3128.79,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-pirelli-aro-22-5-tr01-295-80r22-5-152-148m-9030067,pneustore,pirelli,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,pirelli,22 5,,,,False,2025-09-05 19:56:54,{}
Pneu Kumho Aro 22.5 KRD55 295/80R22.5 154/149L,2371.01,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-kumho-aro-22-5-krd55-295-80r22-5-154-149l-9020560,pneustore,kumho,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,kumho,22 5,,,,False,2025-09-05 19:56:55,{}
Pneu Pirelli Aro 22.5 MC01 295/80R22.5 152/148J,3079.9,https://www.pneustore.com.br/categorias/marcas/pneus-pirelli/produto/pneu-pirelli-aro-22-5-mc01-295-80r22-5-152-148j-9030088,pneustore,pirelli,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,pirelli,22 5,,,,False,2025-09-05 19:56:56,{}
Pneu Marshal Aro 22.5 KMA03 295/80R22.5 152/148K 16 Lonas,2307.46,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/misto/produto/pneu-marshal-aro-22-5-kma03-295-80r22-5-152-148k-16-lonas-9020223,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,,,,,,False,2025-09-05 19:56:57,{}
Pneu Speedmax Aro 22.5 T1 295/80R22.5 152/149M 18 Lonas,1877.23,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-speedmax-aro-22-5-t1-295-80r22-5-152-149m-18-lonas-9020528,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,,,,,,False,2025-09-05 19:56:58,{}
Pneu Speedmax Aro 22.5 MD5 295/80R22.5 152/149L 18 Lonas,2151.01,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/misto/produto/pneu-speedmax-aro-22-5-md5-295-80r22-5-152-149l-18-lonas-9020530,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,,,,,,False,2025-09-05 19:56:59,{}
Pneu Kumho Aro 22.5 KMD41 295/80R22.5 152/148K 16 Lonas,2327.01,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/misto/produto/pneu-kumho-aro-22-5-kmd41-295-80r22-5-152-148k-16-lonas-9020567,pneustore,kumho,22 5,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,kumho,22 5,,,,False,2025-09-05 19:57:00,{}
Pneu Speedmax Aro 22.5 Primemax 295/80R22.5 152/148M 18 Lonas,1935.9,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/pneus-295-80r22-5/produto/pneu-speedmax-aro-22-5-primemax-295-80r22-5-152-148m-18-lonas-16004727,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,,,,,,False,2025-09-05 19:57:03,{}
Pneu Speedmax Aro 22.5 S1 295/80R22.5 152/149M 18 Lonas,1916.35,https://www.pneustore.com.br/categorias/pneus-de-caminh%C3%A3o-e-%C3%B4nibus/rodovi%C3%A1rio/produto/pneu-speedmax-aro-22-5-s1-295-80r22-5-152-149m-18-lonas-9020422,pneustore,,,295/80R22,295-80-r22,22,pneu 295 80 r22 Trazano Cr976A,,,,,,,False,2025-09-05 19:57:07,{}
