titulo,preco,link,marketplace,brand,model,size,medida,aro,termo_busca,categoria,marca,marca_filho,local,vendedor,condicao,frete_gratis,data_coleta,caracteristicas
Pneu Farroad Aro 14 FRD18 175/75R14C 99/98S,279.9,https://www.pneustore.com.br/categorias/pneus-de-vans-e-utilit%C3%A1rios/175-75r14c/produto/pneu-farroad-aro-14-frd18-175-75r14c-99-98s-16010090,pneustore,,,175/75R14,175-75-r14,14,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:47:36,{}
Pneu Jk Tyre Aro 16 IND 99 11L-16 TL 12 Lonas,869.9,https://www.pneustore.com.br/categorias/pneus-otr/produto/pneu-jk-tyre-aro-16-ind-99-11l-16-tl-12-lonas-16000691,pneustore,,,,,,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:47:37,{}
Pneu Pirelli Aro 16 Scorpion MTR 265/75R16 112Q,1789.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-mtr-265-75r16-112q-10070300,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,pirelli,Scorpion,,,,False,2025-08-25 00:47:39,{}
Pneu Farroad Aro 16 FRD86 265/75R16 123/120R,719.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-farroad-aro-16-frd86-265-75r16-123-120r-10040785,pneustore,,,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:47:40,{}
Pneu Pirelli Aro 16 Scorpion HT 265/75R16 112S,1599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-ht-265-75r16-112s-16001510,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,pirelli,Scorpion,,,,False,2025-08-25 00:47:41,{}
Pneu Itaro Aro 16 IT007 265/75R16 123/120R,724.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-itaro-aro-16-it007-265-75r16-123-120r--16001813,pneustore,,,265/75R16,007-265-r75,16,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:47:42,{}
Pneu Speedmax Aro 16 T01 265/75R16 119/116N,999.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-speedmax-aro-16-t01-265-75r16-119-116n-16003683,pneustore,,,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:47:43,{}
Pneu Itaro Aro 16 IT105 265/75R16 123/120Q,929.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-itaro-aro-16-it105-265-75r16-123-120q-16003851,pneustore,,,265/75R16,105-265-r75,16,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:47:44,{}
Pneu Goodyear Aro 16 Wrangler RT/S 265/75R16 123R,1599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-goodyear-aro-16-wrangler-rt-s-265-75r16-123r-10130065,pneustore,goodyear,wrangler,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,goodyear,Wrangler,,,,False,2025-08-25 00:47:45,{}
Pneu Pirelli Aro 16 Scorpion ATR 265/75R16 123S Letra Branca,1499.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-atr-265-75r16-123s-letra-branca-10070097,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,pirelli,Scorpion,,,,False,2025-08-25 00:47:47,{}
Pneu Pirelli Aro 16 Scorpion All Terrain Plus 265/75R16 123S,1599.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-pirelli-aro-16-scorpion-all-terrain-plus-265-75r16-123s-10070367,pneustore,pirelli,scorpion,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,pirelli,Scorpion,,,,False,2025-08-25 00:47:48,{}
Pneu Firestone Aro 16 Destination ATX 265/75R16 123/120S XL,1249.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-firestone-aro-16-destination-atx-265-75r16-123-120s-xl-16001238,pneustore,firestone,16 destination,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,firestone,16 Destination,,,,False,2025-08-25 00:47:49,{}
Pneu Farroad Aro 16 Mud Hunter 265/75R16 123/120Q - Letra Branca,959.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-farroad-aro-16-mud-hunter-265-75r16-123-120q---letra-branca--16000360,pneustore,,,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:47:54,{}
Pneu General Tire by Continental Aro 16 Grabber X3 265/75R16 112/109Q,1999.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-general-tire-by-continental-aro-16-grabber-x3-265-75r16-112-109q-10260159,pneustore,continental,16 grabber,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,continental,16 Grabber,,,,False,2025-08-25 00:47:56,{}
Pneu BFGoodrich Aro 16 All Terrain KO3 265/75R16 123/120S - Letras Brancas,2849.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-bfgoodrich-aro-16-all-terrain-ko3-265-75r16-123-120s---letras-brancas-16012681,pneustore,bfgoodrich,16 all,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,bfgoodrich,16 All,,,,False,2025-08-25 00:47:57,{}
Pneu BFGoodrich Aro 16 Mud Terrain T/A KM3 265/75R16 119/116Q 8 Lonas,2324.9,https://www.pneustore.com.br/categorias/pneus-de-carro/pneus-265-75r16/produto/pneu-bfgoodrich-aro-16-mud-terrain-t-a-km3-265-75r16-119-116q-8-lonas-10190283,pneustore,bfgoodrich,16 mud,265/75R16,265-75-r16,16,pneu 350 99 r7 Nakata N92018,,bfgoodrich,16 Mud,,,,False,2025-08-25 00:47:58,{}
Pneu Moto Borilli Aro 19 MX 007 Medium Soft 100/90-19 TT - Traseiro,389.0,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-100-90r19-e-100-90-19/produto/pneu-moto-borilli-aro-19-mx-007-medium-soft-100-90-19-tt---traseiro-16009490,pneustore,,,100/90R19,100-90-r19,19,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:16,{}
Pneu Moto Michelin Aro 19 Anakee Adventure 100/90-19 57V TL/TT - Dianteiro,899.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-100-90r19-e-100-90-19/produto/pneu-moto-michelin-aro-19-anakee-adventure-100-90-19-57v-tl-tt---dianteiro-16009513,pneustore,michelin,19 anakee,100/90R19,100-90-r19,19,pneu 350 99 r7 Nakata N92018,,michelin,19 Anakee,,,,False,2025-08-25 00:48:17,{}
Pneu Moto Pirelli Aro 19 Scorpion MX32 Mid Soft 100/90 -19 57M TT - Traseiro,659.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-100-90r19-e-100-90-19/produto/pneu-moto-pirelli-aro-19-scorpion-mx32-mid-soft-100-90--19-57m-tt---traseiro-10090154,pneustore,pirelli,scorpion,100/90R19,100-90-r19,19,pneu 350 99 r7 Nakata N92018,,pirelli,Scorpion,,,,False,2025-08-25 00:48:18,{}
Pneu Moto Metzeler Aro 19 ME 888 Marathon Ultra 100/90-19 57H TL - Dianteiro,1049.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-100-90r19-e-100-90-19/produto/pneu-moto-metzeler-aro-19-me-888-marathon-ultra-100-90-19-57h-tl---dianteiro-16001831,pneustore,,,100/90R19,100-90-r19,19,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:19,{}
Pneu Moto Pirelli Aro 19 Scorpion MX Extra X NHS 100/90-19 57M TT - Traseiro,489.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-100-90r19-e-100-90-19/produto/pneu-moto-pirelli-aro-19-scorpion-mx-extra-x-nhs-100-90-19-57m-tt---traseiro-16003554,pneustore,pirelli,scorpion,100/90R19,100-90-r19,19,pneu 350 99 r7 Nakata N92018,,pirelli,Scorpion,,,,False,2025-08-25 00:48:20,{}
Pneu Moto Metzeler Aro 19 ME 888 Marathon Ultra Faixa Branca 100/90-19 57H TL - Dianteiro,1224.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-100-90r19-e-100-90-19/produto/pneu-moto-metzeler-aro-19-me-888-marathon-ultra-faixa-branca-100-90-19-57h-tl---dianteiro-10090202,pneustore,,,100/90R19,100-90-r19,19,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:22,{}
Pneu Moto Rinaldi Aro 18 R34 120/80-18 62S TT - Traseiro,379.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-rinaldi-aro-18-r34-120-80-18-62s-tt---traseiro-10450032,pneustore,,,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:23,{}
Pneu Moto Kenda Aro 18 K761 120/80-18 62H TT - Traseiro,479.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-kenda-aro-18-k761-120-80-18-62h-tt---traseiro-16000974,pneustore,,,120/80R18,761-120-r80,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:24,{}
Pneu Moto Pirelli Aro 18 MT60 120/80-18 62T TL - Traseiro,819.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-pirelli-aro-18-mt60-120-80-18-62t-tl---traseiro-16002453,pneustore,pirelli,18 mt60,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,pirelli,18 Mt60,,,,False,2025-08-25 00:48:25,{}
Pneu Moto Rinaldi Aro 18 RT36 120/80-18 62P TT - Traseiro,389.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-rinaldi-aro-18-rt36-120-80-18-62p-tt---traseiro-16003696,pneustore,,,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:26,{}
Pneu Moto Metzeler Aro 18 Tourance 120/80-18 62S TT - Traseiro,459.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-metzeler-aro-18-tourance-120-80-18-62s-tt---traseiro-16000402,pneustore,,,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:27,{}
Pneu Moto Ira Aro 18 Bunker Adapt 120/80-18 62S TT - Traseiro,269.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-ira-aro-18-bunker-adapt-120-80-18-62s-tt---traseiro-16002389,pneustore,,,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:28,{}
Pneu Moto Metzeler Aro 18 Enduro 3 120/80-18 62S TT - Traseiro,379.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-metzeler-aro-18-enduro-3-120-80-18-62s-tt---traseiro-16004122,pneustore,,,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:29,{}
Pneu Moto Metzeler Aro 18 Karoo Street 120/80-18 62S TT - Traseiro,689.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-metzeler-aro-18-karoo-street-120-80-18-62s-tt---traseiro-16007830,pneustore,,,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:30,{}
Pneu Moto Pirelli Aro 18 MT 21 Rallycross 120/80-18 62R TT - Traseiro,674.9,https://www.pneustore.com.br/categorias/pneus-de-motos/pneus-120-80-18/produto/pneu-moto-pirelli-aro-18-mt-21-rallycross-120-80-18-62r-tt---traseiro-16001828,pneustore,pirelli,18 mt,120/80R18,120-80-r18,18,pneu 350 99 r7 Nakata N92018,,pirelli,18 Mt,,,,False,2025-08-25 00:48:31,{}
Pneu Moto Metzeler Aro 18 ME 888 Marathon Ultra 110/90-18 61H TL - Dianteiro,959.9,https://www.pneustore.com.br/pneus-110-90-18/produto/pneu-moto-metzeler-aro-18-me-888-marathon-ultra-110-90-18-61h-tl---dianteiro-16003463,pneustore,,,110/90R18,110-90-r18,18,pneu 350 99 r7 Nakata N92018,,,,,,,False,2025-08-25 00:48:34,{}
