titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Atlander Aro 13 165/70R13 Xsport-66 79T,443.79,https://www.magazineluiza.com.br/pneu-atlander-aro-13-165-70r13-xsport-66-79t/p/kca44fj7ac/au/aupa/,2025-08-22 05:56:57,165/70R13,,,46715677.86,True,https://a-static.mlcdn.com.br/280x210/pneu-atlander-aro-13-165-70r13-xsport-66-79t/lemanspneusstore/1657013al/66f0f107028efb754237f6f5dd419ad1.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu aro 13 165/70r13 79t xsport-66 atlander,377.2,https://www.magazineluiza.com.br/pneu-aro-13-165-70r13-79t-xsport-66-atlander/p/ad8dbk1fgh/au/aupa/,2025-08-22 05:57:01,165/70R13,,,37720575.44,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-165-70r13-79t-xsport-66-atlander/rioclaropneusmarketplace/10937/cffc3e9b88176cbae797147534544c70.jpeg,magazineluiza,,True,0,0.0,rioclaropneusmarketplace,False,,,
"Pneu Aro 13"" 165/70R13 Goodyear 83T Direction Touring 2",309.9,https://www.magazineluiza.com.br/pneu-aro-13-165-70r13-goodyear-83t-direction-touring-2/p/240058200/au/pine/,2025-08-22 05:57:11,165/70R13,goodyear,direction,420.95,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-165-70r13-goodyear-83t-direction-touring-2/magazineluiza/240058200/e5d91ba899e2628d54271b89391dcea6.jpg,magazineluiza,,True,66,8.0,magazineluiza,False,,,
Pneu Aro 13” 165/70R13 Goodyear 83T Kelly EDGE,289.9,https://www.magazineluiza.com.br/pneu-aro-13-165-70r13-goodyear-83t-kelly-edge-touring-2/p/237241500/au/aupa/,2025-08-22 05:57:22,165/70R13,goodyear,kelly edge,357.0,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-165-70r13-goodyear-83t-kelly-edge-touring-2/magazineluiza/237241500/8d50bb8f702cdcc7ef594d856dc8e89a.jpg,magazineluiza,,True,7,0.0,magazineluiza,False,,,
Pneu Aro 13” 165/70R13 Goodyear 83T Touring Direction 2,329.9,https://www.magazineluiza.com.br/pneu-aro-13-165-70r13-goodyear-83t-touring-direction-2/p/235820400/au/pine/,2025-08-22 05:57:33,165/70R13,goodyear,direction,599.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-165-70r13-goodyear-83t-touring-direction-2/magazineluiza/235820400/330721c2c460828795a086e1222d9dfb.jpg,magazineluiza,,True,1392,9.0,magazineluiza,False,,,
Pneu Kumho Aro 13 Ecowing ES31 165/70R13 79T,281.89,https://www.magazineluiza.com.br/pneu-kumho-aro-13-ecowing-es31-165-70r13-79t/p/ebgdf77d9d/au/pine/,2025-08-22 05:57:37,165/70R13,kumho,,331.77,True,https://a-static.mlcdn.com.br/280x210/pneu-kumho-aro-13-ecowing-es31-165-70r13-79t/pneustore/16009426/586832d6f30f4822a5eab0d479b3e504.jpeg,magazineluiza,,True,3,0.0,PneuStore,False,,,
Pneu Aro 13 Goodyear Direction 2 Touring 165/70R13 83T,313.41,https://www.magazineluiza.com.br/pneu-aro-13-goodyear-direction-2-touring-165-70r13-83t-goodyear-do-brasil/p/kfb3bcaj27/au/pine/,2025-08-22 05:57:42,165/70R13,goodyear,direction,32990482.48,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-goodyear-direction-2-touring-165-70r13-83t-goodyear-do-brasil/comprebel2/68112/31274bbda9580aebd262755c342accb4.jpeg,magazineluiza,,True,1392,9.0,Belmicro,False,,,
Pneu Aro 13 Goodyear Direction Touring 2 165/70R13 83T XL,341.91,https://www.magazineluiza.com.br/pneu-aro-13-goodyear-direction-touring-2-165-70r13-83t-xl-goodyear-do-brasil/p/kf46d10hjf/au/aupa/,2025-08-22 05:57:48,165/70R13,goodyear,direction,37990575.98,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-goodyear-direction-touring-2-165-70r13-83t-xl-goodyear-do-brasil/comprebel2/88508/63e9f6174446eaa80990de853995d48c.jpeg,magazineluiza,,True,66,8.0,Belmicro,False,,,
Pneu Aro 13 Goodyear 165/70 R13 XL 83T Assurance Maxlife,444.99,https://www.magazineluiza.com.br/pneu-aro-13-goodyear-165-70-r13-xl-83t-assurance-maxlife/p/kaj42d9kc4/au/aupa/,2025-08-22 05:57:51,165/70R13,goodyear,assurance maxlife,447.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-goodyear-165-70-r13-xl-83t-assurance-maxlife/pneugreen/1780/8e75837aa5765722b9a482a9f30ad90e.jpeg,magazineluiza,,True,12,9.0,Pneugreen,False,,,
Pneu aro 13 165/70 r13 sailun atrezzo sh406 79t,415.55,https://www.magazineluiza.com.br/pneu-aro-13-165-70-r13-sailun-atrezzo-sh406-79t/p/ak5k8eg28f/au/pine/,2025-08-22 05:57:54,165/70R13,,,41555583.11,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-13-165-70-r13-sailun-atrezzo-sh406-79t/burajirupneus/2061p/d858a388c47314121e50bdbda21ce0e8.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
