titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 13"" 165/70R13 Goodyear 83T Direction Touring 2",299.9,https://www.magazineluiza.com.br/pneu-aro-13-165-70r13-goodyear-83t-direction-touring-2/p/240058200/au/pine/,2025-09-02 11:18:02,165/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Goodyear Direction Touring 2 165/70R13 83T XL,329.03,https://www.magazineluiza.com.br/pneu-aro-13-goodyear-direction-touring-2-165-70r13-83t-xl-goodyear-do-brasil/p/kf46d10hjf/au/aupa/,2025-09-02 11:18:07,165/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Belmicro,False,,,
Pneu Aro 13” 165/70R13 Goodyear 83T Kelly EDGE,289.9,https://www.magazineluiza.com.br/pneu-aro-13-165-70r13-goodyear-83t-kelly-edge-touring-2/p/237241500/au/aupa/,2025-09-02 11:18:18,165/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Kumho Aro 13 Ecowing ES31 165/70R13 79T,281.89,https://www.magazineluiza.com.br/pneu-kumho-aro-13-ecowing-es31-165-70r13-79t/p/ebgdf77d9d/au/pine/,2025-09-02 11:18:21,165/70R13,kumho,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
Pneu Aro 13” 165/70R13 Goodyear 83T Touring Direction 2,329.9,https://www.magazineluiza.com.br/pneu-aro-13-165-70r13-goodyear-83t-touring-direction-2/p/235820400/au/pine/,2025-09-02 11:18:33,165/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13 Goodyear Direction 2 Touring 165/70R13 83T,329.03,https://www.magazineluiza.com.br/pneu-aro-13-goodyear-direction-2-touring-165-70r13-83t-goodyear-do-brasil/p/kfb3bcaj27/au/pine/,2025-09-02 11:18:36,165/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Belmicro,False,,,
Pneu Aro 13 Goodyear 165/70 R13 XL 83T Assurance Maxlife,445.94,https://www.magazineluiza.com.br/pneu-aro-13-goodyear-165-70-r13-xl-83t-assurance-maxlife/p/kaj42d9kc4/au/aupa/,2025-09-02 11:18:43,165/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
Pneu aro 13 165/70 r13 dunlop sp touring r1 79t,487.07,https://www.magazineluiza.com.br/pneu-aro-13-165-70-r13-dunlop-sp-touring-r1-79t/p/ejfhc7hd02/au/aupa/,2025-09-02 11:18:46,165/70R13,dunlop,,,False,,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu aro 13 165/70 r13 sailun atrezzo sh406 79t,415.55,https://www.magazineluiza.com.br/pneu-aro-13-165-70-r13-sailun-atrezzo-sh406-79t/p/ak5k8eg28f/au/pine/,2025-09-02 11:18:48,165/70R13,,,,False,,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Itaro Aro 13 MH01 165/70R13 79T,251.68,https://www.magazineluiza.com.br/pneu-itaro-aro-13-mh01-165-70r13-79t/p/gf49h52g7d/au/aupa/,2025-09-02 11:18:51,165/70R13,,,,False,,magazineluiza,,True,0,0.0,PneuStore,False,,,
