titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 14 Atlander 165/70 R14 81H XSport-66,382.35,https://www.magazineluiza.com.br/pneu-aro-14-atlander-165-70-r14-81h-xsport-66/p/gff1hcc4k6/au/aupa/,2025-08-23 04:34:38,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 165/70 R14 85T XL ContiEcoContact 6,405.53,https://www.magazineluiza.com.br/pneu-continental-165-70-r14-85t-xl-contiecocontact-6/p/geg59562bd/au/pine/,2025-08-23 04:34:56,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 165/70 R14 XL 85T Assurance Maxlife,491.67,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-165-70-r14-xl-85t-assurance-maxlife/p/ajhbk9aaha/au/pine/,2025-08-23 04:35:06,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 14 165/70 r14 continental ecocontact6 xl 85t,532.49,https://www.magazineluiza.com.br/pneu-aro-14-165-70-r14-continental-ecocontact6-xl-85t/p/gkjk4gg69k/au/aupa/,2025-08-23 04:35:18,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum 165/70 R14 85T XL Bravuris 5Hm By Continental,368.12,https://www.magazineluiza.com.br/pneu-barum-165-70-r14-85t-xl-bravuris-5hm-by-continental/p/dc1h4e8d95/au/aupa/,2025-08-23 04:35:29,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum By Continental Aro 14 165/70r14 85T TL Bravuris 5HM Extra Load,336.0,https://www.magazineluiza.com.br/pneu-barum-by-continental-aro-14-165-70r14-85t-tl-bravuris-5hm-extra-load-continental-barum/p/abk9c69g5g/au/pine/,2025-08-23 04:35:41,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 165/70r14 85t Ecocontact 6 Continental Aro R14,490.39,https://www.magazineluiza.com.br/pneu-165-70r14-85t-ecocontact-6-continental-aro-r14/p/jcgefkcfj8/au/aupa/,2025-08-23 04:35:51,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 14 165/70 r14 barum bravuris 5hm 85t,481.37,https://www.magazineluiza.com.br/pneu-aro-14-165-70-r14-barum-bravuris-5hm-85t/p/gd9d6d89gf/au/aupa/,2025-08-23 04:36:04,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Ceat Aro 14 Ecodrive 165/70R14 81T TL,302.03,https://www.magazineluiza.com.br/pneu-ceat-aro-14-ecodrive-165-70r14-81t-tl/p/je3g5af1aa/au/aupa/,2025-08-23 04:36:14,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Ling Long 165/70 R14 89/87R Green Max Van 6Pr,429.88,https://www.magazineluiza.com.br/pneu-ling-long-165-70-r14-89-87r-green-max-van-6pr-linglong/p/agae09ddk5/au/pnoc/,2025-08-23 04:36:28,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli Aro 14 Cinturato P1 165/70R14 85T,410.56,https://www.magazineluiza.com.br/pneu-pirelli-aro-14-cinturato-p1-165-70r14-85t/p/hhj15gbb8b/au/aupa/,2025-08-23 04:36:38,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 14 165/70R14 85 T TL XL Ecocontact 6,379.9,https://www.magazineluiza.com.br/pneu-continental-aro-14-165-70r14-85-t-tl-xl-ecocontact-6/p/be83haja9j/au/pnoc/,2025-08-23 04:36:50,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 165/70R14 85T EcoContact 6 Continental,373.8,https://www.magazineluiza.com.br/pneu-aro-14-165-70r14-85t-ecocontact-6-continental/p/cf96c6jd3j/au/pine/,2025-08-23 04:37:00,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Barum Aro 14 Bravuris 5HM 165/70R14 85T XL,330.99,https://www.magazineluiza.com.br/pneu-barum-aro-14-bravuris-5hm-165-70r14-85t-xl/p/bdccjkc1af/au/aupa/,2025-08-23 04:37:13,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Atlander 165/70 R14 81H XSport-66,382.35,https://www.magazineluiza.com.br/pneu-aro-14-atlander-165-70-r14-81h-xsport-66/p/gff1hcc4k6/au/aupa/,2025-08-23 04:37:51,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 165/70 R14 85T XL ContiEcoContact 6,405.53,https://www.magazineluiza.com.br/pneu-continental-165-70-r14-85t-xl-contiecocontact-6/p/geg59562bd/au/pine/,2025-08-23 04:38:08,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 165/70 R14 XL 85T Assurance Maxlife,491.67,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-165-70-r14-xl-85t-assurance-maxlife/p/ajhbk9aaha/au/pine/,2025-08-23 04:38:19,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 14 165/70 r14 continental ecocontact6 xl 85t,532.49,https://www.magazineluiza.com.br/pneu-aro-14-165-70-r14-continental-ecocontact6-xl-85t/p/gkjk4gg69k/au/aupa/,2025-08-23 04:38:32,165/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
