titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 14” 175/65R14 Goodyear 86H Touring Direction 2,329.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-touring-direction-2/p/237123500/au/pine/,2025-08-29 15:37:00,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65r14 86h,319.35,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h/p/bj5d080hj5/au/pine/,2025-08-29 15:37:12,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65R14 86H,321.11,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h-goodyear-do-brasil/p/fkj8874dce/au/pine/,2025-08-29 15:37:22,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 14 direction touring 175/65r14 82t sl,379.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-direction-touring-175-65r14-82t-sl-goodyear-direction/p/had884hk70/au/aupa/,2025-08-29 15:37:34,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Touring Direction 2,329.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-touring-direction-2/p/237123500/au/pine/,2025-08-29 15:38:10,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65r14 86h,319.35,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h/p/bj5d080hj5/au/pine/,2025-08-29 15:38:22,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65R14 86H,321.11,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h-goodyear-do-brasil/p/fkj8874dce/au/pine/,2025-08-29 15:38:33,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 14 direction touring 175/65r14 82t sl,379.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-direction-touring-175-65r14-82t-sl-goodyear-direction/p/had884hk70/au/aupa/,2025-08-29 15:38:44,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Touring Direction 2,329.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-touring-direction-2/p/237123500/au/pine/,2025-08-29 15:39:21,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65r14 86h,319.35,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h/p/bj5d080hj5/au/pine/,2025-08-29 15:39:32,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65R14 86H,321.11,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h-goodyear-do-brasil/p/fkj8874dce/au/pine/,2025-08-29 15:39:43,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 14 direction touring 175/65r14 82t sl,379.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-direction-touring-175-65r14-82t-sl-goodyear-direction/p/had884hk70/au/aupa/,2025-08-29 15:39:56,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
