titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 14” 175/65R14 Goodyear 86H Maxlife Assurance,339.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-maxlife-assurance/p/235249100/au/pine/,2025-08-24 01:54:16,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Touring Direction 2,339.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-touring-direction-2/p/237123500/au/pine/,2025-08-24 01:54:29,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 175/65R14 86H,377.71,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-175-65r14-86h/p/kd0g101f2j/au/aupa/,2025-08-24 01:54:40,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 14 RE Max 175/65R14 81H,288.94,https://www.magazineluiza.com.br/pneu-itaro-aro-14-re-max-175-65r14-81h/p/aj84kh1df5/au/aupa/,2025-08-24 01:54:50,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14”175/65R14 Pirelli 82H P400 EVO,359.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-pirelli-82h-p400-evo/p/222360000/au/aupa/,2025-08-24 01:55:01,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 14 MH01 175/65R14 86T XL,279.88,https://www.magazineluiza.com.br/pneu-itaro-aro-14-mh01-175-65r14-86t-xl/p/jj84a2e693/au/aupa/,2025-08-24 01:55:11,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Pirelli 82T Cinturato P1,417.99,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-pirelli-82t-cinturato-p1/p/225320600/au/aupa/,2025-08-24 01:55:23,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Kumho Aro 14 ES31 175/65R14 82T,322.17,https://www.magazineluiza.com.br/pneu-kumho-aro-14-es31-175-65r14-82t/p/jk125g7029/au/aupa/,2025-08-24 01:55:34,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental Aro 14 Powercontact 2 175/65R14 82T,390.03,https://www.magazineluiza.com.br/pneu-continental-aro-14-powercontact-2-175-65r14-82t/p/eg843jdk5b/au/aupa/,2025-08-24 01:55:44,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Pirelli 82T Cinturato P1,419.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-pirelli-82t-cinturato-p1/p/225321100/au/aupa/,2025-08-24 01:55:56,175/65R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
