titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 14, Sumitomo 175_65 R14 82T BC20 código 414048",381.17,https://www.magazineluiza.com.br/pneu-aro-14-sumitomo-175-65-r14-82t-bc20-codigo-414048/p/ec0ac6127f/au/pine/,2025-08-30 05:09:24,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sumitomo Aro 14 175/65R14 BC20 82T,474.0,https://www.magazineluiza.com.br/pneu-sumitomo-aro-14-175-65r14-bc20-82t/p/ch7109ab46/au/pine/,2025-08-30 05:09:36,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sumitomo 175/65R14 82T BC20,349.9,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/ejj553ch73/au/aupa/,2025-08-30 05:09:46,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/fh8g20fee3/au/aupa/,2025-08-30 05:09:58,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/ah317e5200/au/aupa/,2025-08-30 05:10:09,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/kd7ddj27f3/au/aupa/,2025-08-30 05:10:19,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/cdc3jje3j9/au/aupa/,2025-08-30 05:10:31,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 14, Sumitomo 175_65 R14 82T BC20 código 414048",381.17,https://www.magazineluiza.com.br/pneu-aro-14-sumitomo-175-65-r14-82t-bc20-codigo-414048/p/ec0ac6127f/au/pine/,2025-08-30 05:11:05,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sumitomo Aro 14 175/65R14 BC20 82T,474.0,https://www.magazineluiza.com.br/pneu-sumitomo-aro-14-175-65r14-bc20-82t/p/ch7109ab46/au/pine/,2025-08-30 05:11:17,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sumitomo 175/65R14 82T BC20,349.9,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/ejj553ch73/au/aupa/,2025-08-30 05:11:28,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/fh8g20fee3/au/aupa/,2025-08-30 05:11:40,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/ah317e5200/au/aupa/,2025-08-30 05:11:50,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/kd7ddj27f3/au/aupa/,2025-08-30 05:12:01,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu SUMITOMO 175/65R14 82T BC20,542.85,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/cdc3jje3j9/au/aupa/,2025-08-30 05:12:13,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 14, Sumitomo 175_65 R14 82T BC20 código 414048",381.17,https://www.magazineluiza.com.br/pneu-aro-14-sumitomo-175-65-r14-82t-bc20-codigo-414048/p/ec0ac6127f/au/pine/,2025-08-30 05:12:47,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sumitomo Aro 14 175/65R14 BC20 82T,474.0,https://www.magazineluiza.com.br/pneu-sumitomo-aro-14-175-65r14-bc20-82t/p/ch7109ab46/au/pine/,2025-08-30 05:12:59,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Sumitomo 175/65R14 82T BC20,349.9,https://www.magazineluiza.com.br/pneu-sumitomo-175-65r14-82t-bc20/p/ejj553ch73/au/aupa/,2025-08-30 05:13:10,175/65R14,sumitomo,bc20,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
