titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Durable Aro 15 175/65 R15 84H City DC01,388.05,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65-r15-84h-city-dc01/p/ajebj12f33/au/pine/,2025-08-22 11:31:50,175/65R15,,,431174107.79,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65-r15-84h-city-dc01/autoloja/829p/d9666e9f8d1f480d32269762fa2bf60a.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Durable Aro 15 175/65R15 City DC01 84H,485.71,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65r15-city-dc01-84h/p/dhd02h37h3/au/pine/,2025-08-22 11:31:57,175/65R15,,,511275102.25,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65r15-city-dc01-84h/webpneus/36511/ea113712efc465f7252e8c3b96476810.jpeg,magazineluiza,,True,7,6.0,Web Pneus,False,,,
Pneu Durable Aro 15 175/65R15 City DC01 84H,484.29,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65r15-city-dc01-84h/p/baa72ekc87/au/pine/,2025-08-22 11:32:00,175/65R15,,,50978772.83,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65r15-city-dc01-84h/lemanspneusstore/1756515dl/ea113712efc465f7252e8c3b96476810.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu Durable Aro 15 175/65 R15 84H City DC01,388.05,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65-r15-84h-city-dc01/p/ajebj12f33/au/pine/,2025-08-22 11:32:38,175/65R15,,,431174107.79,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65-r15-84h-city-dc01/autoloja/829p/d9666e9f8d1f480d32269762fa2bf60a.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Durable Aro 15 175/65R15 City DC01 84H,485.71,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65r15-city-dc01-84h/p/dhd02h37h3/au/pine/,2025-08-22 11:32:42,175/65R15,,,511275102.25,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65r15-city-dc01-84h/webpneus/36511/ea113712efc465f7252e8c3b96476810.jpeg,magazineluiza,,True,7,6.0,Web Pneus,False,,,
Pneu Durable Aro 15 175/65R15 City DC01 84H,484.29,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65r15-city-dc01-84h/p/baa72ekc87/au/pine/,2025-08-22 11:32:44,175/65R15,,,50978772.83,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65r15-city-dc01-84h/lemanspneusstore/1756515dl/ea113712efc465f7252e8c3b96476810.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu Durable Aro 15 175/65 R15 84H City DC01,388.05,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65-r15-84h-city-dc01/p/ajebj12f33/au/pine/?seller_id=autoloja,2025-08-22 11:32:55,175/65R15,,,431.17,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65-r15-84h-city-dc01/autoloja/829p/d9666e9f8d1f480d32269762fa2bf60a.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Durable Aro 15 175/65 R15 84H City DC01,388.05,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65-r15-84h-city-dc01/p/ajebj12f33/au/pine/,2025-08-22 11:33:17,175/65R15,,,431174107.79,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65-r15-84h-city-dc01/autoloja/829p/d9666e9f8d1f480d32269762fa2bf60a.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
Pneu Durable Aro 15 175/65R15 City DC01 84H,485.71,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65r15-city-dc01-84h/p/dhd02h37h3/au/pine/,2025-08-22 11:33:23,175/65R15,,,511275102.25,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65r15-city-dc01-84h/webpneus/36511/ea113712efc465f7252e8c3b96476810.jpeg,magazineluiza,,True,7,6.0,Web Pneus,False,,,
Pneu Durable Aro 15 175/65R15 City DC01 84H,484.29,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65r15-city-dc01-84h/p/baa72ekc87/au/pine/,2025-08-22 11:33:29,175/65R15,,,50978772.83,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65r15-city-dc01-84h/lemanspneusstore/1756515dl/ea113712efc465f7252e8c3b96476810.jpeg,magazineluiza,,True,0,0.0,Lemans Pneus Store,False,,,
Pneu Durable Aro 15 175/65 R15 84H City DC01,388.05,https://www.magazineluiza.com.br/pneu-durable-aro-15-175-65-r15-84h-city-dc01/p/ajebj12f33/au/pine/?seller_id=autoloja,2025-08-22 11:33:35,175/65R15,,,431.17,True,https://a-static.mlcdn.com.br/280x210/pneu-durable-aro-15-175-65-r15-84h-city-dc01/autoloja/829p/d9666e9f8d1f480d32269762fa2bf60a.jpeg,magazineluiza,,True,0,0.0,Auto Loja,False,,,
