titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,289.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-09-11 11:43:12,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Kelly Goodyear Aro 13 Edge Touring 2 175/70R13,476.0,https://www.magazineluiza.com.br/pneu-kelly-goodyear-aro-13-edge-touring-2-175-70r13/p/cj6dh5j3ch/au/aupa/,2025-09-11 11:43:18,175/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,408.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/aed8b54e0e/au/aupa/,2025-09-11 11:43:23,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,368.0,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/hdbcj2h4fa/au/aupa/,2025-09-11 11:43:28,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 175/70R13 Goodyear Kelly Edge Touring 2 82T Aro 13,369.91,https://www.magazineluiza.com.br/pneu-175-70r13-goodyear-kelly-edge-touring-2-82t-aro-13/p/ae811ebk7h/au/aupa/,2025-09-11 11:43:32,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE - Touring 2,399.0,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/bbj4djgh1h/au/aupa/,2025-09-11 11:43:36,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,347.71,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/ae65f1e92g/au/aupa/,2025-09-11 11:43:41,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,289.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-09-11 11:44:10,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Kelly Goodyear Aro 13 Edge Touring 2 175/70R13,476.0,https://www.magazineluiza.com.br/pneu-kelly-goodyear-aro-13-edge-touring-2-175-70r13/p/cj6dh5j3ch/au/aupa/,2025-09-11 11:44:13,175/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,408.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/aed8b54e0e/au/aupa/,2025-09-11 11:44:15,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,368.0,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/hdbcj2h4fa/au/aupa/,2025-09-11 11:44:19,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 175/70R13 Goodyear Kelly Edge Touring 2 82T Aro 13,369.91,https://www.magazineluiza.com.br/pneu-175-70r13-goodyear-kelly-edge-touring-2-82t-aro-13/p/ae811ebk7h/au/aupa/,2025-09-11 11:44:21,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE - Touring 2,399.0,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/bbj4djgh1h/au/aupa/,2025-09-11 11:44:23,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,347.71,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/ae65f1e92g/au/aupa/,2025-09-11 11:44:27,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Kelly Goodyear Aro 13 Edge Touring 2 175/70R13,476.0,https://www.magazineluiza.com.br/pneu-kelly-goodyear-aro-13-edge-touring-2-175-70r13/p/cj6dh5j3ch/au/aupa/,2025-09-11 11:44:34,175/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,289.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-09-11 11:44:36,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,289.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-09-11 11:44:55,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Kelly Goodyear Aro 13 Edge Touring 2 175/70R13,476.0,https://www.magazineluiza.com.br/pneu-kelly-goodyear-aro-13-edge-touring-2-175-70r13/p/cj6dh5j3ch/au/aupa/,2025-09-11 11:44:59,175/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,408.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/aed8b54e0e/au/aupa/,2025-09-11 11:45:01,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,368.0,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/hdbcj2h4fa/au/aupa/,2025-09-11 11:45:05,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 175/70R13 Goodyear Kelly Edge Touring 2 82T Aro 13,369.91,https://www.magazineluiza.com.br/pneu-175-70r13-goodyear-kelly-edge-touring-2-82t-aro-13/p/ae811ebk7h/au/aupa/,2025-09-11 11:45:07,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE - Touring 2,399.0,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/bbj4djgh1h/au/aupa/,2025-09-11 11:45:09,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,347.71,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/ae65f1e92g/au/aupa/,2025-09-11 11:45:13,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Kelly Goodyear Aro 13 Edge Touring 2 175/70R13,476.0,https://www.magazineluiza.com.br/pneu-kelly-goodyear-aro-13-edge-touring-2-175-70r13/p/cj6dh5j3ch/au/aupa/,2025-09-11 11:45:22,175/70R13,goodyear,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,289.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-09-11 11:45:24,175/70R13,goodyear,kelly edge touring 2,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
