titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 14” 175/65R14 Goodyear 86H Touring Direction 2,339.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-touring-direction-2/p/237123500/au/pine/,2025-08-23 17:09:19,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65r14 86h,330.79,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h/p/bj5d080hj5/au/pine/,2025-08-23 17:09:31,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65R14 86H,380.95,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h-goodyear-do-brasil/p/fkj8874dce/au/pine/,2025-08-23 17:09:42,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 14 direction touring 175/65r14 82t sl,379.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-direction-touring-175-65r14-82t-sl-goodyear-direction/p/had884hk70/au/aupa/,2025-08-23 17:09:52,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Touring Direction 2,339.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-touring-direction-2/p/237123500/au/pine/,2025-08-23 17:10:31,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65r14 86h,330.79,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h/p/bj5d080hj5/au/pine/,2025-08-23 17:10:44,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65R14 86H,380.95,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h-goodyear-do-brasil/p/fkj8874dce/au/pine/,2025-08-23 17:10:56,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 14 direction touring 175/65r14 82t sl,379.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-direction-touring-175-65r14-82t-sl-goodyear-direction/p/had884hk70/au/aupa/,2025-08-23 17:11:07,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Touring Direction 2,339.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-touring-direction-2/p/237123500/au/pine/,2025-08-23 17:11:40,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65r14 86h,330.79,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h/p/bj5d080hj5/au/pine/,2025-08-23 17:11:52,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/65R14 86H,380.95,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-65r14-86h-goodyear-do-brasil/p/fkj8874dce/au/pine/,2025-08-23 17:12:03,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu goodyear aro 14 direction touring 175/65r14 82t sl,379.9,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-direction-touring-175-65r14-82t-sl-goodyear-direction/p/had884hk70/au/aupa/,2025-08-23 17:12:14,175/65R14,goodyear,direction,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
