titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu 175/65R14 GoodYear Assurance Maxlife 86H XL,433.59,https://www.magazineluiza.com.br/pneu-175-65r14-goodyear-assurance-maxlife-86h-xl/p/ak2k73k94g/au/pine/,2025-08-29 15:06:42,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Maxlife Assurance,319.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-maxlife-assurance/p/235249100/au/pine/,2025-08-29 15:06:54,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 175/65R14 86H,377.71,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-175-65r14-86h/p/kd0g101f2j/au/aupa/,2025-08-29 15:07:05,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Maxlife - Assurance,449.99,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-maxlife-assurance/p/ek42fgkckb/au/aupa/,2025-08-29 15:07:15,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear 175/65 R14 86H XL Assurance Maxlife,393.01,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-175-65-r14-86h-xl-assurance-maxlife/p/gc7bffk92b/au/aupa/,2025-08-29 15:07:27,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 Goodyear Assurance Maxlife 86H Aro 14,429.92,https://www.magazineluiza.com.br/pneu-175-65r14-goodyear-assurance-maxlife-86h-aro-14-goodyear-lt/p/bj20c70e63/au/aupa/,2025-08-29 15:07:38,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/65R14 GoodYear Assurance Maxlife 86H XL,433.59,https://www.magazineluiza.com.br/pneu-175-65r14-goodyear-assurance-maxlife-86h-xl/p/ak2k73k94g/au/pine/,2025-08-29 15:08:13,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Maxlife Assurance,319.9,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-maxlife-assurance/p/235249100/au/pine/,2025-08-29 15:08:26,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 175/65R14 86H,377.71,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-175-65r14-86h/p/kd0g101f2j/au/aupa/,2025-08-29 15:08:36,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/65R14 Goodyear 86H Maxlife - Assurance,449.99,https://www.magazineluiza.com.br/pneu-aro-14-175-65r14-goodyear-86h-maxlife-assurance/p/ek42fgkckb/au/aupa/,2025-08-29 15:08:47,175/65R14,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
