titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,269.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-08-23 19:08:56,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/70R13 Goodyear Kelly Edge Touring 2 82T Aro 13,375.02,https://www.magazineluiza.com.br/pneu-175-70r13-goodyear-kelly-edge-touring-2-82t-aro-13/p/ae811ebk7h/au/aupa/,2025-08-23 19:09:09,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 175/70 r13 goodyear kelly edge touring 2 82t valor unitario,443.82,https://www.magazineluiza.com.br/pneu-aro-13-175-70-r13-goodyear-kelly-edge-touring-2-82t-valor-unitario/p/edc4g62284/au/aupa/,2025-08-23 19:09:19,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,350.55,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/aed8b54e0e/au/aupa/,2025-08-23 19:09:31,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,269.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-08-23 19:10:07,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/70R13 Goodyear Kelly Edge Touring 2 82T Aro 13,375.02,https://www.magazineluiza.com.br/pneu-175-70r13-goodyear-kelly-edge-touring-2-82t-aro-13/p/ae811ebk7h/au/aupa/,2025-08-23 19:10:21,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 175/70 r13 goodyear kelly edge touring 2 82t valor unitario,443.82,https://www.magazineluiza.com.br/pneu-aro-13-175-70-r13-goodyear-kelly-edge-touring-2-82t-valor-unitario/p/edc4g62284/au/aupa/,2025-08-23 19:10:32,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,350.55,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/aed8b54e0e/au/aupa/,2025-08-23 19:10:46,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,269.9,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/237241700/au/pine/,2025-08-23 19:11:22,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/70R13 Goodyear Kelly Edge Touring 2 82T Aro 13,375.02,https://www.magazineluiza.com.br/pneu-175-70r13-goodyear-kelly-edge-touring-2-82t-aro-13/p/ae811ebk7h/au/aupa/,2025-08-23 19:11:36,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 13 175/70 r13 goodyear kelly edge touring 2 82t valor unitario,443.82,https://www.magazineluiza.com.br/pneu-aro-13-175-70-r13-goodyear-kelly-edge-touring-2-82t-valor-unitario/p/edc4g62284/au/aupa/,2025-08-23 19:11:47,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 13” 175/70R13 82T Goodyear 82T Kelly EDGE Touring 2,350.55,https://www.magazineluiza.com.br/pneu-aro-13-175-70r13-82t-goodyear-82t-kelly-edge-touring-2/p/aed8b54e0e/au/aupa/,2025-08-23 19:12:00,175/70R13,goodyear,kelly edge,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
