titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Itaro Aro 14 MH01 175/70R14 84T,339.79,https://www.magazineluiza.com.br/pneu-itaro-aro-14-mh01-175-70r14-84t/p/aaachg5jb6/au/aupa/,2025-08-29 19:25:16,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 14"" 175/70R14 Goodyear 88T Direction Touring 2",399.9,https://www.magazineluiza.com.br/pneu-aro-14-175-70r14-goodyear-88t-direction-touring-2/p/240058300/au/pine/,2025-08-29 19:25:28,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/70R14 Goodyear 88T Touring Direction 2,408.49,https://www.magazineluiza.com.br/pneu-aro-14-175-70r14-goodyear-88t-touring-direction-2/p/235820600/au/pine/,2025-08-29 19:25:39,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Kumho Aro 14 ES31 175/70R14 84T,350.38,https://www.magazineluiza.com.br/pneu-kumho-aro-14-es31-175-70r14-84t/p/haj91hd78f/au/aupa/,2025-08-29 19:25:49,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
"Pneu Aro 14"" 175/70R14 Goodyear 88T EfficientGrip Performance",499.9,https://www.magazineluiza.com.br/pneu-aro-14-175-70r14-goodyear-88t-efficientgrip-performance/p/240115800/au/aupa/,2025-08-29 19:26:00,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/70R14 Continental 88H Premium ContiCrossContact AT,639.9,https://www.magazineluiza.com.br/pneu-aro-14-175-70r14-continental-88h-premium-conticrosscontact-at/p/235662600/au/aupa/,2025-08-29 19:26:11,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14” 175/70R14 Pirelli 88H Scorpion ATR,779.9,https://www.magazineluiza.com.br/pneu-aro-14-175-70r14-pirelli-88h-scorpion-atr/p/224915100/au/aupa/,2025-08-29 19:26:23,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 Goodyear Direction Touring 2 175/70R14 88T XL,395.03,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-direction-touring-2-175-70r14-88t-xl-goodyear-do-brasil/p/aj1ag0gj57/au/aupa/,2025-08-29 19:26:34,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Pirelli P400 EVO 175/70 R14 Aro 14 84T EV,588.81,https://www.magazineluiza.com.br/pneu-pirelli-p400-evo-175-70-r14-aro-14-84t-ev/p/ehj26224a2/au/aupa/,2025-08-29 19:26:45,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu ATR 175/70 R14 Aro 14 Gol Uno Corsa Palio Siena,407.3,https://www.magazineluiza.com.br/pneu-atr-175-70-r14-aro-14-gol-uno-corsa-palio-siena-longway/p/kd85hj7b45/au/aupa/,2025-08-29 19:26:56,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/70 R14 88T F-700 Firestone,502.55,https://www.magazineluiza.com.br/pneu-175-70-r14-88t-f-700-firestone/p/bkgedek6aj/au/pine/,2025-08-29 19:27:07,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 14 175/70 R14 Eco Gol Siena Prisma Ka,334.14,https://www.magazineluiza.com.br/pneu-aro-14-175-70-r14-eco-gol-siena-prisma-ka-long-way/p/kagh0h7597/au/pine/,2025-08-29 19:27:17,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175 70 R14 R1 414041 Dunlop,439.0,https://www.magazineluiza.com.br/pneu-175-70-r14-r1-414041-dunlop/p/ah0jdga58e/au/pine/,2025-08-29 19:27:29,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 175/70 R14 Speedmax street-H MH01,349.6,https://www.magazineluiza.com.br/pneu-175-70-r14-speedmax-street-h-mh01/p/ahgfh8g8cg/au/aupa/,2025-08-29 19:27:40,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Xbri Aro 14 175/70 R14 84H Premium F1,615.05,https://www.magazineluiza.com.br/pneu-xbri-aro-14-175-70-r14-84h-premium-f1/p/cg967k5a70/au/aupa/,2025-08-29 19:27:50,175/70R14,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
