titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/,2025-08-22 10:24:34,185/55R16,dunlop,fm800,60716875.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/pneusonline/10472129001047-285-416094/7647a63f4a25876ed912765ebdc346aa.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/,2025-08-22 10:24:38,185/55R16,dunlop,sp sport,815918101.99,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/webpneus/33966/1eca24a148ea96d4ef32480daa303bd8.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/,2025-08-22 10:25:13,185/55R16,dunlop,fm800,60716875.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/pneusonline/10472129001047-285-416094/7647a63f4a25876ed912765ebdc346aa.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/,2025-08-22 10:25:17,185/55R16,dunlop,sp sport,815918101.99,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/webpneus/33966/1eca24a148ea96d4ef32480daa303bd8.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/?seller_id=pneusonline,2025-08-22 10:25:28,185/55R16,dunlop,fm800,60716875.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/pneusonline/10472129001047-285-416094/7647a63f4a25876ed912765ebdc346aa.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu aro 16 185/55 r16 dunlop fm800 83v,774.81,https://www.magazineluiza.com.br/pneu-aro-16-185-55-r16-dunlop-fm800-83v/p/gf9334a17b/au/aupa/?seller_id=burajirupneus,2025-08-22 10:25:39,185/55R16,dunlop,fm800,1044382149.73,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-185-55-r16-dunlop-fm800-83v/burajirupneus/1587p/fa6707cfcef68c9229e6995ed1fb6095.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/?seller_id=webpneus,2025-08-22 10:25:42,185/55R16,dunlop,sp sport,815918101.99,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/webpneus/33966/1eca24a148ea96d4ef32480daa303bd8.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/,2025-08-22 10:26:04,185/55R16,dunlop,fm800,60716875.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/pneusonline/10472129001047-285-416094/7647a63f4a25876ed912765ebdc346aa.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/,2025-08-22 10:26:07,185/55R16,dunlop,sp sport,815918101.99,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/webpneus/33966/1eca24a148ea96d4ef32480daa303bd8.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/?seller_id=pneusonline,2025-08-22 10:26:20,185/55R16,dunlop,fm800,60716875.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/pneusonline/10472129001047-285-416094/7647a63f4a25876ed912765ebdc346aa.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu aro 16 185/55 r16 dunlop fm800 83v,774.81,https://www.magazineluiza.com.br/pneu-aro-16-185-55-r16-dunlop-fm800-83v/p/gf9334a17b/au/aupa/?seller_id=burajirupneus,2025-08-22 10:26:26,185/55R16,dunlop,fm800,1044382149.73,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-185-55-r16-dunlop-fm800-83v/burajirupneus/1587p/fa6707cfcef68c9229e6995ed1fb6095.jpeg,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
"Pneu Aro 16, Dunlop 185_55 R16 83V SP FM800 código 416094",576.8,https://www.magazineluiza.com.br/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/p/hc14jjb3cb/au/pine/?seller_id=pneusonline,2025-08-22 10:26:28,185/55R16,dunlop,fm800,60716875.9,True,https://a-static.mlcdn.com.br/280x210/pneu-aro-16-dunlop-185-55-r16-83v-sp-fm800-codigo-416094/pneusonline/10472129001047-285-416094/7647a63f4a25876ed912765ebdc346aa.jpeg,magazineluiza,,True,0,0.0,Pneus Online,False,,,
Pneu Dunlop Aro 16 185/55R16 SP Sport FM800 83V,775.11,https://www.magazineluiza.com.br/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/p/djhhad09fc/au/pine/?seller_id=webpneus,2025-08-22 10:26:31,185/55R16,dunlop,sp sport,815918101.99,True,https://a-static.mlcdn.com.br/280x210/pneu-dunlop-aro-16-185-55r16-sp-sport-fm800-83v/webpneus/33966/1eca24a148ea96d4ef32480daa303bd8.jpeg,magazineluiza,,True,0,0.0,Web Pneus,False,,,
