titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu aro 14 185/60 r14 dunlop splm 704 82h,558.17,https://www.magazineluiza.com.br/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/p/ce845fe6de/au/aupa/,2025-09-11 07:57:08,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 185/60 R14 82H SP LM704 JP EV,559.99,https://www.magazineluiza.com.br/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/p/ejjad19378/au/pine/,2025-09-11 07:57:12,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60R14 82H SPLM704,439.9,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704/p/jjb2hahbc2/au/aupa/,2025-09-11 07:57:19,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pn 185/60 r14 dunlop splm704 82h (garantia contra defeitos de fabricação),455.0,https://www.magazineluiza.com.br/pn-185-60-r14-dunlop-splm704-82h-garantia-contra-defeitos-de-fabricacao/p/cdd565g78e/au/pine/,2025-09-11 07:57:23,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60r14 82h Splm704 Preto,431.91,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/p/ed6d9a76d6/au/pine/,2025-09-11 07:57:27,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60R14 82H Splm704 Preto,431.91,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/p/be71d0gjj4/au/pine/,2025-09-11 07:57:35,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu aro 14 185/60 r14 dunlop splm 704 82h,558.17,https://www.magazineluiza.com.br/pneu-aro-14-185-60-r14-dunlop-splm-704-82h/p/ce845fe6de/au/aupa/,2025-09-11 07:58:04,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 185/60 R14 82H SP LM704 JP EV,559.99,https://www.magazineluiza.com.br/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/p/ejjad19378/au/pine/,2025-09-11 07:58:08,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60R14 82H SPLM704,439.9,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704/p/jjb2hahbc2/au/aupa/,2025-09-11 07:58:14,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pn 185/60 r14 dunlop splm704 82h (garantia contra defeitos de fabricação),455.0,https://www.magazineluiza.com.br/pn-185-60-r14-dunlop-splm704-82h-garantia-contra-defeitos-de-fabricacao/p/cdd565g78e/au/pine/,2025-09-11 07:58:17,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60r14 82h Splm704 Preto,431.91,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/p/ed6d9a76d6/au/pine/,2025-09-11 07:58:21,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60R14 82H Splm704 Preto,431.91,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/p/be71d0gjj4/au/pine/,2025-09-11 07:58:28,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 185/60 R14 82H SP LM704 JP EV,559.99,https://www.magazineluiza.com.br/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/p/ejjad19378/au/pine/,2025-09-11 07:58:34,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60r14 82h Splm704 Preto,431.91,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704-preto/p/ed6d9a76d6/au/pine/,2025-09-11 07:58:40,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Dunlop 185/60 R14 82H SP LM704 JP EV,559.99,https://www.magazineluiza.com.br/pneu-dunlop-185-60-r14-82h-sp-lm704-jp-ev/p/ejjad19378/au/pine/,2025-09-11 07:58:42,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
"Pneu Aro 14, Dunlop 185_60R14 82H Sp Lm704 código 414027",406.74,https://www.magazineluiza.com.br/pneu-aro-14-dunlop-185-60r14-82h-sp-lm704-codigo-414027/p/djd7d85ka9/au/pine/,2025-09-11 07:58:47,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Passeio Dunlop Aro 14 185/60R14 82H SPLM704,439.9,https://www.magazineluiza.com.br/pneu-passeio-dunlop-aro-14-185-60r14-82h-splm704/p/jjb2hahbc2/au/aupa/,2025-09-11 07:58:49,185/60R14,dunlop,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
