titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/65R14 86H,381.81,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-65r14-86h/p/chgjehkg4c/au/aupa/,2025-09-11 06:32:30,185/65R14,barum,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Barum Bravuris 5HM 86H by Continental Aro 14,436.01,https://www.magazineluiza.com.br/pneu-185-65r14-barum-bravuris-5hm-86h-by-continental-aro-14/p/hk8e1aa73c/au/aupa/,2025-09-11 06:32:33,185/65R14,barum,barum bravuris 5hm,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Barum Bravuris 5HM 86H By Continental,399.3,https://www.magazineluiza.com.br/pneu-185-65r14-barum-bravuris-5hm-86h-by-continental/p/jj7baeaf6b/au/pine/,2025-09-11 06:32:37,185/65R14,barum,barum bravuris 5hm,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/65R14 86H,381.81,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-65r14-86h/p/chgjehkg4c/au/aupa/,2025-09-11 06:33:04,185/65R14,barum,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Barum Bravuris 5HM 86H by Continental Aro 14,436.01,https://www.magazineluiza.com.br/pneu-185-65r14-barum-bravuris-5hm-86h-by-continental-aro-14/p/hk8e1aa73c/au/aupa/,2025-09-11 06:33:07,185/65R14,barum,barum bravuris 5hm,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Barum Bravuris 5HM 86H By Continental,399.3,https://www.magazineluiza.com.br/pneu-185-65r14-barum-bravuris-5hm-86h-by-continental/p/jj7baeaf6b/au/pine/,2025-09-11 06:33:11,185/65R14,barum,barum bravuris 5hm,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/65R14 86H,381.81,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-65r14-86h/p/chgjehkg4c/au/aupa/,2025-09-11 06:33:16,185/65R14,barum,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/65R14 86H,381.81,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-65r14-86h/p/chgjehkg4c/au/aupa/,2025-09-11 06:33:38,185/65R14,barum,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Barum Bravuris 5HM 86H by Continental Aro 14,436.01,https://www.magazineluiza.com.br/pneu-185-65r14-barum-bravuris-5hm-86h-by-continental-aro-14/p/hk8e1aa73c/au/aupa/,2025-09-11 06:33:40,185/65R14,barum,barum bravuris 5hm,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Barum Bravuris 5HM 86H By Continental,399.3,https://www.magazineluiza.com.br/pneu-185-65r14-barum-bravuris-5hm-86h-by-continental/p/jj7baeaf6b/au/pine/,2025-09-11 06:33:44,185/65R14,barum,barum bravuris 5hm,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 14 Barum By Continental Bravuris 5Hm 185/65R14 86H,381.81,https://www.magazineluiza.com.br/pneu-aro-14-barum-by-continental-bravuris-5hm-185-65r14-86h/p/chgjehkg4c/au/aupa/,2025-09-11 06:33:48,185/65R14,barum,,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
