titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Goodyear Aro 14 Assurance Maxlife 185/65R14 86H,513.22,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-65r14-86h/p/aaege185bk/au/aupa/,2025-09-11 10:14:01,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 14 Goodyear 185/65 R14 Assurance Maxlife 86H SL,568.45,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-65-r14-assurance-maxlife-86h-sl/p/kj47597gj0/au/aupa/,2025-09-11 10:14:05,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 14 185/65R14 Assurance Maxlife 86H,680.72,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-185-65r14-assurance-maxlife-86h/p/khjk25gfhb/au/aupa/,2025-09-11 10:14:08,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),732.38,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-09-11 10:14:12,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Goodyear Assurance Maxlife 86H Aro 14,585.03,https://www.magazineluiza.com.br/pneu-185-65r14-goodyear-assurance-maxlife-86h-aro-14/p/fjjk194bh4/au/aupa/,2025-09-11 10:14:15,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 185/65R14 86H,513.22,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-65r14-86h/p/aaege185bk/au/aupa/,2025-09-11 10:14:45,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 14 Goodyear 185/65 R14 Assurance Maxlife 86H SL,568.45,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-65-r14-assurance-maxlife-86h-sl/p/kj47597gj0/au/aupa/,2025-09-11 10:14:49,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 14 185/65R14 Assurance Maxlife 86H,680.72,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-185-65r14-assurance-maxlife-86h/p/khjk25gfhb/au/aupa/,2025-09-11 10:14:51,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),732.38,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-09-11 10:14:53,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Goodyear Assurance Maxlife 86H Aro 14,585.03,https://www.magazineluiza.com.br/pneu-185-65r14-goodyear-assurance-maxlife-86h-aro-14/p/fjjk194bh4/au/aupa/,2025-09-11 10:14:56,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),732.38,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-09-11 10:15:04,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 14 Assurance Maxlife 185/65R14 86H,513.22,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-assurance-maxlife-185-65r14-86h/p/aaege185bk/au/aupa/,2025-09-11 10:15:27,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Aro 14 Goodyear 185/65 R14 Assurance Maxlife 86H SL,568.45,https://www.magazineluiza.com.br/pneu-aro-14-goodyear-185-65-r14-assurance-maxlife-86h-sl/p/kj47597gj0/au/aupa/,2025-09-11 10:15:31,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu Goodyear Aro 14 185/65R14 Assurance Maxlife 86H,680.72,https://www.magazineluiza.com.br/pneu-goodyear-aro-14-185-65r14-assurance-maxlife-86h/p/khjk25gfhb/au/aupa/,2025-09-11 10:15:33,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),732.38,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-09-11 10:15:35,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Goodyear Assurance Maxlife 86H Aro 14,585.03,https://www.magazineluiza.com.br/pneu-185-65r14-goodyear-assurance-maxlife-86h-aro-14/p/fjjk194bh4/au/aupa/,2025-09-11 10:15:37,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
Pneu 185/65R14 Assurance Maxlife 86H Goodyear (Aro 14),732.38,https://www.magazineluiza.com.br/pneu-185-65r14-assurance-maxlife-86h-goodyear-aro-14/p/ff723c2547/au/aupa/,2025-09-11 10:15:46,185/65R14,goodyear,assurance maxlife,,False,,magazineluiza,,True,0,0.0,Netshoes,False,,,
