titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15” 185/65R15 Goodyear 88H,489.9,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-goodyear-88h-direction-2-sport/p/236188900/au/pine/,2025-09-02 08:49:19,185/65R15,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/65R15 Goodyear 88H,489.9,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-goodyear-88h/p/235250700/au/pine/,2025-09-02 08:49:31,185/65R15,goodyear,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/65R15 Pirelli 92H Cinturato P1,589.9,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-pirelli-92h-cinturato-p1/p/226573300/au/aupa/,2025-09-02 08:49:41,185/65R15,pirelli,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Linglong 185/65R15 88H,265.99,https://www.magazineluiza.com.br/pneu-aro-15-linglong-185-65r15-88h/p/231135000/au/aupa/,2025-09-02 08:49:53,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 R15 Premium Velocidade R Touring Corolla,245.9,https://www.magazineluiza.com.br/pneu-185-65-r15-premium-velocidade-r-touring-corolla-pioneiro/p/db5kc0add3/au/aupa/,2025-09-02 08:49:58,185/65R15,,,,False,,magazineluiza,,True,0,0.0,Carraopartss,False,,,
Pneu 185/65 r15 88h f700 firestone,555.0,https://www.magazineluiza.com.br/pneu-185-65-r15-88h-f700-firestone/p/gb10332dce/au/pine/,2025-09-02 08:50:01,185/65R15,firestone,,,False,,magazineluiza,,True,0,0.0,G.R.Pneus E Rodas,False,,,
Pneu Westlake Aro 15 185/65R15 88H Z108 CR65772,299.9,https://www.magazineluiza.com.br/pneu-westlake-aro-15-185-65r15-88h-z108-cr65772/p/cbj64g1aec/au/pine/,2025-09-02 08:50:03,185/65R15,,,,False,,magazineluiza,,True,0,0.0,Carrefour Oficial,False,,,
Pneu 185/65 R15 Eco Aro 15 Cobalt Logan Sandero,371.73,https://www.magazineluiza.com.br/pneu-185-65-r15-eco-aro-15-cobalt-logan-sandero-long-way/p/jd526d463h/au/pine/,2025-09-02 08:50:06,185/65R15,,,,False,,magazineluiza,,True,0,0.0,Gwim Ports,False,,,
Pneu aro 15 185/65 r15 provato green 88h,429.64,https://www.magazineluiza.com.br/pneu-aro-15-185-65-r15-provato-green-88h-yeada/p/gkfb0f4678/au/aupa/,2025-09-02 08:50:11,185/65R15,,,,False,,magazineluiza,,True,0,0.0,Burajiru Pneus,False,,,
Pneu Aro 15 Bridgestone 185/65 R15 88H Ecopia EP150,536.96,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-185-65-r15-88h-ecopia-ep150/p/cckd7g8ek1/au/aupa/,2025-09-02 08:50:14,185/65R15,bridgestone,,,False,,magazineluiza,,True,0,0.0,Pneugreen,False,,,
