titulo,preco,link,data_coleta,medida,marca,modelo,preco_original,promocao,imagem,marketplace,categoria,disponivel,avaliacoes,nota_media,vendedor,frete_gratis,parcelamento,descricao,frete
Pneu Aro 15” 185/65R15 Goodyear 88H,499.9,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-goodyear-88h-direction-2-sport/p/236188900/au/pine/,2025-08-23 14:23:23,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/65R15 Goodyear 88H,489.9,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-goodyear-88h/p/235250700/au/pine/,2025-08-23 14:23:36,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” Goodyear 185/65R15 88H,503.49,https://www.magazineluiza.com.br/pneu-aro-15-goodyear-185-65r15-88h-direction-sport/p/031601200/au/aupa/,2025-08-23 14:23:46,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15” 185/65R15 Pirelli 92H Cinturato P1,589.9,https://www.magazineluiza.com.br/pneu-aro-15-185-65r15-pirelli-92h-cinturato-p1/p/226573300/au/aupa/,2025-08-23 14:23:57,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 R15 Premium Velocidade R Touring Corolla,233.61,https://www.magazineluiza.com.br/pneu-185-65-r15-premium-velocidade-r-touring-corolla-pioneiro/p/db5kc0add3/au/aupa/,2025-08-23 14:24:12,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Itaro Aro 15 MH01 185/65R15 92H XL,291.96,https://www.magazineluiza.com.br/pneu-itaro-aro-15-mh01-185-65r15-92h-xl/p/dbjjh2c449/au/aupa/,2025-08-23 14:24:22,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 r15 88h f700 firestone,527.25,https://www.magazineluiza.com.br/pneu-185-65-r15-88h-f700-firestone/p/gb10332dce/au/pine/,2025-08-23 14:24:33,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Speedmax Aro 15 MH01 185/65R15 92H XL,357.42,https://www.magazineluiza.com.br/pneu-speedmax-aro-15-mh01-185-65r15-92h-xl/p/cha80ge7jf/au/aupa/,2025-08-23 14:24:43,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Westlake Aro 15 185/65R15 88H Z108 CR65772,251.01,https://www.magazineluiza.com.br/pneu-westlake-aro-15-185-65r15-88h-z108-cr65772/p/cbj64g1aec/au/pine/,2025-08-23 14:24:55,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 185/65 r15 provato green 88h,408.16,https://www.magazineluiza.com.br/pneu-aro-15-185-65-r15-provato-green-88h-yeada/p/gkfb0f4678/au/aupa/,2025-08-23 14:25:06,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 R15 Eco Aro 15 Cobalt Logan Sandero,342.55,https://www.magazineluiza.com.br/pneu-185-65-r15-eco-aro-15-cobalt-logan-sandero-long-way/p/jd526d463h/au/pine/,2025-08-23 14:25:16,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 Bridgestone 185/65 R15 88H Ecopia EP150,550.31,https://www.magazineluiza.com.br/pneu-aro-15-bridgestone-185-65-r15-88h-ecopia-ep150/p/cckd7g8ek1/au/aupa/,2025-08-23 14:25:26,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 r15 88h trazano rp28,479.99,https://www.magazineluiza.com.br/pneu-185-65-r15-88h-trazano-rp28-tarazano/p/heh72d2j56/au/pine/,2025-08-23 14:25:39,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu aro 15 185/65 r15 dunlop spfm800 88h,632.18,https://www.magazineluiza.com.br/pneu-aro-15-185-65-r15-dunlop-spfm800-88h/p/dh34830k5j/au/aupa/,2025-08-23 14:25:49,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 R15 Eco Voyage Logan Cobalt HB20S,345.82,https://www.magazineluiza.com.br/pneu-185-65-r15-eco-voyage-logan-cobalt-hb20s-long-way/p/dcb8eac2hc/au/pine/,2025-08-23 14:26:00,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 r 15 comfort ii 88h lanvigator,440.68,https://www.magazineluiza.com.br/pneu-185-65-r-15-comfort-ii-88h-lanvigator/p/ck9069g9f4/au/aupa/,2025-08-23 14:26:10,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Eco 185/65 R15 Siena Voyage Astra Sandero,341.18,https://www.magazineluiza.com.br/pneu-eco-185-65-r15-siena-voyage-astra-sandero-long-way/p/dgf51b91f4/au/aupa/,2025-08-23 14:26:21,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65-R15 Longway Premium Garantia Inmetro 1 Un,321.6,https://www.magazineluiza.com.br/pneu-185-65-r15-longway-premium-garantia-inmetro-1-un/p/kgd32a8ba4/au/aupa/,2025-08-23 14:26:33,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65r15 92h mh01 speedmax,433.0,https://www.magazineluiza.com.br/pneu-185-65r15-92h-mh01-speedmax/p/ge15gc1a17/au/aupa/,2025-08-23 14:26:44,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Aro 15 185/65 R15 Eco Logan Cobalt Parati,344.25,https://www.magazineluiza.com.br/pneu-aro-15-185-65-r15-eco-logan-cobalt-parati-long-way/p/cea8cb86dh/au/pine/,2025-08-23 14:26:54,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Continental 185/65 R15 88H PowerContact 2,532.07,https://www.magazineluiza.com.br/pneu-continental-185-65-r15-88h-powercontact-2/p/behccj38ef/au/pine/,2025-08-23 14:27:05,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65-R15 Corsa Palio Etios Siena,384.27,https://www.magazineluiza.com.br/pneu-185-65-r15-corsa-palio-etios-siena-longway/p/cccb1503g7/au/pine/,2025-08-23 14:27:15,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65-R15 Honda Civic Fit Fox Palio,384.27,https://www.magazineluiza.com.br/pneu-185-65-r15-honda-civic-fit-fox-palio-longway/p/fj7h08gkc3/au/aupa/,2025-08-23 14:27:27,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu 185/65 r 15 catchgre gp100 88h lanvigator,455.42,https://www.magazineluiza.com.br/pneu-185-65-r-15-catchgre-gp100-88h-lanvigator/p/fdbh3jbdb5/au/pine/,2025-08-23 14:27:38,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
Pneu Roadking Aro 15 185/65 R15 88H Argos Touring,408.89,https://www.magazineluiza.com.br/pneu-roadking-aro-15-185-65-r15-88h-argos-touring/p/heb29g9048/au/aupa/,2025-08-23 14:27:50,185/65R15,,,,False,,magazineluiza,,True,0,0.0,magazineluiza,False,,,
